Sattelite_Name,Provider,Provider/Channel,Channel,freq_alt,beam_alt,eirp_alt,FEC,SR,SYSTEM,encryption_alt,Languages,SID,Compression,Channel_Country,Provider_Country,VPID,Provider_URL,Channel_URL,is_Provider
Intelsat-18,American Forces Network,AFN Fans,AFN Fans,3753 R,tp NH1C,,2/3/2024,30000,DVB-S2,"PowerVu,Verimatrix",Eng,24,,us,,,,https://www.lyngsat.com/radiochannels/us/AFN-Fans.html,FALSE
Intelsat-18,American Forces Network,AFN The Blend,AFN The Blend,3753 R,tp NH1C,,2/3/2024,30000,DVB-S2,"PowerVu,Verimatrix",Eng,25,,us,,,,https://www.lyngsat.com/radiochannels/us/AFN-The-Blend.html,FALSE
Intelsat-18,American Forces Network,AFN Legacy,AFN Legacy,3753 R,tp NH1C,,2/3/2024,30000,DVB-S2,"PowerVu,Verimatrix",Eng,26,,us,,,,https://www.lyngsat.com/radiochannels/us/AFN-Legacy.html,FALSE
Intelsat-18,American Forces Network,AFN's Joe Radio,AFN's Joe Radio,3753 R,tp NH1C,,2/3/2024,30000,DVB-S2,"PowerVu,Verimatrix",Eng,27,,us,,,,https://www.lyngsat.com/radiochannels/us/AFNs-Joe-Radio.html,FALSE
Intelsat-18,American Forces Network,AFN Gravity,AFN Gravity,3753 R,tp NH1C,,2/3/2024,30000,DVB-S2,"PowerVu,Verimatrix",Eng,28,,us,,,,https://www.lyngsat.com/radiochannels/us/AFN-Gravity.html,FALSE
Intelsat-18,American Forces Network,AFN Country,AFN Country,3753 R,tp NH1C,,2/3/2024,30000,DVB-S2,"PowerVu,Verimatrix",Eng,29,,us,,,,https://www.lyngsat.com/radiochannels/us/AFN-Country.html,FALSE
Intelsat-18,American Forces Network,NPR AFN,NPR AFN,3753 R,tp NH1C,,2/3/2024,30000,DVB-S2,"PowerVu,Verimatrix",Eng,30,,us,,,,https://www.lyngsat.com/radiochannels/us/NPR-AFN.html,FALSE
Intelsat-18,American Forces Network,AFN Seasonal,AFN Seasonal,3753 R,tp NH1C,,2/3/2024,30000,DVB-S2,"PowerVu,Verimatrix",Eng,31,,us,,,,https://www.lyngsat.com/radiochannels/us/AFN-Seasonal.html,FALSE
Intelsat-18,American Forces Network,AFN Contingency,AFN Contingency,3753 R,tp NH1C,,2/3/2024,30000,DVB-S2,"PowerVu,Verimatrix",Eng,32,,us,,,,https://www.lyngsat.com/radiochannels/us/AFN-Contingency.html,FALSE
Intelsat-18,American Forces Network,AFN Freedom Rock,AFN Freedom Rock,3753 R,tp NH1C,,2/3/2024,30000,DVB-S2,"PowerVu,Verimatrix",Eng,33,,us,,,,https://www.lyngsat.com/radiochannels/us/AFN-Freedom-Rock.html,FALSE
Intelsat-18,American Forces Network,AFN The Eagle Iwakuni,AFN The Eagle Iwakuni,3753 R,tp NH1C,,2/3/2024,30000,DVB-S2,"PowerVu,Verimatrix",Eng,35,,us,,,,https://www.lyngsat.com/radiochannels/us/AFN-The-Eagle-Iwakuni.html,FALSE
Intelsat-18,American Forces Network,AFN The Eagle Daegu,AFN The Eagle Daegu,3753 R,tp NH1C,,2/3/2024,30000,DVB-S2,"PowerVu,Verimatrix",Eng,36,,us,,,,https://www.lyngsat.com/radiochannels/us/AFN-The-Eagle-Daegu.html,FALSE
Intelsat-18,American Forces Network,AFN The Eagle Humphreys,AFN The Eagle Humphreys,3753 R,tp NH1C,,2/3/2024,30000,DVB-S2,"PowerVu,Verimatrix",Eng,37,,us,,,,https://www.lyngsat.com/radiochannels/us/AFN-The-Eagle-Humphreys.html,FALSE
Intelsat-18,American Forces Network,AFN The Eagle Kunsan,AFN The Eagle Kunsan,3753 R,tp NH1C,,2/3/2024,30000,DVB-S2,"PowerVu,Verimatrix",Eng,38,,us,,,,https://www.lyngsat.com/radiochannels/us/AFN-The-Eagle-Kunsan.html,FALSE
Intelsat-18,American Forces Network,AFN The Eagle Misawa,AFN The Eagle Misawa,3753 R,tp NH1C,,2/3/2024,30000,DVB-S2,"PowerVu,Verimatrix",Eng,39,,us,,,,https://www.lyngsat.com/radiochannels/us/AFN-The-Eagle-Misawa.html,FALSE
Intelsat-18,American Forces Network,AFN The Eagle Okinawa,AFN The Eagle Okinawa,3753 R,tp NH1C,,2/3/2024,30000,DVB-S2,"PowerVu,Verimatrix",Eng,40,,us,,,,https://www.lyngsat.com/radiochannels/us/AFN-The-Eagle-Okinawa.html,FALSE
Intelsat-18,American Forces Network,AFN The Eagle Tokyo,AFN The Eagle Tokyo,3753 R,tp NH1C,,2/3/2024,30000,DVB-S2,"PowerVu,Verimatrix",Eng,41,,us,,,,https://www.lyngsat.com/radiochannels/us/AFN-The-Eagle-Tokyo.html,FALSE
Intelsat-18,American Forces Network,AFN The Eagle Sasebo,AFN The Eagle Sasebo,3753 R,tp NH1C,,2/3/2024,30000,DVB-S2,"PowerVu,Verimatrix",Eng,42,,us,,,,https://www.lyngsat.com/radiochannels/us/AFN-The-Eagle-Sasebo.html,FALSE
Intelsat-18,American Forces Network,Radio Australia English for the Pacific,Radio Australia English for the Pacific,4070 R,tp G17C,,3/4/2024,3443,DVB-S2,,Eng,2,,au,,,,https://www.lyngsat.com/radiochannels/au/Radio-Australia-English-for-the-Pacific.html,FALSE
Intelsat-18,American Forces Network,Radio Australia English for Asia,Radio Australia English for Asia,4070 R,tp G17C,,3/4/2024,3443,DVB-S2,,Eng,3,,au,,,,https://www.lyngsat.com/radiochannels/au/Radio-Australia-English-for-Asia.html,FALSE
Intelsat-18,Anuvu,MTN Special Events,MTN Special Events,4095 R,tp G19C,,3/4/2024,30000,DVB-S2,PowerVu,Eng,101,MPEG-4/SD,us,,4897,,https://www.lyngsat.com/tvchannels/us/MTN-Special-Events.html,FALSE
Intelsat-18,Anuvu,MTN Special Events,MTN Special Events,4095 R,tp G19C,,3/4/2024,30000,DVB-S2,PowerVu,Eng,200,MPEG-4/SD,us,,4401,,https://www.lyngsat.com/tvchannels/us/MTN-Special-Events.html,FALSE
Intelsat-18,Anuvu,MSNBC International,MSNBC International,4095 R,tp G19C,,3/4/2024,30000,DVB-S2,PowerVu,Eng,102,MPEG-4/SD,us,,4129,,https://www.lyngsat.com/tvchannels/us/MSNBC-International.html,FALSE
Intelsat-18,Anuvu,Fox News Channel,Fox News Channel,4095 R,tp G19C,,3/4/2024,30000,DVB-S2,PowerVu,Eng,103,MPEG-4/SD,us,,4385,,https://www.lyngsat.com/tvchannels/us/Fox-News-Channel.html,FALSE
Intelsat-18,Anuvu,CNBC US,CNBC US,4095 R,tp G19C,,3/4/2024,30000,DVB-S2,PowerVu,Eng,104,MPEG-4/SD,us,,4641,,https://www.lyngsat.com/tvchannels/us/CNBC-US.html,FALSE
Intelsat-18,Anuvu,Sky News International,Sky News International,4095 R,tp G19C,,3/4/2024,30000,DVB-S2,PowerVu,Eng,105,MPEG-4/SD,uk,,5153,,https://www.lyngsat.com/tvchannels/uk/Sky-News-International.html,FALSE
Intelsat-18,Anuvu,BBC News,BBC News,4095 R,tp G19C,,3/4/2024,30000,DVB-S2,PowerVu,Eng,106,MPEG-4/SD,uk,,5409,,https://www.lyngsat.com/tvchannels/uk/BBC-News.html,FALSE
Intelsat-18,Anuvu,Prime Journey,Prime Journey,4095 R,tp G19C,,3/4/2024,30000,DVB-S2,PowerVu,Eng,107,MPEG-4/SD,--,,5665,,https://www.lyngsat.com/tvchannels/--/Prime-Journey.html,FALSE
Intelsat-18,Anuvu,Sky Sports News UK,Sky Sports News UK,4095 R,tp G19C,,3/4/2024,30000,DVB-S2,PowerVu,Eng,108,MPEG-4/SD,uk,,5921,,https://www.lyngsat.com/tvchannels/uk/Sky-Sports-News-UK.html,FALSE
Intelsat-18,Anuvu,Sport 24,Sport 24,4095 R,tp G19C,,3/4/2024,30000,DVB-S2,PowerVu,Eng,109,MPEG-4/HD,uk,,6433,,https://www.lyngsat.com/tvchannels/uk/Sport-24.html,FALSE
Intelsat-18,Anuvu,Prime One,Prime One,4095 R,tp G19C,,3/4/2024,30000,DVB-S2,PowerVu,Eng,110,MPEG-4/SD,--,,6945,,https://www.lyngsat.com/tvchannels/--/Prime-One.html,FALSE
Intelsat-18,Anuvu,Sport 24 Extra,Sport 24 Extra,4095 R,tp G19C,,3/4/2024,30000,DVB-S2,PowerVu,,111,MPEG-4/SD,uk,,7201,,https://www.lyngsat.com/tvchannels/uk/Sport-24-Extra.html,FALSE
Intelsat-18,Anuvu,RTL Deutschland,RTL Deutschland,4095 R,tp G19C,,3/4/2024,30000,DVB-S2,PowerVu,Ger,112,MPEG-4/SD,de,,6689,,https://www.lyngsat.com/tvchannels/de/RTL-Deutschland.html,FALSE
Intelsat-18,Anuvu,Sky News Australia,Sky News Australia,4095 R,tp G19C,,3/4/2024,30000,DVB-S2,PowerVu,Eng,113,MPEG-4/SD,uk,,7457,,https://www.lyngsat.com/tvchannels/uk/Sky-News-Australia.html,FALSE
Intelsat-18,Anuvu,TFC Middle East,TFC Middle East,4095 R,tp G19C,,3/4/2024,30000,DVB-S2,PowerVu,,115,MPEG-4/SD,ph,,7969,,https://www.lyngsat.com/tvchannels/ph/TFC-Middle-East.html,FALSE
Intelsat-18,Anuvu,Prime Favorites,Prime Favorites,4095 R,tp G19C,,3/4/2024,30000,DVB-S2,PowerVu,,116,MPEG-4/SD,--,,4145,,https://www.lyngsat.com/tvchannels/--/Prime-Favorites.html,FALSE
Intelsat-18,Anuvu,BBC HD,BBC HD,4095 R,tp G19C,,3/4/2024,30000,DVB-S2,PowerVu,Eng,117,MPEG-4/HD,uk,,4657,,https://www.lyngsat.com/tvchannels/uk/BBC-HD.html,FALSE
Intelsat-18,Anuvu,TVE Internacional Europa,TVE Internacional Europa,4095 R,tp G19C,,3/4/2024,30000,DVB-S2,PowerVu,Spa,118,MPEG-4/SD,es,,4913,,https://www.lyngsat.com/tvchannels/es/TVE-Internacional-Europa.html,FALSE
Intelsat-18,Anuvu,Canal 24 Horas,Canal 24 Horas,4095 R,tp G19C,,3/4/2024,30000,DVB-S2,PowerVu,Spa,119,MPEG-4/SD,es,,5169,,https://www.lyngsat.com/tvchannels/es/Canal-24-Horas.html,FALSE
Intelsat-18,Anuvu,Australian Comedy & Drama Channel,Australian Comedy & Drama Channel,4095 R,tp G19C,,3/4/2024,30000,DVB-S2,PowerVu,Eng,120,MPEG-4/SD,au,,5425,,https://www.lyngsat.com/tvchannels/au/Australian-Comedy-and-Drama-Channel.html,FALSE
Intelsat-18,Anuvu,ABC News (Australia),ABC News (Australia),4095 R,tp G19C,,3/4/2024,30000,DVB-S2,PowerVu,Eng,121,MPEG-4/SD,au,,5681,,https://www.lyngsat.com/tvchannels/au/ABC-News.html,FALSE
Intelsat-18,Anuvu,Food Network East,Food Network East,4095 R,tp G19C,,3/4/2024,30000,DVB-S2,PowerVu,Eng,124,MPEG-4/SD,us,,6961,,https://www.lyngsat.com/tvchannels/us/Food-Network-East.html,FALSE
Intelsat-18,Anuvu,HGTV East,HGTV East,4095 R,tp G19C,,3/4/2024,30000,DVB-S2,PowerVu,Eng,125,MPEG-4/SD,us,,6705,,https://www.lyngsat.com/tvchannels/us/HGTV-East.html,FALSE
Intelsat-18,Anuvu,Travel Channel East,Travel Channel East,4095 R,tp G19C,,3/4/2024,30000,DVB-S2,PowerVu,Eng,126,MPEG-4/SD,us,,5937,,https://www.lyngsat.com/tvchannels/us/Travel-Channel-East.html,FALSE
Intelsat-18,Anuvu,France 24 Français,France 24 Français,4095 R,tp G19C,,3/4/2024,30000,DVB-S2,PowerVu,Fre,131,MPEG-4/SD,fr,,4161,,https://www.lyngsat.com/tvchannels/fr/France-24-Francais.html,FALSE
