,SID,Provider/Channel,Compression,VPID,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,is_Provider,Provider,Languages,Channel_Country,Provider_Country,Sattelite_Name,Pkg_Name,Pkg_URL,Freq/beam,SR/FEC,undef,Audio,Encryption,Src_Updated
15,3.0,AFN News,MPEG-4/HD,1560.0,DVB-S2,30000.0,2/3,3753 R,tp NH1C,,"PowerVu,Verimatrix",,AFN News,https://www.lyngsat.com/tvchannels/us/AFN-News.html,False,American Forces Network,Eng,us,,Intelsat-18,,,,,,,,
16,4.0,AFN Sports,MPEG-4/HD,1160.0,DVB-S2,30000.0,2/3,3753 R,tp NH1C,,"PowerVu,Verimatrix",,AFN Sports,https://www.lyngsat.com/tvchannels/us/AFN-Sports.html,False,American Forces Network,Eng,us,,Intelsat-18,,,,,,,,
17,5.0,AFN Prime Pacific,MPEG-4/HD,1460.0,DVB-S2,30000.0,2/3,3753 R,tp NH1C,,"PowerVu,Verimatrix",,AFN Prime Pacific,https://www.lyngsat.com/tvchannels/us/AFN-Prime-Pacific.html,False,American Forces Network,Eng,us,,Intelsat-18,,,,,,,,
18,6.0,AFN Spectrum,MPEG-4/HD,1360.0,DVB-S2,30000.0,2/3,3753 R,tp NH1C,,"PowerVu,Verimatrix",,AFN Spectrum,https://www.lyngsat.com/tvchannels/us/AFN-Spectrum.html,False,American Forces Network,Eng,us,,Intelsat-18,,,,,,,,
19,7.0,AFN Sports 2,MPEG-4/HD,1660.0,DVB-S2,30000.0,2/3,3753 R,tp NH1C,,"PowerVu,Verimatrix",,AFN Sports 2,https://www.lyngsat.com/tvchannels/us/AFN-Sports-2.html,False,American Forces Network,Eng,us,,Intelsat-18,,,,,,,,
20,8.0,AFN Family,MPEG-4/HD,1960.0,DVB-S2,30000.0,2/3,3753 R,tp NH1C,,"PowerVu,Verimatrix",,AFN Family,https://www.lyngsat.com/tvchannels/us/AFN-Family.html,False,American Forces Network,Eng,us,,Intelsat-18,,,,,,,,
21,9.0,AFN Movie,MPEG-4/HD,1060.0,DVB-S2,30000.0,2/3,3753 R,tp NH1C,,"PowerVu,Verimatrix",,AFN Movie,https://www.lyngsat.com/tvchannels/us/AFN-Movie.html,False,American Forces Network,Eng,us,,Intelsat-18,,,,,,,,
22,401.0,AFN Guide,MPEG-2/SD,1760.0,DVB-S2,30000.0,2/3,3753 R,tp NH1C,,"PowerVu,Verimatrix",,AFN Guide,https://www.lyngsat.com/tvchannels/us/AFN-Guide.html,False,American Forces Network,Eng,us,,Intelsat-18,,,,,,,,
24,20.0,AFN The Eagle Japan,,,DVB-S2,30000.0,2/3,3753 R,tp NH1C,,"PowerVu,Verimatrix",,AFN The Eagle Japan,https://www.lyngsat.com/radiochannels/us/AFN-The-Eagle-Japan.html,False,American Forces Network,Eng,us,,Intelsat-18,,,,,,,,
25,21.0,AFN The Voice,,,DVB-S2,30000.0,2/3,3753 R,tp NH1C,,"PowerVu,Verimatrix",,AFN The Voice,https://www.lyngsat.com/radiochannels/us/AFN-The-Voice.html,False,American Forces Network,Eng,us,,Intelsat-18,,,,,,,,
26,22.0,AFN PowerTalk,,,DVB-S2,30000.0,2/3,3753 R,tp NH1C,,"PowerVu,Verimatrix",,AFN PowerTalk,https://www.lyngsat.com/radiochannels/us/AFN-PowerTalk.html,False,American Forces Network,Eng,us,,Intelsat-18,,,,,,,,
27,23.0,AFN Clutch,,,DVB-S2,30000.0,2/3,3753 R,tp NH1C,,"PowerVu,Verimatrix",,AFN Clutch,https://www.lyngsat.com/radiochannels/us/AFN-Clutch.html,False,American Forces Network,Eng,us,,Intelsat-18,,,,,,,,
28,24.0,AFN Fans,,,DVB-S2,30000.0,2/3,3753 R,tp NH1C,,"PowerVu,Verimatrix",,AFN Fans,https://www.lyngsat.com/radiochannels/us/AFN-Fans.html,False,American Forces Network,Eng,us,,Intelsat-18,,,,,,,,
29,25.0,AFN The Blend,,,DVB-S2,30000.0,2/3,3753 R,tp NH1C,,"PowerVu,Verimatrix",,AFN The Blend,https://www.lyngsat.com/radiochannels/us/AFN-The-Blend.html,False,American Forces Network,Eng,us,,Intelsat-18,,,,,,,,
30,26.0,AFN Legacy,,,DVB-S2,30000.0,2/3,3753 R,tp NH1C,,"PowerVu,Verimatrix",,AFN Legacy,https://www.lyngsat.com/radiochannels/us/AFN-Legacy.html,False,American Forces Network,Eng,us,,Intelsat-18,,,,,,,,
31,27.0,AFN's Joe Radio,,,DVB-S2,30000.0,2/3,3753 R,tp NH1C,,"PowerVu,Verimatrix",,AFN's Joe Radio,https://www.lyngsat.com/radiochannels/us/AFNs-Joe-Radio.html,False,American Forces Network,Eng,us,,Intelsat-18,,,,,,,,
32,28.0,AFN Gravity,,,DVB-S2,30000.0,2/3,3753 R,tp NH1C,,"PowerVu,Verimatrix",,AFN Gravity,https://www.lyngsat.com/radiochannels/us/AFN-Gravity.html,False,American Forces Network,Eng,us,,Intelsat-18,,,,,,,,
33,29.0,AFN Country,,,DVB-S2,30000.0,2/3,3753 R,tp NH1C,,"PowerVu,Verimatrix",,AFN Country,https://www.lyngsat.com/radiochannels/us/AFN-Country.html,False,American Forces Network,Eng,us,,Intelsat-18,,,,,,,,
34,30.0,NPR AFN,,,DVB-S2,30000.0,2/3,3753 R,tp NH1C,,"PowerVu,Verimatrix",,NPR AFN,https://www.lyngsat.com/radiochannels/us/NPR-AFN.html,False,American Forces Network,Eng,us,,Intelsat-18,,,,,,,,
35,31.0,AFN Seasonal,,,DVB-S2,30000.0,2/3,3753 R,tp NH1C,,"PowerVu,Verimatrix",,AFN Seasonal,https://www.lyngsat.com/radiochannels/us/AFN-Seasonal.html,False,American Forces Network,Eng,us,,Intelsat-18,,,,,,,,
36,32.0,AFN Contingency,,,DVB-S2,30000.0,2/3,3753 R,tp NH1C,,"PowerVu,Verimatrix",,AFN Contingency,https://www.lyngsat.com/radiochannels/us/AFN-Contingency.html,False,American Forces Network,Eng,us,,Intelsat-18,,,,,,,,
37,33.0,AFN Freedom Rock,,,DVB-S2,30000.0,2/3,3753 R,tp NH1C,,"PowerVu,Verimatrix",,AFN Freedom Rock,https://www.lyngsat.com/radiochannels/us/AFN-Freedom-Rock.html,False,American Forces Network,Eng,us,,Intelsat-18,,,,,,,,
38,35.0,AFN The Eagle Iwakuni,,,DVB-S2,30000.0,2/3,3753 R,tp NH1C,,"PowerVu,Verimatrix",,AFN The Eagle Iwakuni,https://www.lyngsat.com/radiochannels/us/AFN-The-Eagle-Iwakuni.html,False,American Forces Network,Eng,us,,Intelsat-18,,,,,,,,
39,36.0,AFN The Eagle Daegu,,,DVB-S2,30000.0,2/3,3753 R,tp NH1C,,"PowerVu,Verimatrix",,AFN The Eagle Daegu,https://www.lyngsat.com/radiochannels/us/AFN-The-Eagle-Daegu.html,False,American Forces Network,Eng,us,,Intelsat-18,,,,,,,,
40,37.0,AFN The Eagle Humphreys,,,DVB-S2,30000.0,2/3,3753 R,tp NH1C,,"PowerVu,Verimatrix",,AFN The Eagle Humphreys,https://www.lyngsat.com/radiochannels/us/AFN-The-Eagle-Humphreys.html,False,American Forces Network,Eng,us,,Intelsat-18,,,,,,,,
41,38.0,AFN The Eagle Kunsan,,,DVB-S2,30000.0,2/3,3753 R,tp NH1C,,"PowerVu,Verimatrix",,AFN The Eagle Kunsan,https://www.lyngsat.com/radiochannels/us/AFN-The-Eagle-Kunsan.html,False,American Forces Network,Eng,us,,Intelsat-18,,,,,,,,
42,39.0,AFN The Eagle Misawa,,,DVB-S2,30000.0,2/3,3753 R,tp NH1C,,"PowerVu,Verimatrix",,AFN The Eagle Misawa,https://www.lyngsat.com/radiochannels/us/AFN-The-Eagle-Misawa.html,False,American Forces Network,Eng,us,,Intelsat-18,,,,,,,,
43,40.0,AFN The Eagle Okinawa,,,DVB-S2,30000.0,2/3,3753 R,tp NH1C,,"PowerVu,Verimatrix",,AFN The Eagle Okinawa,https://www.lyngsat.com/radiochannels/us/AFN-The-Eagle-Okinawa.html,False,American Forces Network,Eng,us,,Intelsat-18,,,,,,,,
44,41.0,AFN The Eagle Tokyo,,,DVB-S2,30000.0,2/3,3753 R,tp NH1C,,"PowerVu,Verimatrix",,AFN The Eagle Tokyo,https://www.lyngsat.com/radiochannels/us/AFN-The-Eagle-Tokyo.html,False,American Forces Network,Eng,us,,Intelsat-18,,,,,,,,
45,42.0,AFN The Eagle Sasebo,,,DVB-S2,30000.0,2/3,3753 R,tp NH1C,,"PowerVu,Verimatrix",,AFN The Eagle Sasebo,https://www.lyngsat.com/radiochannels/us/AFN-The-Eagle-Sasebo.html,False,American Forces Network,Eng,us,,Intelsat-18,,,,,,,,
48,1.0,ABC Australia Pacific,?-?MPEG-4/SD,2307.0,DVB-S2,3443.0,3/4,4070 R,tp G17C,,,,,,False,American Forces Network,Eng,,,Intelsat-18,,,,,,,,
49,2.0,Radio Australia English for the Pacific,,,DVB-S2,3443.0,3/4,4070 R,tp G17C,,,,Radio Australia English for the Pacific,https://www.lyngsat.com/radiochannels/au/Radio-Australia-English-for-the-Pacific.html,False,American Forces Network,Eng,au,,Intelsat-18,,,,,,,,
50,3.0,Radio Australia English for Asia,,,DVB-S2,3443.0,3/4,4070 R,tp G17C,,,,Radio Australia English for Asia,https://www.lyngsat.com/radiochannels/au/Radio-Australia-English-for-Asia.html,False,American Forces Network,Eng,au,,Intelsat-18,,,,,,,,
53,101.0,MTN Special Events,MPEG-4/SD,4897.0,DVB-S2,30000.0,3/4,4095 R,tp G19C,,PowerVu,,MTN Special Events,https://www.lyngsat.com/tvchannels/us/MTN-Special-Events.html,False,Anuvu,Eng,us,,Intelsat-18,,,,,,,,
55,102.0,MSNBC International,MPEG-4/SD,4129.0,DVB-S2,30000.0,3/4,4095 R,tp G19C,,PowerVu,,MSNBC International,https://www.lyngsat.com/tvchannels/us/MSNBC-International.html,False,Anuvu,Eng,us,,Intelsat-18,,,,,,,,
56,103.0,Fox News Channel,MPEG-4/SD,4385.0,DVB-S2,30000.0,3/4,4095 R,tp G19C,,PowerVu,,Fox News Channel,https://www.lyngsat.com/tvchannels/us/Fox-News-Channel.html,False,Anuvu,Eng,us,,Intelsat-18,,,,,,,,
57,104.0,CNBC US,MPEG-4/SD,4641.0,DVB-S2,30000.0,3/4,4095 R,tp G19C,,PowerVu,,CNBC US,https://www.lyngsat.com/tvchannels/us/CNBC-US.html,False,Anuvu,Eng,us,,Intelsat-18,,,,,,,,
58,105.0,Sky News International,MPEG-4/SD,5153.0,DVB-S2,30000.0,3/4,4095 R,tp G19C,,PowerVu,,Sky News International,https://www.lyngsat.com/tvchannels/uk/Sky-News-International.html,False,Anuvu,Eng,uk,,Intelsat-18,,,,,,,,
59,106.0,BBC News,MPEG-4/SD,5409.0,DVB-S2,30000.0,3/4,4095 R,tp G19C,,PowerVu,,BBC News,https://www.lyngsat.com/tvchannels/uk/BBC-News.html,False,Anuvu,Eng,uk,,Intelsat-18,,,,,,,,
60,107.0,Prime Journey,MPEG-4/SD,5665.0,DVB-S2,30000.0,3/4,4095 R,tp G19C,,PowerVu,,Prime Journey,https://www.lyngsat.com/tvchannels/--/Prime-Journey.html,False,Anuvu,Eng,--,,Intelsat-18,,,,,,,,
61,108.0,Sky Sports News UK,MPEG-4/SD,5921.0,DVB-S2,30000.0,3/4,4095 R,tp G19C,,PowerVu,,Sky Sports News UK,https://www.lyngsat.com/tvchannels/uk/Sky-Sports-News-UK.html,False,Anuvu,Eng,uk,,Intelsat-18,,,,,,,,
62,109.0,Sport 24,MPEG-4/HD,6433.0,DVB-S2,30000.0,3/4,4095 R,tp G19C,,PowerVu,,Sport 24,https://www.lyngsat.com/tvchannels/uk/Sport-24.html,False,Anuvu,Eng,uk,,Intelsat-18,,,,,,,,
63,110.0,Prime One,MPEG-4/SD,6945.0,DVB-S2,30000.0,3/4,4095 R,tp G19C,,PowerVu,,Prime One,https://www.lyngsat.com/tvchannels/--/Prime-One.html,False,Anuvu,Eng,--,,Intelsat-18,,,,,,,,
64,111.0,Sport 24 Extra,MPEG-4/SD,7201.0,DVB-S2,30000.0,3/4,4095 R,tp G19C,,PowerVu,,Sport 24 Extra,https://www.lyngsat.com/tvchannels/uk/Sport-24-Extra.html,False,Anuvu,,uk,,Intelsat-18,,,,,,,,
65,112.0,RTL Deutschland,MPEG-4/SD,6689.0,DVB-S2,30000.0,3/4,4095 R,tp G19C,,PowerVu,,RTL Deutschland,https://www.lyngsat.com/tvchannels/de/RTL-Deutschland.html,False,Anuvu,Ger,de,,Intelsat-18,,,,,,,,
66,113.0,Sky News Australia,MPEG-4/SD,7457.0,DVB-S2,30000.0,3/4,4095 R,tp G19C,,PowerVu,,Sky News Australia,https://www.lyngsat.com/tvchannels/uk/Sky-News-Australia.html,False,Anuvu,Eng,uk,,Intelsat-18,,,,,,,,
67,115.0,TFC Middle East,MPEG-4/SD,7969.0,DVB-S2,30000.0,3/4,4095 R,tp G19C,,PowerVu,,TFC Middle East,https://www.lyngsat.com/tvchannels/ph/TFC-Middle-East.html,False,Anuvu,,ph,,Intelsat-18,,,,,,,,
68,116.0,Prime Favorites,MPEG-4/SD,4145.0,DVB-S2,30000.0,3/4,4095 R,tp G19C,,PowerVu,,Prime Favorites,https://www.lyngsat.com/tvchannels/--/Prime-Favorites.html,False,Anuvu,,--,,Intelsat-18,,,,,,,,
69,117.0,BBC HD,MPEG-4/HD,4657.0,DVB-S2,30000.0,3/4,4095 R,tp G19C,,PowerVu,,BBC HD,https://www.lyngsat.com/tvchannels/uk/BBC-HD.html,False,Anuvu,Eng,uk,,Intelsat-18,,,,,,,,
70,118.0,TVE Internacional Europa,MPEG-4/SD,4913.0,DVB-S2,30000.0,3/4,4095 R,tp G19C,,PowerVu,,TVE Internacional Europa,https://www.lyngsat.com/tvchannels/es/TVE-Internacional-Europa.html,False,Anuvu,Spa,es,,Intelsat-18,,,,,,,,
71,119.0,Canal 24 Horas,MPEG-4/SD,5169.0,DVB-S2,30000.0,3/4,4095 R,tp G19C,,PowerVu,,Canal 24 Horas,https://www.lyngsat.com/tvchannels/es/Canal-24-Horas.html,False,Anuvu,Spa,es,,Intelsat-18,,,,,,,,
72,120.0,Australian Comedy & Drama Channel,MPEG-4/SD,5425.0,DVB-S2,30000.0,3/4,4095 R,tp G19C,,PowerVu,,Australian Comedy & Drama Channel,https://www.lyngsat.com/tvchannels/au/Australian-Comedy-and-Drama-Channel.html,False,Anuvu,Eng,au,,Intelsat-18,,,,,,,,
73,121.0,ABC News (Australia),MPEG-4/SD,5681.0,DVB-S2,30000.0,3/4,4095 R,tp G19C,,PowerVu,,ABC News (Australia),https://www.lyngsat.com/tvchannels/au/ABC-News.html,False,Anuvu,Eng,au,,Intelsat-18,,,,,,,,
74,124.0,Food Network East,MPEG-4/SD,6961.0,DVB-S2,30000.0,3/4,4095 R,tp G19C,,PowerVu,,Food Network East,https://www.lyngsat.com/tvchannels/us/Food-Network-East.html,False,Anuvu,Eng,us,,Intelsat-18,,,,,,,,
75,125.0,HGTV East,MPEG-4/SD,6705.0,DVB-S2,30000.0,3/4,4095 R,tp G19C,,PowerVu,,HGTV East,https://www.lyngsat.com/tvchannels/us/HGTV-East.html,False,Anuvu,Eng,us,,Intelsat-18,,,,,,,,
76,126.0,Travel Channel East,MPEG-4/SD,5937.0,DVB-S2,30000.0,3/4,4095 R,tp G19C,,PowerVu,,Travel Channel East,https://www.lyngsat.com/tvchannels/us/Travel-Channel-East.html,False,Anuvu,Eng,us,,Intelsat-18,,,,,,,,
77,131.0,France 24 Français,MPEG-4/SD,4161.0,DVB-S2,30000.0,3/4,4095 R,tp G19C,,PowerVu,,France 24 Français,https://www.lyngsat.com/tvchannels/fr/France-24-Francais.html,False,Anuvu,Fre,fr,,Intelsat-18,,,,,,,,
78,8551.0,France 24 Français,MPEG-4/SD,342.0,DVB-S2,30000.0,5/6,11155 H,tp SP6K,,,,France 24 Français,https://www.lyngsat.com/tvchannels/fr/France-24-Francais.html,False,Anuvu,Fre,fr,,Intelsat-18,,,,,,,,
79,132.0,Mediaset Italia,MPEG-4/SD,4417.0,DVB-S2,30000.0,3/4,4095 R,tp G19C,,PowerVu,,Mediaset Italia,https://www.lyngsat.com/tvchannels/it/Mediaset-Italia.html,False,Anuvu,Ita,it,,Intelsat-18,,,,,,,,
80,140.0,Hunan TV,MPEG-4/SD,6465.0,DVB-S2,30000.0,3/4,4095 R,tp G19C,,PowerVu,,Hunan TV,https://www.lyngsat.com/tvchannels/cn/Hunan-TV.html,False,Anuvu,Chi,cn,,Intelsat-18,,,,,,,,
81,143.0,CCTV 6,MPEG-4/SD,6449.0,DVB-S2,30000.0,3/4,4095 R,tp G19C,,PowerVu,,CCTV 6,https://www.lyngsat.com/tvchannels/cn/CCTV-6.html,False,Anuvu,Chi,cn,,Intelsat-18,,,,,,,,
82,144.0,CCTV Entertainment,MPEG-4/SD,6193.0,DVB-S2,30000.0,3/4,4095 R,tp G19C,,PowerVu,,CCTV Entertainment,https://www.lyngsat.com/tvchannels/cn/CCTV-Entertainment.html,False,Anuvu,Chi,cn,,Intelsat-18,,,,,,,,
83,145.0,CCTV 4 America,MPEG-4/SD,7729.0,DVB-S2,30000.0,3/4,4095 R,tp G19C,,PowerVu,,CCTV 4 America,https://www.lyngsat.com/tvchannels/cn/CCTV-4-America.html,False,Anuvu,Chi,cn,,Intelsat-18,,,,,,,,
84,161.0,National Geographic UK,MPEG-4/SD,5649.0,DVB-S2,30000.0,3/4,4095 R,tp G19C,,PowerVu,,National Geographic UK,https://www.lyngsat.com/tvchannels/us/National-Geographic-UK.html,False,Anuvu,Eng,us,,Intelsat-18,,,,,,,,
85,,LCP Assemblée Nationale,MPEG-4/SD,1146.0,DVB-S2,45000.0,3/4,11075 V,tp FP3K,0.0,,,LCP Assemblée Nationale,https://www.lyngsat.com/tvchannels/fr/LCP-Assemblee-Nationale.html,False,Anuvu,Fre,fr,,Intelsat-18,,,,,,,,
86,,Public Sénat,MPEG-4/SD,1146.0,DVB-S2,45000.0,3/4,11075 V,tp FP3K,0.0,,,Public Sénat,https://www.lyngsat.com/tvchannels/fr/Public-Senat.html,False,Anuvu,Fre,fr,,Intelsat-18,,,,,,,,
87,,Radio Maria no te Hau,,,DVB-S2,45000.0,3/4,11075 V,tp FP3K,0.0,,,Radio Maria no te Hau,https://www.lyngsat.com/radiochannels/pf/Radio-Maria-no-te-Hau.html,False,Anuvu,Fre,pf,,Intelsat-18,,,,,,,,
88,,Radio Te Reo O Tefana,,,DVB-S2,45000.0,3/4,11075 V,tp FP3K,0.0,,,Radio Te Reo O Tefana,https://www.lyngsat.com/radiochannels/pf/Radio-Te-Reo-O-Tefana.html,False,Anuvu,Fre,pf,,Intelsat-18,,,,,,,,
89,,Radio 1 (Tahiti),,,DVB-S2,45000.0,3/4,11075 V,tp FP3K,0.0,,,Radio 1 (Tahiti),https://www.lyngsat.com/radiochannels/pf/Radio-1.html,False,Anuvu,Fre,pf,,Intelsat-18,,,,,,,,
90,,Tiare FM,,,DVB-S2,45000.0,3/4,11075 V,tp FP3K,0.0,,,Tiare FM,https://www.lyngsat.com/radiochannels/pf/Tiare-FM.html,False,Anuvu,Fre,pf,,Intelsat-18,,,,,,,,
91,8470.0,Tahiti Nui TV,MPEG-4/SD,49.0,DVB-S2,28588.0,3/4,11155 V,tp FP5K,0.0,,,Tahiti Nui TV,https://www.lyngsat.com/tvchannels/pf/Tahiti-Nui-TV.html,False,Anuvu,Fre,pf,,Intelsat-18,,,,,,,,
92,8548.0,Franceinfo:,MPEG-4/SD,341.0,DVB-S2,28588.0,3/4,11155 V,tp FP5K,0.0,,,Franceinfo:,https://www.lyngsat.com/tvchannels/fr/Franceinfo.html,False,Anuvu,Fre,fr,,Intelsat-18,,,,,,,,
96,8548.0,Franceinfo:,MPEG-4/SD,341.0,DVB-S2,30000.0,5/6,11155 H,tp SP6K,,,,Franceinfo:,https://www.lyngsat.com/tvchannels/fr/Franceinfo.html,False,Anuvu,Fre,fr,,Intelsat-18,,,,,,,,
100,114.0,France Inter,,,DVB-S2,28588.0,3/4,11155 V,tp FP5K,0.0,,,France Inter,https://www.lyngsat.com/radiochannels/fr/France-Inter.html,False,Anuvu,Fre,fr,,Intelsat-18,,,,,,,,
101,114.0,France Inter,,,DVB-S2,30000.0,5/6,11155 H,tp SP6K,,"Mediaguard,Viaccess",,France Inter,https://www.lyngsat.com/radiochannels/fr/France-Inter.html,False,Anuvu,Fre,fr,,Intelsat-18,,,,,,,,
102,156.0,Mouv',,,DVB-S2,28588.0,3/4,11155 V,tp FP5K,0.0,,,Mouv',https://www.lyngsat.com/radiochannels/fr/Mouv.html,False,Anuvu,Fre,fr,,Intelsat-18,,,,,,,,
103,157.0,Radio France Internationale,,,DVB-S2,28588.0,3/4,11155 V,tp FP5K,0.0,,,Radio France Internationale,https://www.lyngsat.com/radiochannels/fr/Radio-France-Internationale.html,False,Anuvu,Fre,fr,,Intelsat-18,,,,,,,,
104,159.0,France Culture,,,DVB-S2,28588.0,3/4,11155 V,tp FP5K,0.0,,,France Culture,https://www.lyngsat.com/radiochannels/fr/France-Culture.html,False,Anuvu,Fre,fr,,Intelsat-18,,,,,,,,
106,8453.0,Polynésie 1ère,MPEG-4/SD,302.0,DVB-S2,30000.0,5/6,11155 H,tp SP6K,,"Mediaguard,Viaccess",,Polynésie 1ère,https://www.lyngsat.com/tvchannels/fr/Polynesie-1ere.html,False,France TV,Fre,fr,,Intelsat-18,,,,,,,,
107,8454.0,Nouvelle Calédonie 1ère,MPEG-4/SD,303.0,DVB-S2,30000.0,5/6,11155 H,tp SP6K,,"Mediaguard,Viaccess",,Nouvelle Calédonie 1ère,https://www.lyngsat.com/tvchannels/fr/Nouvelle-Caledonie-1ere.html,False,France TV,Fre,fr,,Intelsat-18,,,,,,,,
108,8455.0,Wallis & Futuna 1ère,MPEG-4/SD,304.0,DVB-S2,30000.0,5/6,11155 H,tp SP6K,,"Mediaguard,Viaccess",,Wallis & Futuna 1ère,https://www.lyngsat.com/tvchannels/fr/Wallis-and-Futuna-1ere.html,False,France TV,Fre,fr,,Intelsat-18,,,,,,,,
109,8529.0,France 2,MPEG-4/SD,370.0,DVB-S2,30000.0,5/6,11155 H,tp SP6K,,"Mediaguard,Viaccess",,France 2,https://www.lyngsat.com/tvchannels/fr/France-2.html,False,France TV,Fre,fr,,Intelsat-18,,,,,,,,
111,8532.0,France 3,MPEG-4/SD,371.0,DVB-S2,30000.0,5/6,11155 H,tp SP6K,,"Mediaguard,Viaccess",,France 3,https://www.lyngsat.com/tvchannels/fr/France-3.html,False,France TV,Fre,fr,,Intelsat-18,,,,,,,,
113,8535.0,France 4,MPEG-4/SD,372.0,DVB-S2,30000.0,5/6,11155 H,tp SP6K,,"Mediaguard,Viaccess",,France 4,https://www.lyngsat.com/tvchannels/fr/France-4.html,False,France TV,Fre,fr,,Intelsat-18,,,,,,,,
116,8538.0,France 5,MPEG-4/SD,373.0,DVB-S2,30000.0,5/6,11155 H,tp SP6K,,"Mediaguard,Viaccess",,France 5,https://www.lyngsat.com/tvchannels/fr/France-5.html,False,France TV,Fre,fr,,Intelsat-18,,,,,,,,
118,8545.0,ARTE Français,MPEG-4/SD,374.0,DVB-S2,30000.0,5/6,11155 H,tp SP6K,,"Mediaguard,Viaccess",,ARTE Français,https://www.lyngsat.com/tvchannels/fr/ARTE-Francais.html,False,France TV,Fre,fr,,Intelsat-18,,,,,,,,
120,112.0,Polynésie 1ère Radio,,,DVB-S2,30000.0,5/6,11155 H,tp SP6K,,"Mediaguard,Viaccess",,Polynésie 1ère Radio,https://www.lyngsat.com/radiochannels/fr/Polynesie-1ere-Radio.html,False,France TV,Fre,fr,,Intelsat-18,,,,,,,,
121,113.0,Nouvelle Calédonie 1ère Radio,,,DVB-S2,30000.0,5/6,11155 H,tp SP6K,,"Mediaguard,Viaccess",,Nouvelle Calédonie 1ère Radio,https://www.lyngsat.com/radiochannels/fr/Nouvelle-Caledonie-1ere-Radio.html,False,France TV,Fre,fr,,Intelsat-18,,,,,,,,
122,124.0,Wallis et Futuna 1ère Radio,,,DVB-S2,30000.0,5/6,11155 H,tp SP6K,,"Mediaguard,Viaccess",,Wallis et Futuna 1ère Radio,https://www.lyngsat.com/radiochannels/fr/Wallis-et-Futuna-1ere-Radio.html,False,France TV,Fre,fr,,Intelsat-18,,,,,,,,
123,190.0,Outre-mer 1ère,,,DVB-S2,30000.0,5/6,11155 H,tp SP6K,,"Mediaguard,Viaccess",,Outre-mer 1ère,https://www.lyngsat.com/radiochannels/fr/Outre-mer-1ere.html,False,France TV,Fre,fr,,Intelsat-18,,,,,,,,
