Provider/Channel,Sattelite_Name,freq_alt,encryption_alt
AFN The Voice,Intelsat-18,3753 R,Verimatrix
AFN PowerTalk,Intelsat-18,3753 R,PowerVu
AFN PowerTalk,Intelsat-18,3753 R,Verimatrix
AFN Clutch,Intelsat-18,3753 R,PowerVu
AFN Clutch,Intelsat-18,3753 R,Verimatrix
AFN Fans,Intelsat-18,3753 R,PowerVu
AFN Fans,Intelsat-18,3753 R,Verimatrix
AFN The Blend,Intelsat-18,3753 R,PowerVu
AFN The Blend,Intelsat-18,3753 R,Verimatrix
AFN Legacy,Intelsat-18,3753 R,PowerVu
AFN Legacy,Intelsat-18,3753 R,Verimatrix
AFN's Joe Radio,Intelsat-18,3753 R,PowerVu
AFN's Joe Radio,Intelsat-18,3753 R,Verimatrix
AFN Gravity,Intelsat-18,3753 R,PowerVu
AFN Gravity,Intelsat-18,3753 R,Verimatrix
AFN Country,Intelsat-18,3753 R,PowerVu
AFN Country,Intelsat-18,3753 R,Verimatrix
NPR AFN,Intelsat-18,3753 R,PowerVu
NPR AFN,Intelsat-18,3753 R,Verimatrix
AFN Seasonal,Intelsat-18,3753 R,PowerVu
AFN Seasonal,Intelsat-18,3753 R,Verimatrix
AFN Contingency,Intelsat-18,3753 R,PowerVu
AFN Contingency,Intelsat-18,3753 R,Verimatrix
AFN Freedom Rock,Intelsat-18,3753 R,PowerVu
AFN Freedom Rock,Intelsat-18,3753 R,Verimatrix
AFN The Eagle Iwakuni,Intelsat-18,3753 R,PowerVu
AFN The Eagle Iwakuni,Intelsat-18,3753 R,Verimatrix
AFN The Eagle Daegu,Intelsat-18,3753 R,PowerVu
AFN The Eagle Daegu,Intelsat-18,3753 R,Verimatrix
AFN The Eagle Humphreys,Intelsat-18,3753 R,PowerVu
AFN The Eagle Humphreys,Intelsat-18,3753 R,Verimatrix
AFN The Eagle Kunsan,Intelsat-18,3753 R,PowerVu
AFN The Eagle Kunsan,Intelsat-18,3753 R,Verimatrix
AFN The Eagle Misawa,Intelsat-18,3753 R,PowerVu
AFN The Eagle Misawa,Intelsat-18,3753 R,Verimatrix
AFN The Eagle Okinawa,Intelsat-18,3753 R,PowerVu
AFN The Eagle Okinawa,Intelsat-18,3753 R,Verimatrix
AFN The Eagle Tokyo,Intelsat-18,3753 R,PowerVu
AFN The Eagle Tokyo,Intelsat-18,3753 R,Verimatrix
AFN The Eagle Sasebo,Intelsat-18,3753 R,PowerVu
AFN The Eagle Sasebo,Intelsat-18,3753 R,Verimatrix
ABC Australia Pacific,Intelsat-18,4070 R,
Radio Australia English for the Pacific,Intelsat-18,4070 R,
