SID,Provider/Channel,Compression,VPID,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,is_Provider,Provider,Languages,Channel_Country
,(feeds),,,DVB-S2,2400.0,3/4,3728 H,tp 1A,,,,,,False,,,
,(feeds),,,DVB-S2,1650.0,5/6,3730 V,tp 1B,,,,,,False,,,
,(feeds),,,DVB-S2,1200.0,3/4,3763 H,tp 2A,,,,,,False,,,
,(feeds),,,DVB-S2,1600.0,3/4,3770 H,tp 2A,,,,,,False,,,
,(feeds),,,DVB-S2,4600.0,3/4,3811 V,tp 3B,,,,,,False,,,
,(feeds),,,DVB-S2,4600.0,3/4,3817 V,tp 3B,,,,,,False,,,
,(feeds),,,DVB-S2,7500.0,5/6,3828 V,tp 3B,,,,,,False,,,
,(feeds),,,DVB-S2,6920.0,3/4,3858 H,,,,,,,False,,,
,(feeds),,,DVB-S,3600.0,3/4,3983 V,,,,,,,False,,,
,(feeds),,,DVB-S,3600.0,3/4,3995 V,,,,,,,False,,,
,(feeds),,,DVB-S2,3750.0,9/10,4005 H,,,,,,,False,,,
,(feeds),,,DVB-S,1200.0,3/4,4025 H,tp 8A,,,,,,False,,,
,(feeds),,,DVB-S,1200.0,3/4,4028 H,tp 8A,,,,,,False,,,
,(feeds),,,DVB-S2,2080.0,3/4,4040 H,tp 8A,,,,,,False,,,
,(feeds),,,DVB-S,1500.0,5/6,4043 H,tp 8A,,,,,,False,,,
,(feeds),,,DVB-S2,1500.0,5/6,4067 H,tp 8A,,,,,,False,,,
,(feeds),,,DVB-S2,1080.0,3/4,4094 H,tp 8A,,,,,,False,,,
,(feeds),,,DVB-S2,1600.0,3/4,4096 H,tp 8A,,,,,,False,,,
,(feeds),,,DVB-S2,1600.0,5/6,4098 H,tp 8A,,,,,,False,,,
1.0,Yunnan Lancang-Mekong International Channel,1-1MPEG-4/SD,256.0,DVB-S2,1800.0,3/4,3774 H,tp 2A,,,,,,False,,,
,(BBTV Channel 7 feeds),,,DVB-S2,2300.0,5/6,3836 V,tp 3B,,,,,,False,,,
,,,,DVB-S2,7200.0,3/4,4020 V,tp 7B,,,,,,False,,,
1.0,Polimer,MPEG-4/SD,1001.0,DVB-S2,7200.0,3/4,4020 V,tp 7B,,,,Polimer,https://www.lyngsat.com/tvchannels/in/Polimer.html,False,,Tam,in
2.0,Polimer News,MPEG-4/SD,1002.0,DVB-S2,7200.0,3/4,4020 V,tp 7B,,,,Polimer News,https://www.lyngsat.com/tvchannels/in/Polimer-News.html,False,,Tam,in
3.0,Jothi TV,MPEG-4/SD,1003.0,DVB-S2,7200.0,3/4,4020 V,tp 7B,,,,Jothi TV,https://www.lyngsat.com/tvchannels/in/Jothi-TV.html,False,,Tam,in
4.0,Polimer Samachar,MPEG-4/SD,1004.0,DVB-S2,7200.0,3/4,4020 V,tp 7B,,,,Polimer Samachar,https://www.lyngsat.com/tvchannels/in/Polimer-Samachar.html,False,,Hin,in
,(NBT TV feeds),,,DVB-S2,3750.0,3/4,4027 V,tp 7B,,,,,,False,,,
,(NBT TV feeds),,,DVB-S,3750.0,3/4,4032 V,tp 7B,,,,,,False,,,
,Voice of Strait,65535-1,,DVB-S2,1073.0,3/4,4035 H,tp 8A,,,https://www.lyngsat.com/providers/cn/Voice-of-Strait.html,,,True,Voice of Strait,,
1.0,VOS Auto and Life FM 90.6,,,DVB-S2,1073.0,3/4,4035 H,tp 8A,,,,VOS Auto and Life FM 90.6,https://www.lyngsat.com/radiochannels/cn/VOS-Auto-and-Life-FM-906.html,False,Voice of Strait,Chi,cn
