SID,Provider/Channel,Compression,VPID,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,is_Provider,Provider,Languages,Channel_Country
,(feeds),,,DVB-S2,,,10975 H,tp 1,,,,,,False,,,
,(feeds),,,DVB-S,3124.0,3/4,10978 H,tp 1,,,,,,False,,,
,(feeds),,,DVB-S,5632.0,3/4,10989 V,tp 2,,,,,,False,,,
,(feeds),,,DVB-S,6111.0,3/4,10991 H,tp 1,,,,,,False,,,
,(feeds),,,DVB-S,6111.0,3/4,11032 V,tp 4,,,,,,False,,,
,(feeds),,,DVB-S,6666.0,7/8,11043 V,tp 4,,,,,,False,,,
,(feeds),,,DVB-S2,4800.0,3/4,11455 V,tp 10,,,,,,False,,,
,(feeds),,,DVB-S2,4800.0,3/4,11492 V,tp 10,,,,,,False,,,
,(feeds),,,DVB-S2,7500.0,3/5,11639 V,tp 16A,,,,,,False,,,
,(feeds),,,DVB-S2,3700.0,3/4,11676 V,tp 16A,,,,,,False,,,
,(feeds),,,DVB-S2,3700.0,3/4,11680 V,tp 16A,,,,,,False,,,
,(feeds),,,DVB-S,3700.0,3/4,11839 V,tp 34,,,,,,False,,,
,(feeds),,,DVB-S,3700.0,3/4,11875 V,tp 34,,,,,,False,,,
,(feeds),,,DVB-S,3400.0,7/8,12504 V,tp 18,,,,,,False,,,
,(feeds),,,DVB-S2,5833.0,3/4,12510 V,tp 28A,,,,,,False,,,
,(feeds),,,DVB-S,10800.0,7/8,12524 V,tp 18,,,,,,False,,,
,(feeds),,,DVB-S,6111.0,3/4,12533 V,tp 18,,,,,,False,,,
,(feeds),,,DVB-S,6111.0,3/4,12542 V,tp 18,,,,,,False,,,
,(feeds),,,DVB-S,3500.0,3/4,12543 V,tp 28A,,,,,,False,,,
,(feeds),,,DVB-S,6111.0,3/4,12584 V,tp 20,,,,,,False,,,
,(feeds),,,DVB-S,3750.0,3/4,12595 V,tp 20,,,,,,False,,,
,(feeds),,,DVB-S,3750.0,5/6,12614 V,tp 20,,,,,,False,,,
,(feeds),,,DVB-S,7500.0,5/6,12674 V,tp 22,,,,,,False,,,
,(feeds),,,DVB-S2,3124.0,3/4,12692 V,tp 24,,,,,,False,,,
,(feeds),,,DVB-S,3124.0,3/4,12701 V,tp 24,,,,,,False,,,
,(feeds),,,DVB-S2,7500.0,5/6,12710 V,tp 24,,,,,,False,,,
,(feeds),,,DVB-S,6620.0,3/4,12717 V,tp 24,,,,,,False,,,
,(feeds),,,DVB-S2,9230.0,3/4,12731 H,,,,,,,False,,,
,SES,,,DVB-S,11970.0,5/6,11482 H,tp 9A,0.0,BISS,https://www.lyngsat.com/providers/lu/SES.html,,,True,SES,,
1.0,RR Media promo,MPEG-2/SD,2001.0,DVB-S,11970.0,5/6,11482 H,tp 9A,0.0,,,,,False,SES,Eng,
2.0,Record News,MPEG-2/SD,2002.0,DVB-S,11970.0,5/6,11482 H,tp 9A,0.0,BISS,,Record News,https://www.lyngsat.com/tvchannels/br/Record-News.html,False,SES,Por,br
2.0,Record News,MPEG-2/SD,2002.0,DVB-S,11970.0,5/6,11482 H,tp 9A,0.0,BISS,,Record News,https://www.lyngsat.com/tvchannels/br/Record-News.html,False,SES,Por,br
3.0,(Telemedia feeds),,2003.0,DVB-S,11970.0,5/6,11482 H,tp 9A,0.0,,,,,False,SES,,
4.0,Band Internacional,MPEG-2/SD,2004.0,DVB-S,11970.0,5/6,11482 H,tp 9A,0.0,,,Band Internacional,https://www.lyngsat.com/tvchannels/br/Band-Internacional.html,False,SES,Por,br
5.0,Band News,MPEG-2/SD,2005.0,DVB-S,11970.0,5/6,11482 H,tp 9A,0.0,,,Band News,https://www.lyngsat.com/tvchannels/br/Band-News.html,False,SES,Por,br
6.0,Woohoo,MPEG-2/SD,2006.0,DVB-S,11970.0,5/6,11482 H,tp 9A,0.0,,,Woohoo,https://www.lyngsat.com/tvchannels/br/Woohoo.html,False,SES,Por,br
10.0,[Telemedia test card],MPEG-2/SD,2010.0,DVB-S,11970.0,5/6,11482 H,tp 9A,0.0,,,,,False,SES,,
11.0,Apostolic Oneness Network,MPEG-2/SD,2011.0,DVB-S,11970.0,5/6,11482 H,tp 9A,0.0,,,Apostolic Oneness Network,https://www.lyngsat.com/tvchannels/us/Apostolic-Oneness-Network.html,False,SES,Eng,us
,@ TeleSkies,,,DVB-S,3460.0,7/8,12515 H,tp 17A,,,,,,False,SES,,
1302.0,@ STM,65281-801,,DVB-S2,10800.0,7/8,12517 V,tp 18,,,,,,False,SES,,
