SID,Provider/Channel,Compression,VPID,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,is_Provider,Provider,Languages
,(feeds),,,DVB-S2,7500,3/4,4036 H,tp 17,,,,False,,
,(feeds),,,DVB-S2,7500,3/4,4046 V,tp 18,,,,False,,
,(feeds),,,DVB-S2,7500,3/4,4055 V,tp 18,,,,False,,
,(feeds),,,DVB-S2,7500,3/4,4064 V,tp 18,,,,False,,
,(feeds),,,DVB-S2,7500,3/4,4066 H,tp 19,,,,False,,
,(feeds),,,DVB-S2,7500,3/4,4073 V,tp 18,,,,False,,
,(feeds),,,DVB-S2,7500,3/4,4075 H,tp 19,,,,False,,
,(feeds),,,DVB-S2,7500,3/4,4084 H,tp 19,,,,False,,
,(feeds),,,DVB-S2,7500,3/4,4086 V,tp 20,,,,False,,
,(feeds),,,DVB-S2,7500,3/4,4095 V,tp 20,,,,False,,
,(feeds),,,DVB-S2,7500,3/4,4104 V,tp 20,,,,False,,
,(feeds),,,DVB-S2,7500,3/4,4114 V,tp 20,,,,False,,
,(feeds),,,DVB-S2,7500,3/4,4125 V,tp 22,,,,False,,
,(feeds),,,DVB-S2,7500,3/4,4134 V,tp 22,,,,False,,
,(Texas Lottery feeds),,,DVB-S,13235,3/4,4151 H,tp 23,,,,False,,
