SID,Provider/Channel,Compression,VPID,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Pkg_Name,Pkg_URL,is_Provider,Provider,Languages
,,,,DSS,20000,2/3,12384 L,tp 12,,,,,,False,,
,,,,DSS,20000,2/3,12472 L,tp 18,,,,,,False,,
,,,,DSS,20000,6/7,12588 L,tp 26,,,,,,False,,
,,,,DSS,20000,6/7,12618 L,tp 28,,,,,,False,,
