SID,Provider/Channel,Compression,VPID,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,Pkg_Name,Pkg_URL,is_Provider,Provider,Languages,Channel_Country
10.0,Sout al Khaleej 2,,,DVB-S2,27500,3/4,10770 V,,50.0,,,Sout al Khaleej 2,https://www.lyngsat.com/radiochannels/qa/Sout-al-Khaleej-2.html,,,False,Al Kass,Ara,qa
11.0,Sout al Khaleej 3,,,DVB-S2,27500,3/4,10770 V,,50.0,,,Sout al Khaleej 3,https://www.lyngsat.com/radiochannels/qa/Sout-al-Khaleej-3.html,,,False,Al Kass,Ara,qa
12.0,Sout al Khaleej 4,,,DVB-S2,27500,3/4,10770 V,,50.0,,,Sout al Khaleej 4,https://www.lyngsat.com/radiochannels/qa/Sout-al-Khaleej-4.html,,,False,Al Kass,Ara,qa
13.0,Sout al Khaleej Europe,,,DVB-S2,27500,3/4,10770 V,,50.0,,,Sout al Khaleej Europe,https://www.lyngsat.com/radiochannels/qa/Sout-al-Khaleej-Europe.html,,,False,Al Kass,Ara,qa
21.0,Qatar Radio,,,DVB-S2,27500,3/4,10770 V,,50.0,,,Qatar Radio,https://www.lyngsat.com/radiochannels/qa/Qatar-Radio.html,,,False,Al Kass,Ara,qa
21.0,Qatar Radio,,,DVB-S2,27500,3/4,10770 V,,50.0,,,Qatar Radio,https://www.lyngsat.com/radiochannels/qa/Qatar-Radio.html,,,False,Al Kass,Ara,qa
22.0,Holy Quran Radio 1,,,DVB-S2,27500,3/4,10770 V,,50.0,,,Holy Quran Radio 1,https://www.lyngsat.com/radiochannels/qa/Holy-Quran-Radio-1.html,,,False,Al Kass,Ara,qa
22.0,Holy Quran Radio 1,,,DVB-S2,27500,3/4,10770 V,,50.0,,,Holy Quran Radio 1,https://www.lyngsat.com/radiochannels/qa/Holy-Quran-Radio-1.html,,,False,Al Kass,Ara,qa
23.0,Oryx FM,,,DVB-S2,27500,3/4,10770 V,,50.0,,,Oryx FM,https://www.lyngsat.com/radiochannels/qa/Oryx-FM.html,,,False,Al Kass,Fre,qa
23.0,Oryx FM,,,DVB-S2,27500,3/4,10770 V,,50.0,,,Oryx FM,https://www.lyngsat.com/radiochannels/qa/Oryx-FM.html,,,False,Al Kass,Fre,qa
24.0,QBS Radio,,,DVB-S2,27500,3/4,10770 V,,50.0,,,QBS Radio,https://www.lyngsat.com/radiochannels/qa/QBS-Radio.html,,,False,Al Kass,Eng,qa
24.0,QBS Radio,,,DVB-S2,27500,3/4,10770 V,,50.0,,,QBS Radio,https://www.lyngsat.com/radiochannels/qa/QBS-Radio.html,,,False,Al Kass,Eng,qa
25.0,Urdu Radio,,,DVB-S2,27500,3/4,10770 V,,50.0,,,Urdu Radio,https://www.lyngsat.com/radiochannels/qa/Urdu-Radio.html,,,False,Al Kass,Urd,qa
25.0,Urdu Radio,,,DVB-S2,27500,3/4,10770 V,,50.0,,,Urdu Radio,https://www.lyngsat.com/radiochannels/qa/Urdu-Radio.html,,,False,Al Kass,Urd,qa
26.0,Holy Quran Radio 2,,,DVB-S2,27500,3/4,10770 V,,50.0,,,Holy Quran Radio 2,https://www.lyngsat.com/radiochannels/qa/Holy-Quran-Radio-2.html,,,False,Al Kass,Ara,qa
26.0,Holy Quran Radio 2,,,DVB-S2,27500,3/4,10770 V,,50.0,,,Holy Quran Radio 2,https://www.lyngsat.com/radiochannels/qa/Holy-Quran-Radio-2.html,,,False,Al Kass,Ara,qa
27.0,Hola Qatar Radio,,,DVB-S2,27500,3/4,10770 V,,50.0,,,Hola Qatar Radio,https://www.lyngsat.com/radiochannels/qa/Hola-Qatar-Radio.html,,,False,Al Kass,Spa,qa
27.0,Hola Qatar Radio,,,DVB-S2,27500,3/4,10770 V,,50.0,,,Hola Qatar Radio,https://www.lyngsat.com/radiochannels/qa/Hola-Qatar-Radio.html,,,False,Al Kass,Spa,qa
8605.0,[BeIn Sports Max 1 info card],MPEG-4/HD,491.0,DVB-S2,27500,2/3,10810 V,,50.0,,,,,,,False,Al Kass,Ara,
8607.0,BeIn Sports News,MPEG-4/HD,511.0,DVB-S2,27500,2/3,10810 V,,50.0,,,BeIn Sports News,https://www.lyngsat.com/tvchannels/qa/BeIn-Sports-News.html,,,False,Al Kass,Ara,qa
20415.0,[Al Kass Seven info card],MPEG-4/HD,491.0,DVB-S2,27500,2/3,10850 H,,50.0,,,,,,,False,Al Kass,,
20416.0,[Al Kass Eight info card],MPEG-4/HD,501.0,DVB-S2,27500,2/3,10850 H,,50.0,,,,,,,False,Al Kass,,
20417.0,BeIn Sports,MPEG-4/HD,541.0,DVB-S2,27500,2/3,10850 H,,50.0,,,BeIn Sports,https://www.lyngsat.com/tvchannels/qa/BeIn-Sports.html,,,False,Al Kass,Ara Eng,qa
20418.0,[BeIn Sports Max 3 info card],MPEG-4/HD,451.0,DVB-S2,27500,2/3,10850 H,,50.0,,,,,,,False,Al Kass,,
20419.0,[BeIn Sports Max 4 info card],MPEG-4/HD,551.0,DVB-S2,27500,2/3,10850 H,,50.0,,,,,,,False,Al Kass,,
20420.0,[BeIn Sports Max 5 info card],MPEG-4/HD,521.0,DVB-S2,27500,2/3,10850 H,,50.0,,,,,,,False,Al Kass,,
20421.0,[BeIn Sports Max 6 info card],MPEG-4/HD,531.0,DVB-S2,27500,2/3,10850 H,,50.0,,,,,,,False,Al Kass,,
8805.0,[BeIn Sports Max 2 info card],MPEG-4/HD,531.0,DVB-S2,27500,2/3,10850 V,,50.0,,,,,,,False,Al Kass,,
4.0,A News,MPEG-4/HD,60.0,DVB-S2,30000,2/3,11310 V,tp E6,50.0,,,A News,https://www.lyngsat.com/tvchannels/tr/A-News.html,,,False,Al Kass,Eng,tr
4.0,A News,MPEG-4/HD,60.0,DVB-S2,30000,2/3,11310 V,tp E6,50.0,,,A News,https://www.lyngsat.com/tvchannels/tr/A-News.html,,,False,Al Kass,Eng,tr
20501.0,Alaraby TV,MPEG-4/HD,101.0,DVB-S2,30000,2/3,11310 V,tp E6,50.0,,,Alaraby TV,https://www.lyngsat.com/tvchannels/uk/Alaraby-TV.html,,,False,Al Kass,Ara,uk
20501.0,Alaraby TV,MPEG-4/HD,101.0,DVB-S2,30000,2/3,11310 V,tp E6,50.0,,,Alaraby TV,https://www.lyngsat.com/tvchannels/uk/Alaraby-TV.html,,,False,Al Kass,Ara,uk
20502.0,Syria TV,MPEG-4/HD,102.0,DVB-S2,30000,2/3,11310 V,tp E6,50.0,,,Syria TV,https://www.lyngsat.com/tvchannels/tr/Syria-TV.html,,,False,Al Kass,Ara,tr
20502.0,Syria TV,MPEG-4/HD,102.0,DVB-S2,30000,2/3,11310 V,tp E6,50.0,,,Syria TV,https://www.lyngsat.com/tvchannels/tr/Syria-TV.html,,,False,Al Kass,Ara,tr
20503.0,Bedaya TV,MPEG-4/HD,103.0,DVB-S2,30000,2/3,11310 V,tp E6,50.0,,,Bedaya TV,https://www.lyngsat.com/tvchannels/sa/Bedaya-TV.html,,,False,Al Kass,Ara,sa
20504.0,Alaraby TV 2,MPEG-4/HD,104.0,DVB-S2,30000,2/3,11310 V,tp E6,50.0,,,Alaraby TV 2,https://www.lyngsat.com/tvchannels/uk/Alaraby-TV-2.html,,,False,Al Kass,Ara,uk
20504.0,Alaraby TV 2,MPEG-4/HD,104.0,DVB-S2,30000,2/3,11310 V,tp E6,50.0,,,Alaraby TV 2,https://www.lyngsat.com/tvchannels/uk/Alaraby-TV-2.html,,,False,Al Kass,Ara,uk
20505.0,Al Rahma,MPEG-2/SD,105.0,DVB-S2,30000,2/3,11310 V,tp E6,50.0,,,Al Rahma,https://www.lyngsat.com/tvchannels/eg/Al-Rahma.html,,,False,Al Kass,Ara,eg
20506.0,Salam TV (Turkey),MPEG-4/SD,106.0,DVB-S2,30000,2/3,11310 V,tp E6,50.0,,,Salam TV (Turkey),https://www.lyngsat.com/tvchannels/tr/Salam-TV.html,,,False,Al Kass,,tr
20506.0,Salam TV (Turkey),MPEG-4/SD,106.0,DVB-S2,30000,2/3,11310 V,tp E6,50.0,,,Salam TV (Turkey),https://www.lyngsat.com/tvchannels/tr/Salam-TV.html,,,False,Al Kass,,tr
20509.0,Majan TV,MPEG-4/HD,109.0,DVB-S2,30000,2/3,11310 V,tp E6,50.0,,,Majan TV,https://www.lyngsat.com/tvchannels/om/Majan-TV.html,,,False,Al Kass,Ara,om
,Rotana,224-2080,,DVB-S2,27500,3/4,11350 H,,50.0,,https://www.lyngsat.com/providers/sa/Rotana.html,,,,,True,Rotana,,
20801.0,Rotana Cinema KSA,MPEG-4/HD,101.0,DVB-S2,27500,3/4,11350 H,,50.0,,,Rotana Cinema KSA,https://www.lyngsat.com/tvchannels/sa/Rotana-Cinema-KSA.html,,,False,Rotana,Ara,sa
20801.0,Rotana Cinema KSA,MPEG-4/HD,101.0,DVB-S2,27500,3/4,11350 H,,50.0,,,Rotana Cinema KSA,https://www.lyngsat.com/tvchannels/sa/Rotana-Cinema-KSA.html,,,False,Rotana,Ara,sa
20802.0,Rotana Comedy,MPEG-4/HD,102.0,DVB-S2,27500,3/4,11350 H,,50.0,,,Rotana Comedy,https://www.lyngsat.com/tvchannels/sa/Rotana-Comedy.html,,,False,Rotana,Ara,sa
20802.0,Rotana Comedy,MPEG-4/HD,102.0,DVB-S2,27500,3/4,11350 H,,50.0,,,Rotana Comedy,https://www.lyngsat.com/tvchannels/sa/Rotana-Comedy.html,,,False,Rotana,Ara,sa
20803.0,Rotana Classic,MPEG-4/HD,103.0,DVB-S2,27500,3/4,11350 H,,50.0,,,Rotana Classic,https://www.lyngsat.com/tvchannels/sa/Rotana-Classic.html,,,False,Rotana,Ara,sa
20803.0,Rotana Classic,MPEG-4/HD,103.0,DVB-S2,27500,3/4,11350 H,,50.0,,,Rotana Classic,https://www.lyngsat.com/tvchannels/sa/Rotana-Classic.html,,,False,Rotana,Ara,sa
20804.0,Rotana Khalejia,MPEG-4/HD,104.0,DVB-S2,27500,3/4,11350 H,,50.0,,,Rotana Khalejia,https://www.lyngsat.com/tvchannels/sa/Rotana-Khalejia.html,,,False,Rotana,Ara,sa
20804.0,Rotana Khalejia,MPEG-4/HD,104.0,DVB-S2,27500,3/4,11350 H,,50.0,,,Rotana Khalejia,https://www.lyngsat.com/tvchannels/sa/Rotana-Khalejia.html,,,False,Rotana,Ara,sa
20805.0,Rotana Drama,MPEG-4/HD,105.0,DVB-S2,27500,3/4,11350 H,,50.0,,,Rotana Drama,https://www.lyngsat.com/tvchannels/sa/Rotana-Drama.html,,,False,Rotana,Ara,sa
20805.0,Rotana Drama,MPEG-4/HD,105.0,DVB-S2,27500,3/4,11350 H,,50.0,,,Rotana Drama,https://www.lyngsat.com/tvchannels/sa/Rotana-Drama.html,,,False,Rotana,Ara,sa
20806.0,Rotana Music,MPEG-4/HD,106.0,DVB-S2,27500,3/4,11350 H,,50.0,,,Rotana Music,https://www.lyngsat.com/tvchannels/sa/Rotana-Music.html,,,False,Rotana,Ara,sa
20807.0,LBC (Saudi Arabia),MPEG-4/HD,107.0,DVB-S2,27500,3/4,11350 H,,50.0,,,LBC (Saudi Arabia),https://www.lyngsat.com/tvchannels/sa/LBC.html,,,False,Rotana,Ara,sa
20807.0,LBC (Saudi Arabia),MPEG-4/HD,107.0,DVB-S2,27500,3/4,11350 H,,50.0,,,LBC (Saudi Arabia),https://www.lyngsat.com/tvchannels/sa/LBC.html,,,False,Rotana,Ara,sa
20808.0,Alresalah TV,MPEG-4/HD,108.0,DVB-S2,27500,3/4,11350 H,,50.0,,,Alresalah TV,https://www.lyngsat.com/tvchannels/sa/Alresalah-TV.html,,,False,Rotana,Ara,sa
20808.0,Alresalah TV,MPEG-4/HD,108.0,DVB-S2,27500,3/4,11350 H,,50.0,,,Alresalah TV,https://www.lyngsat.com/tvchannels/sa/Alresalah-TV.html,,,False,Rotana,Ara,sa
20809.0,Rotana Clip,MPEG-4/HD,109.0,DVB-S2,27500,3/4,11350 H,,50.0,,,Rotana Clip,https://www.lyngsat.com/tvchannels/sa/Rotana-Clip.html,,,False,Rotana,Ara,sa
20809.0,Rotana Clip,MPEG-4/HD,109.0,DVB-S2,27500,3/4,11350 H,,50.0,,,Rotana Clip,https://www.lyngsat.com/tvchannels/sa/Rotana-Clip.html,,,False,Rotana,Ara,sa
