SID,Provider/Channel,Compression,VPID,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,Pkg_Name,Pkg_URL,is_Provider,Provider,Languages,Channel_Country
,(feeds),,,DVB-S2,5000.0,2/3,11455 H,,,,,,,,,False,,,
,(feeds),,,DVB-S2,5000.0,2/3,11461 H,,,,,,,,,False,,,
,(feeds),,,DVB-S2,4500.0,3/4,11467 H,,,,,,,,,False,,,
,(feeds),,,DVB-S2,3875.0,3/4,11481 H,,,,,,,,,False,,,
,(feeds),,,DVB-S2,3875.0,5/6,11487 H,,,,,,,,,False,,,
,(feeds),,,DVB-S,2222.0,5/6,11502 H,,,,,,,,,False,,,
,(feeds),,,DVB-S2,2000.0,5/6,11516 H,,,,,,,,,False,,,
,(feeds),,,DVB-S2,7200.0,3/4,11542 H,,,,,,,,,False,,,
,(feeds),,,DVB-S2,7200.0,3/4,11551 H,,,,,,,,,False,,,
,(feeds),,,DVB-S2,1000.0,5/6,11625 H,tp 11,,,,,,,,False,,,
,(feeds),,,DVB-S2,9700.0,3/4,11663 H,tp 12,,,,,,,,False,,,
,(feeds),,,DVB-S2,7200.0,3/4,11672 H,tp 12,,,,,,,,False,,,
,(feeds),,,DVB-S2,7200.0,3/4,11680 H,tp 12,,,,,,,,False,,,
,(feeds),,,DVB-S2,2200.0,5/6,11681 V,tp 12,,,,,,,,False,,,
,(feeds),,,DVB-S2,7200.0,3/4,11689 H,tp 12,,,,,,,,False,,,
,(feeds),,,DVB-S2,3600.0,3/4,12548 H,,,,,,,,,False,,,
,(feeds),,,DVB-S2,7200.0,3/4,12560 H,,,,,,,,,False,,,
,(feeds),,,DVB-S2,5000.0,3/4,12567 H,,,,,,,,,False,,,
,(feeds),,,DVB-S2,7200.0,3/4,12578 H,,,,,,,,,False,,,
,(feeds),,,DVB-S2,2500.0,5/6,12629 H,,,,,,,,,False,,,
,(feeds),,,DVB-S2,2500.0,5/6,12632 H,,,,,,,,,False,,,
,(feeds),,,DVB-S2,5000.0,5/6,12637 H,,,,,,,,,False,,,
,(feeds),,,DVB-S2,5000.0,5/6,12643 H,,,,,,,,,False,,,
,(feeds),,,DVB-S2,7200.0,3/4,12682 H,tp 23,,,,,,,,False,,,
,(feeds),,,DVB-S2,9370.0,2/3,12693 H,tp 23,,,,,,,,False,,,
,(feeds),,,DVB-S2,7200.0,3/4,12714 H,tp 24,,,,,,,,False,,,
,(feeds),,,DVB-S,1580.0,5/6,12719 H,tp 24,,,,,,,,False,,,
,(feeds),,,DVB-S2,1580.0,5/6,12721 V,,,,,,,,,False,,,
,(feeds),,,DVB-S2,1580.0,5/6,12731 V,,,,,,,,,False,,,
,(feeds),,,DVB-S2,5000.0,3/4,12737 H,tp 24,,,,,,,,False,,,
,(feeds),,,DVB-S2,5000.0,3/4,12743 H,tp 24,,,,,,,,False,,,
1.0,Media Office,?-1MPEG-4/HD,33.0,DVB-S2,4444.0,3/4,11510 H,,50-52,,,,,,,False,,Ara,
1.0,Media Office,65535-1MPEG-4/HD,33.0,DVB-S2,4444.0,3/4,12439 H,,46-48,,,,,,,False,,Ara,
