SID,Provider/Channel,Compression,VPID,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,is_Provider,Provider,Languages,Channel_Country
111.0,Ingo FM,,,DVB-S2,6730.0,2/3,3846 R,tp C5D,,,,Ingo FM,https://www.lyngsat.com/radiochannels/ke/Ingo-FM.html,False,Signet,,ke
111.0,Ingo FM,,,DVB-S2,6730.0,2/3,3846 R,tp C5D,,,,Ingo FM,https://www.lyngsat.com/radiochannels/ke/Ingo-FM.html,False,Signet,,ke
216.0,Pwani FM,,,DVB-S2,6730.0,2/3,3846 R,tp C5D,,,,Pwani FM,https://www.lyngsat.com/radiochannels/ke/Pwani-FM.html,False,Signet,,ke
216.0,Pwani FM,,,DVB-S2,6730.0,2/3,3846 R,tp C5D,,,,Pwani FM,https://www.lyngsat.com/radiochannels/ke/Pwani-FM.html,False,Signet,,ke
,(feeds),,,DVB-S2,1666.0,2/3,3878 L,,,,,,,False,Signet,,
,(feeds),,,DVB-S2,1666.0,2/3,3880 L,,,,,,,False,Signet,,
,,,,DVB-S2,1666.0,2/3,4071 V,,,,,,,False,Signet,,
,,,,DVB-S2,1666.0,2/3,4078 V,,,,,,,False,Signet,,
,,,,DVB-S2,28190.0,4/5,11754 V,,0.0,Videoguard,,,,False,Signet,,
,,,,DVB-S2,30000.0,2/3,12050 V,,0.0,,,,,False,Signet,,
,,,,DVB-S2,30000.0,2/3,12086 V,,0.0,,,,,False,Signet,,
,,,,DVB-S2,30000.0,2/3,12169 H,,0.0,,,,,False,Signet,,
,,,,DVB-S2,30000.0,3/4,12216 H,,0.0,,,,,False,Signet,,
,,,,DVB-S2,30000.0,3/4,12252 V,,0.0,,,,,False,Signet,,
,,,,DVB-S2,30000.0,2/3,12333 V,,0.0,,,,,False,Signet,,
,,,,DVB-S2,4580.0,2/3,12552 V,,0.0,,,,,False,Signet,,
1.0,Revival Channel,?-?MPEG-4/SD,257.0,DVB-S2,1100.0,5/6,4119 H,,,,,Revival Channel,https://www.lyngsat.com/tvchannels/cm/Revival-Channel.html,False,Signet,Fre,cm
,Revival Channel,MPEG-4/SD,201.0,DVB-S2,30000.0,3/4,12216 H,,0.0,,,Revival Channel,https://www.lyngsat.com/tvchannels/cm/Revival-Channel.html,False,Signet,Fre,cm
,ViewMedia,,,DVB-S2,30000.0,3/4,11717 V,,0.0,,https://www.lyngsat.com/providers/uk/ViewMedia.html,,,True,ViewMedia,,
,ViewMedia,,,DVB-S2,30000.0,3/4,11717 V,,0.0,,https://www.lyngsat.com/providers/uk/ViewMedia.html,,,True,ViewMedia,,
,ViewMedia,,,DVB-S2,30000.0,3/4,11717 V,,0.0,,https://www.lyngsat.com/providers/uk/ViewMedia.html,,,True,ViewMedia,,
,ViewMedia,,,DVB-S2,30000.0,2/3,11881 V,,0.0,,https://www.lyngsat.com/providers/uk/ViewMedia.html,,,True,ViewMedia,,
,ViewMedia,,,DVB-S2,30000.0,2/3,11881 V,,0.0,,https://www.lyngsat.com/providers/uk/ViewMedia.html,,,True,ViewMedia,,
,ViewMedia,,,DVB-S2,30000.0,2/3,11881 V,,0.0,,https://www.lyngsat.com/providers/uk/ViewMedia.html,,,True,ViewMedia,,
,ViewMedia,,,DVB-S2,30000.0,2/3,11918 V,,0.0,,https://www.lyngsat.com/providers/uk/ViewMedia.html,,,True,ViewMedia,,
,ViewMedia,,,DVB-S2,30000.0,2/3,11918 V,,0.0,,https://www.lyngsat.com/providers/uk/ViewMedia.html,,,True,ViewMedia,,
,ViewMedia,,,DVB-S2,30000.0,2/3,11918 V,,0.0,,https://www.lyngsat.com/providers/uk/ViewMedia.html,,,True,ViewMedia,,
,Jesus-Revient TV,MPEG-4/SD,800.0,DVB-S2,30000.0,3/4,11717 V,,0.0,,,Jesus-Revient TV,https://www.lyngsat.com/tvchannels/bj/Jesus-Revient-TV.html,False,ViewMedia,Fre,bj
,Jesus-Revient TV,MPEG-4/SD,800.0,DVB-S2,30000.0,3/4,11717 V,,0.0,,,Jesus-Revient TV,https://www.lyngsat.com/tvchannels/bj/Jesus-Revient-TV.html,False,ViewMedia,Fre,bj
,Jesus-Revient TV,MPEG-4/SD,800.0,DVB-S2,30000.0,3/4,11717 V,,0.0,,,Jesus-Revient TV,https://www.lyngsat.com/tvchannels/bj/Jesus-Revient-TV.html,False,ViewMedia,Fre,bj
,Jesus-Revient TV,MPEG-4/HD,4231.0,DVB-S2,30000.0,2/3,11881 V,,0.0,,,Jesus-Revient TV,https://www.lyngsat.com/tvchannels/bj/Jesus-Revient-TV.html,False,ViewMedia,Fre,bj
,Jesus-Revient TV,MPEG-4/HD,4231.0,DVB-S2,30000.0,2/3,11881 V,,0.0,,,Jesus-Revient TV,https://www.lyngsat.com/tvchannels/bj/Jesus-Revient-TV.html,False,ViewMedia,Fre,bj
,Jesus-Revient TV,MPEG-4/HD,4231.0,DVB-S2,30000.0,2/3,11881 V,,0.0,,,Jesus-Revient TV,https://www.lyngsat.com/tvchannels/bj/Jesus-Revient-TV.html,False,ViewMedia,Fre,bj
,Jesus-Revient TV,MPEG-4/HD,4231.0,DVB-S2,30000.0,2/3,12050 V,,0.0,,,Jesus-Revient TV,https://www.lyngsat.com/tvchannels/bj/Jesus-Revient-TV.html,False,ViewMedia,Fre,bj
,Jesus-Revient TV,MPEG-4/HD,4231.0,DVB-S2,30000.0,2/3,12050 V,,0.0,,,Jesus-Revient TV,https://www.lyngsat.com/tvchannels/bj/Jesus-Revient-TV.html,False,ViewMedia,Fre,bj
,Jesus-Revient TV,MPEG-4/HD,4231.0,DVB-S2,30000.0,2/3,12050 V,,0.0,,,Jesus-Revient TV,https://www.lyngsat.com/tvchannels/bj/Jesus-Revient-TV.html,False,ViewMedia,Fre,bj
,Property TV (Ghana),MPEG-4/SD,801.0,DVB-S2,30000.0,3/4,11717 V,,0.0,,,Property TV (Ghana),https://www.lyngsat.com/tvchannels/gh/Property-TV.html,False,ViewMedia,Eng,gh
,Nazareth TV,MPEG-4/SD,802.0,DVB-S2,30000.0,3/4,11717 V,,0.0,,,Nazareth TV,https://www.lyngsat.com/tvchannels/gh/Nazareth-TV.html,False,ViewMedia,Ewe,gh
,Faith TV (Ivory Coast),MPEG-4/SD,803.0,DVB-S2,30000.0,3/4,11717 V,,0.0,,,Faith TV (Ivory Coast),https://www.lyngsat.com/tvchannels/ci/Faith-TV.html,False,ViewMedia,Fre,ci
