SID,Provider/Channel,Compression,VPID,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Pkg_Name,Pkg_URL,is_Provider,Provider,Languages
11.0,[Tune Channel test card],MPEG-2/SD,801.0,DVB-S2,30000,3/5,11928 V,tp B6,0.0,,,,,False,,
,[Sky New Zealand test card],MPEG-2/SD,1001.0,DVB-S,27800,3/4,12707 H,tp NZ16,,,,,,False,,
