Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,Provider_URL,Provider,Frequency,Beam,EIRP
3662 RFixed C,DVB-S28PSK152853/4T2-MIPLP 0,,RTRS 1,,,,7.9,,N Stanislav220522,,,,,
1010,Perviy kanal (+9h),,MPEG-4/SD,1011,1012 Rus,GoSTcrypt,,,,,,,,
1030,Match!,,MPEG-4/SD,1031,1032 Rus,GoSTcrypt,,,,,,,,
1040,NTV (+9h),,MPEG-4/SD,1041,1042 Rus,,,,,,,,,
1050,5 Kanal (+9h),,MPEG-4/SD,1051,1052 Rus,,,,,,,,,
1060,Rossiya K (+9h),,MPEG-4/SD,1061,1062 Rus,,,,,,,,,
1080,Karusel (+9h),,MPEG-4/SD,1081,1082 Rus,,,,,,,,,
1100,TV Centr Dal'nii Vostok,,MPEG-4/SD,1101,1102 Rus,,,,,,,,,
1110,Vesti FM,,,,1111 Rus,,,,,,,,,
1120,Radio Mayak,,,,1122 Rus,,,,,,,,,
3662 RFixed C,DVB-S28PSK152853/4T2-MIPLP 1,,RTRS,,,,7.9,,N Stanislav220522,,,,,
1020,Rossiya 1 (+9h),,MPEG-4/SD,1021,1022 Rus,GoSTcrypt,,,,,,,,
1070,Rossiya 24,,MPEG-4/SD,1071,1072 Rus,,,,,,,,,
1090,OTR,,MPEG-4/SD,1091,1092 Rus,,,,,,,,,
1130,Radio Rossii (+9h),,,,1132 Rus,,,,,,,,,
3714 RFixed C,DVB-S28PSK152853/4T2-MIPLP 0,,RTRS 1,,,,7.9,,N Stanislav220522,,,,,
1010,Perviy kanal (+8h),,MPEG-4/SD,1011,1012 Rus,GoSTcrypt,,,,,,,,
1030,Match!,,MPEG-4/SD,1031,1032 Rus,GoSTcrypt,,,,,,,,
1040,NTV (+8h),,MPEG-4/SD,1041,1042 Rus,,,,,,,,,
1050,5 Kanal (+8h),,MPEG-4/SD,1051,1052 Rus,,,,,,,,,
1060,Rossiya K (+8h),,MPEG-4/SD,1061,1062 Rus,,,,,,,,,
1080,Karusel (+8h),,MPEG-4/SD,1081,1082 Rus,,,,,,,,,
1100,TV Centr Dal'nii Vostok,,MPEG-4/SD,1101,1102 Rus,,,,,,,,,
1110,Vesti FM,,,,1111 Rus,,,,,,,,,
1120,Radio Mayak,,,,1122 Rus,,,,,,,,,
3714 RFixed C,DVB-S28PSK152853/4T2-MIPLP 1,,RTRS,,,,7.9,,N Stanislav220522,,,,,
1020,Rossiya 1 (+7h),,MPEG-4/SD,1021,1022 Rus,GoSTcrypt,,,,,,,,
1070,Rossiya 24,,MPEG-4/SD,1071,1072 Rus,,,,,,,,,
1090,OTR,,MPEG-4/SD,1091,1092 Rus,,,,,,,,,
1130,Radio Rossii (+7h),,,,1132 Rus,,,,,,,,,
3766 RFixed C,DVB-S28PSK152853/4T2-MIPLP 0,,RTRS 2,,,,7.9,,N Stanislav220522,,,,,
2010,REN TV (+7h),,MPEG-4/SD,2011,2012 Rus,,,,,,,,,
2020,Telekanal Spas,,MPEG-4/SD,2021,2022 Rus,,,,,,,,,
2030,STS (+7h),,MPEG-4/SD,2031,2032 Rus,,,,,,,,,
2040,Domashniy (+7h),,MPEG-4/SD,2041,2042 Rus,,,,,,,,,
2050,TV 3 (+7h),,MPEG-4/SD,2051,2052 Rus,,,,,,,,,
2060,Pyatnitsa! (+7h),,MPEG-4/SD,2061,2062 Rus,,,,,,,,,
2070,Telekanal Zvezda (+7h),,MPEG-4/SD,2071,2072 Rus,,,,,,,,,
2080,Mir (+7h),,MPEG-4/SD,2081,2082 Rus,,,,,,,,,
2090,TNT (+7h),,MPEG-4/SD,2091,2092 Rus,,,,,,,,,
2100,Muz TV (+7h),,MPEG-4/SD,2101,2102 Rus,,,,,,,,,
