Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,Provider_URL,Provider,Frequency,Beam,EIRP
3888 Htp 8C0,DVB-S28PSK104145/6T2-MIPLP 0,,,,,,9.4,,Albert I240305,,,,,
201,NBC National Radio,,,,2012 Eng,,,,,,,,,
202,Tribe 92 FM,,,,2022 Eng,,,,,,,,,
203,Lalokau FM,,,,2032 Eng,,,,,,,,,
11,LifeTalk Radio,,,,1122 Eng,,,,,,,,,
12,Hope FM 88.1,,,,1124 Eng,,,,,,,,,
13,Hope FM 107.5,,,,1126 Eng,,,,,,,,,
14,Radio Nuevo Tiempo (Brazil),,,,1128 Por,,,,,,,,,
3926 Vtp 7C0,,,,,,,,,C Sutton240107,,,,,
151,Radio Fiji Two,,,,171,,,,,,,,,
152,Bula FM,,,,172,,,,,,,,,
153,Gold FM,,,,173 Eng,,,,,,,,,
154,Mirchi FM,,,,174 Hin,,,,,,,,,
155,2day FM,,,,175 Eng,,,,,,,,,
156,Radio Fiji One,,,,176,,,,,,,,,
4198 Htp 14C0,DVB-S2QPSK5205/6,,,,,,5.2,,C Sutton211113,,,,,
1,K-Love,,,,4181 Eng,,,,,,,,,
2,Air 1 Radio,,,,4197 Eng,,,,,,,,,
758,ABC Double J,,,,690 Eng,,,,,,,,,
759,ABC Jazz,,,,700 Eng,,,,,,,,,
760,ABC Kids listen,,,,701 Eng,,,,,,,,,
761,ABC Triple J,,,,702 Eng,,,,,,,,,
762,ABC Triple J Unearthed,,,,703 Eng,,,,,,,,,
763,ABC Classic,,,,704 Eng,,,,,,,,,
764,ABC Country,,,,705 Eng,,,,,,,,,
765,ABC Radio Darwin,,,,706 Eng,,,,,,,,,
766,ABC Radio National NSW,,,,707 Eng,,,,,,,,,
767,ABC NewsRadio,,,,708 Eng,,,,,,,,,
742,ABC Double J,,,,690 Eng,,,,,,,,,
743,ABC Jazz,,,,700 Eng,,,,,,,,,
744,ABC Kids listen,,,,701 Eng,,,,,,,,,
745,ABC Triple J,,,,702 Eng,,,,,,,,,
746,ABC Triple J Unearthed,,,,703 Eng,,,,,,,,,
747,ABC Classic,,,,704 Eng,,,,,,,,,
748,ABC Country,,,,705 Eng,,,,,,,,,
749,ABC Radio Perth,,,,706 Eng,,,,,,,,,
750,ABC Radio National NSW,,,,707 Eng,,,,,,,,,
751,ABC NewsRadio,,,,708 Eng,,,,,,,,,
710,ABC Double J,,,,690 Eng,,,,,,,,,
711,ABC Jazz,,,,700 Eng,,,,,,,,,
712,ABC Kids listen,,,,701 Eng,,,,,,,,,
713,ABC Triple J,,,,702 Eng,,,,,,,,,
714,ABC Triple J Unearthed,,,,703 Eng,,,,,,,,,
715,ABC Classic,,,,704 Eng,,,,,,,,,
716,ABC Country,,,,705 Eng,,,,,,,,,
717,ABC Radio Brisbane,,,,706 Eng,,,,,,,,,
718,ABC Radio National NSW,,,,707 Eng,,,,,,,,,
719,ABC NewsRadio,,,,708 Eng,,,,,,,,,
,SBS WA,,,161,81,,,,,,,,,
,SBS Food WA,,,163,85 Eng,,,,,,,,,
,NITV,,,164,87 Eng,,,,,,,,,
,SBS Radio 1 WA,,,,201,,,,,,,,,
,SBS Radio 2 WA,,,,202,,,,,,,,,
,SBS Radio 3,,,,203,,,,,,,,,
,SBS Queensland,,,161,81,,,,,,,,,
,SBS Food Queensland,,,163,85 Eng,,,,,,,,,
,NITV,,,164,87 Eng,,,,,,,,,
,SBS Radio 1 Queensland,,,,201,,,,,,,,,
,SBS Radio 2 Queensland,,,,202,,,,,,,,,
,SBS Radio 3,,,,203,,,,,,,,,
101,NBC TV (Papua New Guinea),,HEVC/HD,1011,1012 Eng,,,,,,,,,
102,EM TV (Papua New Guinea),,HEVC/HD,1091,1092 Eng,,,,,,,,,
103,NBC TV (Papua New Guinea),,HEVC/SD,1031,1032 Eng,,,,,,,,,
104,NBC TV (Papua New Guinea),,HEVC/SD,1061,1062 Eng,,,,,,,,,
105,NBC TV (Papua New Guinea),,HEVC/SD,1081,1082 Eng,,,,,,,,,
106,CGTN,,HEVC/SD,1111,1112 Eng,,,,,,,,,
107,Pasifika TV,,HEVC/SD,1141,1142 Eng,,,,,,,,,
108,CGTN Arabic,,HEVC/SD,1151,1152 Ara,,new,,,,,,,
3916 Htp 8C0,DVB-S2QPSK33303/4,10,Hope Channel Australia,,0-1MPEG-2/SD,1160,4.01120 Eng,,C Sutton210204,,,,,
3947 Htp 8C0,DVB-S28PSK150003/5,,Walesi,,,,5.5,Verimatrix,Albert I240304,https://www.lyngsat.com/providers/fj/Walesi.html,Walesi,3947 H,tp 8,C0
110,FBC TV,,MPEG-4/SD,113,114,Verimatrix,,,,,,3947 H,tp 8,C0
130,FBC 2,,MPEG-4/SD,133,134,Verimatrix,,,,,,3947 H,tp 8,C0
140,Parliament of Fiji,,MPEG-4/SD,4096,202 Eng4097 Eng,Verimatrix,,,,,,3947 H,tp 8,C0
210,Fiji One,,MPEG-4/SD,213,214 Eng,Verimatrix,,,,,,3947 H,tp 8,C0
220,Channel 2 (Fiji),,MPEG-4/SD,2101,201 Eng3001 Eng,Verimatrix,,,,,,3947 H,tp 8,C0
310,Mai TV,,MPEG-4/SD,313,314 Eng,Verimatrix,,,,,,3947 H,tp 8,C0
410,Hope Channel Fiji,,MPEG-4/SD,3005,3004 Eng3006 Eng,Verimatrix,,,,,,3947 H,tp 8,C0
620,Education Channel,,MPEG-4/SD,622,3000 Eng,,,,,,,3947 H,tp 8,C0
936,SBS WorldWatch,,MPEG-4/SD,165,90,,,,,,,3947 H,tp 8,C0
952,SBS WorldWatch,,MPEG-4/SD,165,90,,,,,,,3947 H,tp 8,C0
120,FBC Sports,,MPEG-4/HD,123,124,Verimatrix,,,,,,3947 H,tp 8,C0
757,ABC TV NT,,MPEG-4/HD,515,653 Eng,,,,,,,3947 H,tp 8,C0
741,ABC TV WA,,MPEG-4/HD,515,653 Eng,,,,,,,3947 H,tp 8,C0
709,ABC TV Queensland,,MPEG-4/HD,515,653 Eng,,,,,,,3947 H,tp 8,C0
3978 Vtp 9C,DVB-S28PSK27553/4,,(feeds),,,,,,Bulek Sps210613,,,3947 H,tp 8,C0
12518 Htp F1South Pacific,DVB-S28PSK75005/6,,(feeds),,,,,,C Sutton230409,,,3947 H,tp 8,C0
12527 Htp F1South Pacific,DVB-S28PSK75003/4,,(feeds),,,,,,C Sutton230409,,,3947 H,tp 8,C0
4196 Htp 14C0,DVB-S28PSK14153/4,1,NBC TV,,?-?MPEG-4/SD,101,7.9 102 Eng,,Albert I240306,,,3947 H,tp 8,C0
11044 Vtp B4South Pacific,DVB-S216APSK450004/5MultistreamStream 123,,ABC NT,,,,,,C Sutton240203,https://www.lyngsat.com/providers/au/ABC-NT.html,ABC NT,11044 V,tp B4,South Pacific
752,ABC News (Australia),,MPEG-2/SD,516,654 Eng,,,,,,,11044 V,tp B4,South Pacific
753,ABC TV NT,,MPEG-2/SD,512,650 Eng,,,,,,,11044 V,tp B4,South Pacific
754,ABC Kids NT (05.00-19.30),,MPEG-2/SD,513,651 Eng,,,,,,,11044 V,tp B4,South Pacific
754,ABC TV Plus NT (19.30-05.00),,MPEG-2/SD,513,651 Eng,,,,,,,11044 V,tp B4,South Pacific
756,ABC Me NT,,MPEG-2/SD,514,652 Eng,,,,,,,11044 V,tp B4,South Pacific
736,ABC News (Australia),,MPEG-2/SD,516,654 Eng,,,,,,,11044 V,tp B4,South Pacific
