Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,Provider_URL,Provider,Frequency,Beam,EIRP
3834 Vtp 6AA Even,DVB-S28PSK29242/3,,(feeds),,,,,,T Kameda170206,,,,,
3888 Vtp 10AA Even,DVB-S66663/4,,(feeds),,,,,,C Sutton191130,,,,,
3897 Vtp 10AA Even,DVB-S44443/4,,(feeds),,,,,,Bulek Sps180925,,,,,
3913 Vtp 10AA Even,DVB-S28PSK85503/4,,,,,,7.9,Irdeto,C Sutton170719,,,,,
8050,Fix & Foxi,,MPEG-4/SD,8052,8054 Eng8055 Ara8056 Ger,Irdeto,,,,,,,,
8060,Rotana Music,,MPEG-2/SD,8062,8064 Ara,Irdeto,,,,,,,,
8070,Rotana Cinema KSA,,MPEG-2/SD,8072,8074 Ara,Irdeto,,,,,,,,
8080,Alresalah TV,,MPEG-2/SD,8082,8084 Ara,Irdeto,,,,,,,,
3965 VA Even,DVB-S44443/4,,(feeds),,,,,,C Sutton220510,,,,,
3971 VA Even,DVB-S44443/4,,(feeds),,,,,,C Sutton220510,,,,,
3977 VA Even,DVB-S44443/4,,(feeds),,,,,,C Sutton220510,,,,,
12696 Vtp 7NNorthern,DVB-S100001/2,4010,Trace Sport Stars,,100-2MPEG-4/HD,4013,2.74014 Eng4045 Eng,,T Kameda150117,,,,,
