Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,Provider_URL,Provider,Frequency,Beam,EIRP
11181 Vtp MEV4Middle East,DVB-S28PSK24005/6,,(Almada TV feeds),,,,,,Marcel 2150615,,,11545 H,tp EAH6,East Africa0-50
11545 Htp EAH6East Africa0-50,DVB-S2QPSK450005/6,6425,Kana TV,,MPEG-2/SD,2012,3012 Amh,,,,,11545 H,tp EAH6,East Africa0-50
11545 Htp EAH6East Africa0-50,DVB-S2QPSK450005/6,6426,Harima TV,,MPEG-2/SD,93,94 Amh,,,,,11545 H,tp EAH6,East Africa0-50
11545 Htp EAH6East Africa0-50,DVB-S2QPSK450005/6,6427,As-Sunnah TV,,MPEG-2/SD,77,78 Amh,,,,,11545 H,tp EAH6,East Africa0-50
11545 Htp EAH6East Africa0-50,DVB-S2QPSK450005/6,6429,Minber TV,,MPEG-2/SD,74,75 Amh,,,,,11545 H,tp EAH6,East Africa0-50
11545 Htp EAH6East Africa0-50,DVB-S2QPSK450005/6,6431,Glory of God TV,,MPEG-4/SD,80,81 Amh,,,,,11545 H,tp EAH6,East Africa0-50
11545 Htp EAH6East Africa0-50,DVB-S2QPSK450005/6,6432,OBN Gaammee,,MPEG-4/SD,90,9. Orm,,,,,11545 H,tp EAH6,East Africa0-50
11545 Htp EAH6East Africa0-50,DVB-S2QPSK450005/6,6440,A Plus TV,,MPEG-4/SD,2440,3440,,,,,11545 H,tp EAH6,East Africa0-50
11545 Htp EAH6East Africa0-50,DVB-S2QPSK450005/6,6441,Bisrat TV,,MPEG-4/SD,2441,3441 Amh,,,,,11545 H,tp EAH6,East Africa0-50
11545 Htp EAH6East Africa0-50,DVB-S2QPSK450005/6,6442,KTV,,MPEG-4/SD,36,37,,,,,11545 H,tp EAH6,East Africa0-50
11545 Htp EAH6East Africa0-50,DVB-S2QPSK450005/6,6443,Oromia Clergy Network,,MPEG-4/SD,2443,3443 Orm,,,,,11545 H,tp EAH6,East Africa0-50
11605 Htp EAH7East Africa0-50,DVB-S2QPSK450005/6,6219,Oromia Clergy Network,,MPEG-4/SD,79,80 Orm,,,,,11545 H,tp EAH6,East Africa0-50
11545 Htp EAH6East Africa0-50,DVB-S2QPSK450005/6,6444,Mo'aa TV,,MPEG-4/SD,2444,3444 Orm,,,,,11545 H,tp EAH6,East Africa0-50
11585 Htp CAH7Central Asia0,DVB-S28PSK107503/4,,Teleradiokom,,1-6,,7.9,,N Stanislav220416,https://www.lyngsat.com/providers/tj/Teleradiokom.html,Teleradiokom,11585 H,tp CAH7,Central Asia0
11585 Htp CAH7Central Asia0,DVB-S28PSK107503/4,1,Tojikiston,,MPEG-4/HD,612,641 Tgk,,,,,11585 H,tp CAH7,Central Asia0
11585 Htp CAH7Central Asia0,DVB-S28PSK107503/4,2,TV Safina,,MPEG-4/HD,721,741 Tgk,,,,,11585 H,tp CAH7,Central Asia0
11585 Htp CAH7Central Asia0,DVB-S28PSK107503/4,3,TV Bahoriston,,MPEG-4/HD,821,841 Tgk,,,,,11585 H,tp CAH7,Central Asia0
11585 Htp CAH7Central Asia0,DVB-S28PSK107503/4,4,Jahonnamo,,MPEG-4/HD,921,941 Tgk,,,,,11585 H,tp CAH7,Central Asia0
11585 Htp CAH7Central Asia0,DVB-S28PSK107503/4,5,Varzish TV,,MPEG-4/HD,4113,4352 Tgk,BISS,,,,11585 H,tp CAH7,Central Asia0
11585 Htp CAH7Central Asia0,DVB-S28PSK107503/4,6,TV Sinamo,,MPEG-4/HD,611,631 Tgk,,,,,11585 H,tp CAH7,Central Asia0
11585 Htp CAH7Central Asia0,DVB-S28PSK107503/4,17,Radioi Tojikiston,,,,131 Tgk,,,,,11585 H,tp CAH7,Central Asia0
11585 Htp CAH7Central Asia0,DVB-S28PSK107503/4,18,Ovozi Tojik,,,,132 Tgk,,,,,11585 H,tp CAH7,Central Asia0
11585 Htp CAH7Central Asia0,DVB-S28PSK107503/4,19,Sadoi Dushanbe,,,,231 Tgk,,,,,11585 H,tp CAH7,Central Asia0
11585 Htp CAH7Central Asia0,DVB-S28PSK107503/4,20,Radioi Farhang,,,,232 Tgk,,,,,11585 H,tp CAH7,Central Asia0
11605 Htp EAH7East Africa0-50,DVB-S2QPSK450005/6,6201,Elshaddai TV Network,,MPEG-4/SD,792,1048 Amh,,,,,11585 H,tp CAH7,Central Asia0
11605 Htp EAH7East Africa0-50,DVB-S2QPSK450005/6,6203,Christ Army TV,,MPEG-4/SD,52,53 Amh,,,,,11585 H,tp CAH7,Central Asia0
11605 Htp EAH7East Africa0-50,DVB-S2QPSK450005/6,6204,Bethel TV (Ethiopia),,MPEG-4/SD,58,59 Amh,,,,,11585 H,tp CAH7,Central Asia0
11605 Htp EAH7East Africa0-50,DVB-S2QPSK450005/6,6206,Kale Awadi TV,,MPEG-4/SD,55,56 Amh,,,,,11585 H,tp CAH7,Central Asia0
11605 Htp EAH7East Africa0-50,DVB-S2QPSK450005/6,6207,Anointing TV Channel,,MPEG-4/SD,61,62 Amh,,,,,11585 H,tp CAH7,Central Asia0
11605 Htp EAH7East Africa0-50,DVB-S2QPSK450005/6,6208,Nesiha TV,,MPEG-2/SD,102,103 Amh,,,,,11585 H,tp CAH7,Central Asia0
11605 Htp EAH7East Africa0-50,DVB-S2QPSK450005/6,6209,JSL TV,,MPEG-4/SD,97,98 Amh,,,,,11585 H,tp CAH7,Central Asia0
11605 Htp EAH7East Africa0-50,DVB-S2QPSK450005/6,6210,Jesus Wonderful TV,,MPEG-4/SD,67,68 Amh,,,,,11585 H,tp CAH7,Central Asia0
11605 Htp EAH7East Africa0-50,DVB-S2QPSK450005/6,6211,Heaven TV,,MPEG-4/SD,64,65 Amh,,,,,11585 H,tp CAH7,Central Asia0
11605 Htp EAH7East Africa0-50,DVB-S2QPSK450005/6,6216,Shilo TV,,MPEG-4/SD,2001,3001 Amh,,,,,11585 H,tp CAH7,Central Asia0
11605 Htp EAH7East Africa0-50,DVB-S2QPSK450005/6,6217,Christ Mission TV,,MPEG-4/SD,82,83 Amh,,,,,11585 H,tp CAH7,Central Asia0
11605 Htp EAH7East Africa0-50,DVB-S2QPSK450005/6,6218,Gospel TV (Ethiopia),,MPEG-4/SD,109,110 Amh,,,,,11585 H,tp CAH7,Central Asia0
11605 Htp EAH7East Africa0-50,DVB-S2QPSK450005/6,6220,SES promo,,MPEG-4/SD,2064,2068,,,,,11585 H,tp CAH7,Central Asia0
11605 Htp EAH7East Africa0-50,DVB-S2QPSK450005/6,6221,7 Spirits TV,,MPEG-4/SD,88,89 Amh,,,,,11585 H,tp CAH7,Central Asia0
11605 Htp EAH7East Africa0-50,DVB-S2QPSK450005/6,6222,Winners Way TV,,MPEG-4/SD,85,86 Amh,,,,,11585 H,tp CAH7,Central Asia0
11605 Htp EAH7East Africa0-50,DVB-S2QPSK450005/6,6223,River TV,,MPEG-4/SD,76,77 Amh,,,,,11585 H,tp CAH7,Central Asia0
11605 Htp EAH7East Africa0-50,DVB-S2QPSK450005/6,6224,Jesus TV,,MPEG-4/SD,70,71 Amh,,,,,11585 H,tp CAH7,Central Asia0
11605 Htp EAH7East Africa0-50,DVB-S2QPSK450005/6,6225,ERI TV 1,,MPEG-4/SD,525,5644,,,,,11585 H,tp CAH7,Central Asia0
