Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,Provider_URL,Provider,Frequency,Beam,EIRP
11727 Rtp 1Japan,ISDB-STC8PSK288602/3,,BS Digital,,,,,B-CAS,Alimudin 328200503,,,,,
151,BS Asahi,,/HD,320,321 Jpn,B-CAS,,,,,,,,
161,BS-TBS,,/HD,273,274 Jpn,B-CAS,,,,,,,,
171,BS TV Tokyo,,/HD,,Jpn,B-CAS,,,,,,,,
11766 Rtp 3Japan,ISDB-STC8PSK288602/3,,BS Digital,,,,,B-CAS,Alimudin 328200503,,,,,
103,NHK BS Premium,,/HD,,Jpn,B-CAS,,,,,,,,
11881 Rtp 9Japan,ISDB-STC8PSK288602/3,,BS Digital,,,,,B-CAS,T Kameda170306,,,,,
211,BS 11,,/HD,,Jpn,B-CAS,,,,,,,,
222,BS 12,,/HD,,Jpn,B-CAS,,,,,,,,
11958 Rtp 13Japan,ISDB-STC8PSK288602/3,,BS Digital,,,,,B-CAS,Alimudin 328200504,,,,,
141,BS Nippon TV,,/HD,,Jpn,B-CAS,,,,,,,,
181,BS Fuji,,/HD,,Jpn,B-CAS,,,,,,,,
11996 Rtp 15Japan,ISDB-STC8PSK288602/3,,BS Digital,,,,,B-CAS,Alimudin 328200503,,,,,
101,NHK BS 1,,,,Jpn,B-CAS,,,,,,,,
12034 Rtp 17Japan,ISDB-S316APSK33756.,,BS Digital,,,,,ACAS,Alimudin 328200504,,,,,
45329,BS-TBS 4K,,HEVC/UHD,,Jpn,ACAS,,,,,,,,
45330,BS Fuji 4K,,HEVC/UHD,,Jpn,ACAS,,,,,,,,
