Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,Provider_URL,Provider,Frequency,Beam,EIRP
3777 HIndia,DVB-S28PSK44005/6,,Doordarshan,,1-1,,9.4,,N Stanislav240124,,,,,
3777 HIndia,DVB-S28PSK44005/6,5,DD Sports,,MPEG-4/SD,501,502 Hin,BISS,,,,,,
3777 HIndia,DVB-S28PSK44005/6,6,DD Sports,,MPEG-4/HD,601,602 Hin,,,,,,,
3777 HIndia,DVB-S28PSK44005/6,7,DD Kisan,,MPEG-4/SD,701,702,,,,,,,
3782 HIndia,DVB-S28PSK20003/4,,Doordarshan,,,,7.9,BISS,Robiul231114,,,,,
3782 HIndia,DVB-S28PSK20003/4,3,[DD Bharati test card],,MPEG-4/SD,103,203 Hin,,,,,,,
3782 HIndia,DVB-S28PSK20003/4,4,DD Sports,,MPEG-4/SD,104,204 Hin,BISS,,,,,,
3875 HIndia,DVB-S2QPSK10003/4,,AIR,,,,4.0,,N Stanislav230416,,,,,
3875 HIndia,DVB-S2QPSK10003/4,2000,AIR FM Rainbow Mumbai,,,,201,,,,,,,
3875 HIndia,DVB-S2QPSK10003/4,3000,AIR Marathi,,,,301 Mar,,,,,,,
3875 HIndia,DVB-S2QPSK10003/4,4000,AIR FM Gold Delhi,,,,401,,,,,,,
3875 HIndia,DVB-S2QPSK10003/4,5000,AIR FM Rainbow Lucknow,,,,501,,,,,,,
3875 HIndia,DVB-S2QPSK10003/4,6000,AIR Amritsar,,,,601,,,,,,,
11578 H,DVB-S5000,,Utkarsh Channel,,,,,,Supervisor Bahu210329,,,,,
11578 H,DVB-S5000,1,Utkarsh Channel 4,,MPEG-2/SD,257,258 Eng,,,,,,,
11578 H,DVB-S5000,2,Utkarsh Channel 1,,MPEG-2/SD,513,514 Hin,,,,,,,
11578 H,DVB-S5000,3,Utkarsh Channel 2,,MPEG-2/SD,769,770 Hin,,,,,,,
11578 H,DVB-S5000,4,Utkarsh Channel 3,,MPEG-2/SD,1025,1026 Eng,,,,,,,
11587 H,DVB-S4000,3,[test card],,?-?MPEG-2/SD,769,770,,Supervisor Bahu210329,,,,,
11593 V,DVB-S1100,,(feeds),,,,,,Dx Ranajit191127,,,,,
11667 V,DVB-S2000,,KITE VICTERS,,,,,,DX Aashish210830,,,,,
11667 V,DVB-S2000,,KITE VICTERS Plus,,MPEG-2/SD,357,256 Mal,,,,,,,
11667 V,DVB-S2000,2,KITE VICTERS,,MPEG-2/SD,559,600 Mal,,,,,,,
11681 V,DVB-S2966,4,VTU,,?-?MPEG-2/SD,1025,1026,,Kiran190207,,,,,
11686 V,DVB-S2900,1,Lokshiksha Sanchar,,?-?MPEG-2/SD,4194,4195 Ben,,Kiran190207,,,,,
