Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,Provider_URL,Provider,Frequency,Beam,EIRP
3816 HSEA,DVB-S2QPSK33303/4,,(Solar feeds),,,,,,Albert I201117,,,,,
4047 VAP,DVB-S2QPSK48002/5,,(feeds),,,,,,Albert I231207,,,,,
4053 VAP,DVB-S2QPSK48002/5,,(feeds),,,,,,C Sutton231128,,,,,
4059 VAP,DVB-S2QPSK48002/5,,(feeds),,,,,,C Sutton231128,,,,,
11041 H,DVB-S28PSK72003/4,1,CCTV 13,,?-?MPEG-4/HD,33,7.9  34 Chi,,T Kameda201114,,,,,
11054 H,DVB-S28PSK150003/5,,(CCTV feeds),,,,,,T Kameda201114,,,,,
11118 H,DVB-S280008/9,1,CCTV 5,,?-?MPEG-4/HD,273,274 Chi,,T Kameda191220,,,,,
11536 H,DVB-S2QPSK325004/5,,@ CIBN,,,,4.7,,T Kameda191221,,,,,
11651 H,DVB-S28PSK150003/4,,(CCTV feeds),,,,,,T Kameda201116,,,,,
11672 H,DVB-S28PSK72003/5,1,CCTV 1,,?-?MPEG-4/HD,33,5.5  34 Chi,,T Kameda201119,,,,,
