Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,Provider_URL,Provider,Frequency,Beam,EIRP
3847 Htp 6AAsia & Australia & Pacific0,DVB-S2QPSK80003/4,,GMA Network,,0-700,,4.0,PowerVu,Albert I230822,https://www.lyngsat.com/providers/ph/GMA-Network.html,GMA Network,3751 H,tp 4A,Asia & Australia & Pacific0
3847 Htp 6AAsia & Australia & Pacific0,DVB-S2QPSK80003/4,,GMA Network,,0-700,,4.0,PowerVu,Albert I230822,https://www.lyngsat.com/providers/ph/GMA-Network.html,GMA Network,3847 H,tp 6A,Asia & Australia & Pacific0
3847 Htp 6AAsia & Australia & Pacific0,DVB-S2QPSK80003/4,,GMA Network,,0-700,,4.0,PowerVu,Albert I230822,https://www.lyngsat.com/providers/ph/GMA-Network.html,GMA Network,3745 H,tp 4A,Asia & Australia & Pacific0
3847 Htp 6AAsia & Australia & Pacific0,DVB-S2QPSK80003/4,,GMA Network,,0-700,,4.0,PowerVu,Albert I230822,https://www.lyngsat.com/providers/ph/GMA-Network.html,GMA Network,3751 H,tp 4A,Asia & Australia & Pacific0
3847 Htp 6AAsia & Australia & Pacific0,DVB-S2QPSK80003/4,,GMA Network,,0-700,,4.0,PowerVu,Albert I230822,https://www.lyngsat.com/providers/ph/GMA-Network.html,GMA Network,3847 H,tp 6A,Asia & Australia & Pacific0
12,GMA TV,,MPEG-4/SD,110,111 Tgl,PowerVu,,,,,,3847 H,tp 6A,Asia & Australia & Pacific0
14,GTV (Philippines),,MPEG-4/SD,210,211 Tgl,PowerVu,,,,,,3847 H,tp 6A,Asia & Australia & Pacific0
1,GMA Life TV,,MPEG-4/SD,1160,1130 Tgl,PowerVu,,,,,,3847 H,tp 6A,Asia & Australia & Pacific0
2,GMA Pinoy TV USA & Canada,,MPEG-4/SD,1260,1230 Tgl,PowerVu,,,,,,3847 H,tp 6A,Asia & Australia & Pacific0
9,GMA News TV,,MPEG-4/SD,1460,1430 Tgl,PowerVu,,,,,,3847 H,tp 6A,Asia & Australia & Pacific0
1,Jungo Pinoy,,MPEG-4/SD,310,300 Tgl,VisionCrypt,,,,,,3847 H,tp 6A,Asia & Australia & Pacific0
