Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,Provider_URL,Provider,Frequency,Beam,EIRP
11493 V,DVB-S28PSK432005/6,,Ddish TV,,511-2,,9.4,NagravisionTongfang,Anonymous200904,,,,,
1001,MNB,,MPEG-4/HD,1001,1002 Mon,,,,,,,,,
1036,BBS TV (Mongolia),,MPEG-4/SD,4220,4217 Mon,,,,,,,,,
11553 V,DVB-S28PSK432005/6,,Ddish TV,,,,9.4,NagravisionTongfang,Albert I230930,,,,,
11613 V,DVB-S28PSK432005/6,,Ddish TV,,511-3,,9.4,NagravisionTongfang,Albert I230930,,,,,
11654 V,DVB-S28PSK140003/5,,Ddish TV,,512-4,,5.5,NagravisionTongfang,Anonymous200904,,,,,
12270 VNE Asia0,DVB-S28PSK300003/4,,G Sat,,,,7.9,Conax,Albert I230930,,,,,
12303 HSouth Asia,DVB-S28PSK10203/5,,(feeds),,,,,,N Stanislav211018,,,,,
12306 HSouth Asia,DVB-S28PSK11005/6,,(feeds),,,,,,N Stanislav211018,,,,,
12310 VNE Asia0,DVB-S28PSK300003/4,,G Sat,,,,7.9,Conax,Albert I240201,,,,,
1,G Sat promo,,MPEG-4/SD,1001,1002 Tgl,,,,,,,,,
2,One Media Network,,MPEG-4/SD,1006,1007 Eng,,,,,,,,,
12311 HSouth Asia,DVB-S2QPSK10005/6,,(feeds),,,,,,N Stanislav211018,,,,,
12312 HSouth Asia,DVB-S2QPSK10305/6,,(feeds),,,,,,N Stanislav211018,,,,,
12315 HSouth Asia,DVB-S28PSK10605/6,,(feeds),,,,,,N Stanislav211028,,,,,
12317 HSouth Asia,DVB-S28PSK20003/4,,(feeds),,,,,,N Stanislav211104,,,,,
12354 HNE Asia,DVB-S33335/6,,(LG feeds),,,,,BISS,T Kameda180201,,,,,
12359 HNE Asia,DVB-S216APSK44003/4,,(MBN feeds),,,,,,T Kameda180127,,,,,
12383 HNE Asia,DVB-S28PSK45005/6,,(feeds),,,,,BISS,T Kameda191213,,,,,
12470 VNE Asia0,DVB-S28PSK300002/3,,American Forces Network,,,,6.6,PowerVuVerimatrix,Anonymous220801,,,,,
2,AFN Prime Atlantic,,MPEG-4/HD,1260,1220 Eng,PowerVuVerimatrix,,,,,,,,
3,AFN News,,MPEG-4/HD,1560,1520 Eng,PowerVuVerimatrix,,,,,,,,
4,AFN Sports,,MPEG-4/HD,1160,1120 Eng,PowerVuVerimatrix,,,,,,,,
5,AFN Prime Pacific,,MPEG-4/HD,1460,1422 Eng,PowerVuVerimatrix,,,,,,,,
6,AFN Spectrum,,MPEG-4/HD,1360,1320 Eng,PowerVuVerimatrix,,,,,,,,
7,AFN Sports 2,,MPEG-4/HD,1660,1622 Eng,PowerVuVerimatrix,,,,,,,,
8,AFN Family,,MPEG-4/HD,1960,1920 Eng,PowerVuVerimatrix,,,,,,,,
9,AFN Movie,,MPEG-4/HD,1060,1020 Eng,PowerVuVerimatrix,,,,,,,,
401,[test card],,MPEG-2/SD,1760,.720,,,,,,,,,
402,[American Forces Network test card],,MPEG-4/HD,1860,1820,,,,,,,,,
20,AFN The Eagle Pacific,,,,1732 Eng,PowerVuVerimatrix,,,,,,,,
21,AFN The Voice,,,,1122 Eng,PowerVuVerimatrix,,,,,,,,
22,AFN PowerTalk,,,,1222 Eng,PowerVuVerimatrix,,,,,,,,
