Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,Provider_URL,Provider,Frequency,Beam,EIRP
11750 RKu0,ABS-S300004/5,,CCTV,,,,,Videoguard,Caribbean kelp220614,,,,,
11750 RKu0,ABS-S300004/5,,CCTV 1,,/HD,,Chi,Videoguard,,,,,,
11750 RKu0,ABS-S300004/5,,CCTV 8,,/HD,,,Videoguard,,,,,,
11750 RKu0,ABS-S300004/5,,CCTV 14,,/HD,,Chi,Videoguard,,,,,,
11810 RKu0,ABS-S300004/5,,CCTV,,,,,Videoguard,Caribbean kelp210329,,,,,
11810 RKu0,ABS-S300004/5,,CCTV 2,,/HD,,Chi,Videoguard,,,,,,
11810 RKu0,ABS-S300004/5,,CCTV 9,,/HD,,Chi,Videoguard,,,,,,
11810 RKu0,ABS-S300004/5,,CCTV 10,,/HD,,Chi,Videoguard,,,,,,
11810 RKu0,ABS-S300004/5,,CCTV 12,,/HD,,Chi,Videoguard,,,,,,
11810 RKu0,ABS-S300004/5,,CCTV 17,,/HD,,Chi,Videoguard,,,,,,
11860 RKu0,ABS-S300004/5,,CCTV,,,,,Videoguard,Caribbean kelp220130,,,,,
11860 RKu0,ABS-S300004/5,,Dragon TV (China),,/HD,,Chi,Videoguard,,,,,,
11860 RKu0,ABS-S300004/5,,Heilongjiang TV,,/HD,,Chi,Videoguard,,,,,,
11860 RKu0,ABS-S300004/5,,Shenzhen Satellite TV,,/HD,,Chi,Videoguard,,,,,,
11860 RKu0,ABS-S300004/5,,CCTV 6,,/HD,,Chi,Videoguard,,,,,,
11860 RKu0,ABS-S300004/5,,Fujian South East TV,,/HD,,Chi,Videoguard,,,,,,
11900 RKu0,ABS-S300004/5,,,,,,,Videoguard,Caribbean kelp210329,,,,,
11900 RKu0,ABS-S300004/5,,Hunan TV,,/HD,,Chi,Videoguard,,,,,,
11900 RKu0,ABS-S300004/5,,Hubei Satellite TV,,/HD,,Chi,Videoguard,,,,,,
11900 RKu0,ABS-S300004/5,,Jiangsu Satellite TV,,/HD,,Chi,Videoguard,,,,,,
11900 RKu0,ABS-S300004/5,,Zhejiang Satellite TV,,/HD,,Chi,Videoguard,,,,,,
11900 RKu0,ABS-S300004/5,,Hainan Satellite TV,,/HD,,Chi,Videoguard,,,,,,
11920 LKu0,ABS-S288003/4,,,,,,,Videoguard,Caribbean kelp210329,,,,,
11920 LKu0,ABS-S288003/4,,Fujian South East TV,,,,Chi,Videoguard,,,,,,
11920 LKu0,ABS-S288003/4,,Guangxi TV,,,,Chi,Videoguard,,,,,,
11920 LKu0,ABS-S288003/4,,Jilin TV Station,,,,Chi,Videoguard,,,,,,
11920 LKu0,ABS-S288003/4,,Guangdong Satellite TV,,,,Chi,Videoguard,,,,,,
11920 LKu0,ABS-S288003/4,,Sichuan TV 1,,,,Chi,Videoguard,,,,,,
11920 LKu0,ABS-S288003/4,,Guizhou TV,,,,Chi,Videoguard,,,,,,
11920 LKu0,ABS-S288003/4,,Yunnan TV 1,,,,Chi,Videoguard,,,,,,
11920 LKu0,ABS-S288003/4,,Shaanxi Satellite TV,,,,Chi,Videoguard,,,,,,
11920 LKu0,ABS-S288003/4,,Gansu TV,,,,Chi,Videoguard,,,,,,
11920 LKu0,ABS-S288003/4,,Ningxia Satellite TV,,,,Chi,Videoguard,,,,,,
11920 LKu0,ABS-S288003/4,,Shaanxi TV Agriculture & Forestry TV,,,,Chi,Videoguard,,,,,,
11920 LKu0,ABS-S288003/4,,Jilin News Radio,,,,Chi,Videoguard,,,,,,
11920 LKu0,ABS-S288003/4,,Fujian News Radio,,,,Chi,Videoguard,,,,,,
11920 LKu0,ABS-S288003/4,,Guangdong Radio,,,,Chi,Videoguard,,,,,,
11920 LKu0,ABS-S288003/4,,Guangxi People's Radio,,,,Chi,Videoguard,,,,,,
11920 LKu0,ABS-S288003/4,,Yunnan News Radio,,,,Chi,Videoguard,,,,,,
11920 LKu0,ABS-S288003/4,,Shaanxi News Radio,,,,Chi,Videoguard,,,,,,
11920 LKu0,ABS-S288003/4,,Ningxia News Radio,,,,Chi,Videoguard,,,,,,
11940 RKu0,ABS-S288003/4,,,,,,,Videoguard,Caribbean kelp210329,,,,,
11940 RKu0,ABS-S288003/4,,Sansha Satellite TV,,,,Chi,Videoguard,,,,,,
11940 RKu0,ABS-S288003/4,,Lasa TV,,,,,Videoguard,,,,,,
11940 RKu0,ABS-S288003/4,,Ningxia Children's Channel,,,,Chi,Videoguard,,,,,,
11940 RKu0,ABS-S288003/4,,Ningxia Public Channel,,,,Chi,Videoguard,,,,,,
11940 RKu0,ABS-S288003/4,,Ningxia TV,,,,Chi,Videoguard,,,,,,
11940 RKu0,ABS-S288003/4,,Ningxia Economic Channel,,,,Chi,Videoguard,,,,,,
11940 RKu0,ABS-S288003/4,,Nei Monggol TV 2 Mongolian Culture Channel,,,,Mon,Videoguard,,,,,,
11940 RKu0,ABS-S288003/4,,Nei Monggol TV News Channel,,,,Chi,Videoguard,,,,,,
11940 RKu0,ABS-S288003/4,,Nei Monggol TV Economic & Life Channel,,,,Chi,Videoguard,,,,,,
11940 RKu0,ABS-S288003/4,,Nei Monggol TV Agriculture & Animal Channel,,,,Chi,Videoguard,,,,,,
11940 RKu0,ABS-S288003/4,,Nei Monggol TV Culture Entertainment Channel,,,,Chi,Videoguard,,,,,,
11940 RKu0,ABS-S288003/4,,Nei Monggol TV Children Channel,,,,Chi,Videoguard,,,,,,
11940 RKu0,ABS-S288003/4,,Ningxia City Radio,,,,Chi,Videoguard,,,,,,
11940 RKu0,ABS-S288003/4,,Ningxia Economy Radio,,,,Chi,Videoguard,,,,,,
11940 RKu0,ABS-S288003/4,,Ningxia Traffic Radio,,,,Chi,Videoguard,,,,,,
11940 RKu0,ABS-S288003/4,,Ningxia Music Radio,,,,Chi,Videoguard,,,,,,
11940 RKu0,ABS-S288003/4,,Nei Monggol General News Radio,,,,Chi,Videoguard,,,,,,
11940 RKu0,ABS-S288003/4,,Nei Monggol Mongolian Radio,,,,Mon,Videoguard,,,,,,
11940 RKu0,ABS-S288003/4,,Nei Monggol Chinese Radio,,,,Chi,Videoguard,,,,,,
11940 RKu0,ABS-S288003/4,,Nei Monggol Traffic Radio,,,,,Videoguard,,,,,,
11940 RKu0,ABS-S288003/4,,Nei Monggol Economy Radio,,,,,Videoguard,,,,,,
11940 RKu0,ABS-S288003/4,,Nei Monggol Music Radio,,,,,Videoguard,,,,,,
11940 RKu0,ABS-S288003/4,,Nei Monggol Story Radio,,,,,Videoguard,,,,,,
11940 RKu0,ABS-S288003/4,,Nei Monggol Grassland Radio,,,,,Videoguard,,,,,,
11960 LKu0,ABS-S288003/4,,,,,,,Videoguard,Caribbean kelp210330,,,,,
11960 LKu0,ABS-S288003/4,,Xizang TV Chinese,,,,Chi,Videoguard,,,,,,
11960 LKu0,ABS-S288003/4,,Xizang TV Tibetan,,,,Tib,Videoguard,,,,,,
11960 LKu0,ABS-S288003/4,,Ando TV,,,,,Videoguard,,,,,,
11960 LKu0,ABS-S288003/4,,Xinjiang TV 1,,,,Chi,Videoguard,,,,,,
11960 LKu0,ABS-S288003/4,,Xinjiang TV 2,,,,Uig,Videoguard,,,,,,
11960 LKu0,ABS-S288003/4,,Xinjiang TV 3,,,,Kaz,Videoguard,,,,,,
11960 LKu0,ABS-S288003/4,,Nei Monggol Chinese TV,,,,Chi,Videoguard,,,,,,
