Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,Provider_URL,Provider,Frequency,Beam,EIRP
10970 Htp 1HSE Asia,DVB-S28PSK300002/3,,TrueVisions,,,,6.6,IrdetoVideoguard,Albert I230930,,,,,
11010 Htp 2HSE Asia,DVB-S28PSK30000,,TrueVisions,,,,,BISSIrdetoVideoguard,Kinse 615230723,,,,,
11050 Htp 3HSE Asia,DVB-S300005/6,,TrueVisions,,,,6.5,BISSIrdetoVideoguard,NHMPlay240115,,,,,
11050 Htp 3HSE Asia,DVB-S300005/6,2250,Wat Pa Phu Pha Sung,,,,1040 Tha,,,,,,,
11090 Htp 4HSE Asia,DVB-S28PSK300003/5,,TrueVisions,,,,5.5,IrdetoVideoguard,NHMPlay221103,,,,,
11114 H,DVB-S28PSK25005/6,,(feeds),,,,,,N Stanislav230828,,,,,
11116 H,DVB-S28PSK16653/4,,(feeds),,,,,,N Stanislav230828,,,,,
11118 H,DVB-S28PSK25005/6,,(feeds),,,,,,N Stanislav230830,,,,,
11121 H,DVB-S28PSK25005/6,,(feeds),,,,,,N Stanislav230830,,,,,
11130 Htp 5HSE Asia,DVB-S28PSK300002/3,,TrueVisions,,,,6.6,IrdetoVideoguard,NHMPlay240103,,,,,
11147 H,DVB-S28PSK25005/6,,(feeds),,,,,,N Stanislav230828,,,,,
11153 H,DVB-S28PSK25003/4,1,Alkafeel TV,,?-?MPEG-4/HD,512,7.941.2 Ara,,N Stanislav240323,,,,,
11157 H,DVB-S25005/6,,(feeds),,,,,,N Stanislav240317,,,,,
11160 H,DVB-S28PSK25005/6,,(feeds),,,,,,N Stanislav240317,,,,,
11164 H,DVB-S28PSK16403/4,,(feeds),,,,,,DX Bozóth230920,,,,,
11166 H,DVB-S28PSK16403/4,,(feeds),,,,,,DX Bozóth230920,,,,,
11170 Htp 6HSE Asia,DVB-S28PSK300003/5,,TrueVisions,,,,5.5,IrdetoVideoguard,Kinse 615231001,,,,,
11173 H,DVB-S28PSK25005/6,,(feeds),,,,,,N Stanislav230828,,,,,
11176 H,DVB-S28PSK25003/4,,(feeds),,,,,,DX Bozóth240312,,,,,
11183 H,DVB-S25003/4,,(feeds),,,,,,DX Bozóth240312,,,,,
11186 H,DVB-S28PSK25005/6,,(feeds),,,,,,N Stanislav240317,,,,,
11480 Htp 7HSE Asia,DVB-S28PSK300003/4,,Cambodian DTH UHD,,,,7.9,Neotion SHL,Kinse 615230819,,,,,
11480 Htp 7HSE Asia,DVB-S28PSK300003/4,1150,Radio FM 96,,,,1450 Khm,,,,,,,
11480 Htp 7HSE Asia,DVB-S28PSK300003/4,1151,D Radio 1,,,,1451 Khm,,,,,,,
11480 Htp 7HSE Asia,DVB-S28PSK300003/4,1154,ABC Cambodia,,,,1454 Khm,,,,,,,
11480 Htp 7HSE Asia,DVB-S28PSK300003/4,1155,RNK FM,,,,1455 Khm,,,,,,,
11480 Htp 7HSE Asia,DVB-S28PSK300003/4,1157,D Radio 2,,,,1457 Khm,,,,,,,
11480 Htp 7HSE Asia,DVB-S28PSK300003/4,1158,Royal Cambodia Armed Forces Radio FM 98,,,,1458 Khm,,,,,,,
11480 Htp 7HSE Asia,DVB-S28PSK300003/4,1159,D Radio 3,,,,1459 Khm,,,,,,,
11480 Htp 7HSE Asia,DVB-S28PSK300003/4,1160,Tonle Radio Station,,,,1460 Khm,,,,,,,
11520 Htp 8HSE Asia,DVB-S28PSK300002/3,,TrueVisions,,,,6.6,IrdetoVideoguard,Kinse 615231001,,,,,
11560 Htp 9HSE Asia,DVB-S300003/4,,TrueVisions,,,,5.5,BISSIrdetoVideoguard,Kinse 615220801,,,,,
11640 Htp 11HSE Asia,DVB-S28PSK300002/3,,TrueVisions,,,,6.6,IrdetoVideoguard,Kinse 615231001,,,,,
11680 Htp 12HSE Asia,DVB-S28PSK300002/3,,Good TV,,,,6.6,BISSIrdetoNeotion SHLVideoguard,TTN World240201,,,,,
