Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,Provider_URL,Provider,Frequency,Beam,EIRP
12555 HEcowas 2,DVB-S2QPSK82003/4,20,Possibility TV,,MPEG-4/SD,,Eng,,,,,,,
12589 HEcowas 2,DVB-S2QPSK300003/4,,TSTV Africa,,,,4.0,,Anonymous230919,,,,,
12589 HEcowas 2,DVB-S2QPSK300003/4,4,MBC 3 (Saudi Arabia),,,,Ara,,,,,,,
12589 HEcowas 2,DVB-S2QPSK300003/4,9,MBC Bollywood,,,,Ara,,,,,,,
12589 HEcowas 2,DVB-S2QPSK300003/4,10,MBC Drama (Saudi Arabia),,,,Ara,,,,,,,
12589 HEcowas 2,DVB-S2QPSK300003/4,11,MBC 4,,,,Eng,,,,,,,
12589 HEcowas 2,DVB-S2QPSK300003/4,12,MBC 5,,,,Ara,,,,,,,
12589 HEcowas 2,DVB-S2QPSK300003/4,14,Alarabiya,,,,Ara,,,,,,,
12589 HEcowas 2,DVB-S2QPSK300003/4,18,MBC Action,,,,Eng,,,,,,,
12589 HEcowas 2,DVB-S2QPSK300003/4,19,MBC Max,,,,Ara,,,,,,,
12589 HEcowas 2,DVB-S2QPSK300003/4,8159,NTA Sports 24,,,,Eng,,,,,,,
12589 HEcowas 2,DVB-S2QPSK300003/4,8187,AIT National,,,,Eng,,,,,,,
12625 HEcowas 2,DVB-S28PSK300002/3,3401,TSTV Dish TV,,?-?HEVC/SD,513,6.6 769 Eng,,Anonymous230919,,,,,
12727 VEcowas 1,DVB-S2QPSK17503/4,1,TV Taraba,,?-?MPEG-4/SD,308,4.0 256,,N Stanislav230910,,,,,
12729 VEcowas 1,DVB-S2QPSK17003/4,1,DITV Network,,?-?MPEG-4/SD,257,4.0 258 Eng,,N Stanislav230910,,,,,
12733 VEcowas 1,DVB-S28PSK35003/4,1,Spectrum TV,,?-?MPEG-4/SD,101,7.9 102 Eng,,Anonymous240204,,,,,
