Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,Provider_URL,Provider,Frequency,Beam,EIRP
3418 Htp 15AC0,DVB-S28PSK192002/3,,VTV,,,,6.6,Director,NHMPlay230301,https://www.lyngsat.com/providers/vn/VTV.html,VTV,3418 H,tp 15A,C0
1,VTV 1,,MPEG-4/SD,1011,1012 Vie,,,,,,,3418 H,tp 15A,C0
2,VTV 2,,MPEG-4/SD,1021,1022 Vie,Director,,,,,,3418 H,tp 15A,C0
4,VTV 4,,MPEG-4/SD,1041,1042 Vie,,,,,,,3418 H,tp 15A,C0
7,VTV 7,,MPEG-4/SD,1071,1072 Vie,,,,,,,3418 H,tp 15A,C0
5,VTV 5,,MPEG-4/HD,1051,1052 Vie,Director,,,,,,3418 H,tp 15A,C0
8,VTV 8,,MPEG-4/HD,1081,1082 Vie,Director,,,,,,3418 H,tp 15A,C0
11,VTV 1,,MPEG-4/HD,1111,1112 Vie1114 Vie,Director,,,,,,3418 H,tp 15A,C0
12,VTV 2,,MPEG-4/HD,1121,1122 Vie,Director,,,,,,3418 H,tp 15A,C0
13,VTV 3,,MPEG-4/HD,1131,1132 Vie1134 Vie,Director,,,,,,3418 H,tp 15A,C0
16,VTV Can Tho,,MPEG-4/HD,1161,1162 Vie1164 Vie,Director,,,,,,3418 H,tp 15A,C0
19,VTV 9,,MPEG-4/HD,1191,1192 Vie,Director,,,,,,3418 H,tp 15A,C0
51,VTV 5 Tay Nam Bo,,MPEG-4/HD,1511,1512 Vie,Director,,,,,,3418 H,tp 15A,C0
52,VTV 5 Tay Nguyen,,MPEG-4/HD,1521,1522 Vie,Director,,,,,,3418 H,tp 15A,C0
3804 Htp 5AC,DVB-S28PSK72003/4,,(feeds),,,,,,Anonymous200215,,,3418 H,tp 15A,C0
3855 Htp 6AC,DVB-S2QPSK48001/2,,(feeds),,,,,,Albert I220702,,,3418 H,tp 15A,C0
4025 Htp 11AC,DVB-S2QPSK32005/6,,(feeds),,,,,,Anonymous190911,,,3418 H,tp 15A,C0
4068 Htp 12AC,DVB-S28PSK72003/4,,(feeds),,,,,,Albert I200101,,,3418 H,tp 15A,C0
4164 Htp 14AC,DVB-S2QPSK48001/2,,(feeds),,,,,,Albert I201117,,,3418 H,tp 15A,C0
3812 Htp 5AC,DVB-S28PSK72003/4,,(CBS feeds),,,,,,Albert I200208,,,3418 H,tp 15A,C0
3920 Htp 8AC0,,,,,,,,,C Sutton240110,,,3418 H,tp 15A,C0
101,CNR 1 Voice of China,,,,80 Chi,,,,,,,3418 H,tp 15A,C0
102,CNR 2 Voice of Finance,,,,84 Chi,,,,,,,3418 H,tp 15A,C0
103,CNR 3 Music Radio,,,,88 Chi,,,,,,,3418 H,tp 15A,C0
104,CNR 4 Golden Radio,,,,92 Chi,,,,,,,3418 H,tp 15A,C0
105,CNR 5 Taiwan service 1,,,,96 Chi,,,,,,,3418 H,tp 15A,C0
106,CNR 6 Taiwan service 2,,,,100 Chi,,,,,,,3418 H,tp 15A,C0
107,CNR 7 Radio The Greater Bay,,,,104 Chi,,,,,,,3418 H,tp 15A,C0
108,CNR 8 Minorities service,,,,108,,,,,,,3418 H,tp 15A,C0
109,CNR 9 FM 106.6,,,,112 Chi,,,,,,,3418 H,tp 15A,C0
110,CNR 1 Voice of China,,,,116 Chi,,,,,,,3418 H,tp 15A,C0
118,China Radio International,,,,148,,,,,,,3418 H,tp 15A,C0
119,CNR 7 Radio The Greater Bay,,,,152 Chi,,,,,,,3418 H,tp 15A,C0
120,China Radio International,,,,156,,,,,,,3418 H,tp 15A,C0
121,China Radio International,,,,160,,,,,,,3418 H,tp 15A,C0
141,CRI Ez FM,,,,240 Eng,,,,,,,3418 H,tp 15A,C0
142,CRI Hit FM 88.7,,,,244 Eng,,,,,,,3418 H,tp 15A,C0
143,CRI Newsradio,,,,248 Chi,,,,,,,3418 H,tp 15A,C0
144,CRI Newsradio,,,,252 Chi,,,,,,,3418 H,tp 15A,C0
150,CRI Newsradio,,,,276 Chi,,,,,,,3418 H,tp 15A,C0
3940 Vtp 8BC0,DVB-S28PSK288003/4,,CCTV,,,,7.9,Videoguard,C SuttonAlbert I200101,https://www.lyngsat.com/providers/cn/CCTV.html,CCTV,3940 V,tp 8B,C0
3940 Vtp 8BC0,DVB-S28PSK288003/4,,CCTV,,,,7.9,Videoguard,C SuttonAlbert I200101,https://www.lyngsat.com/providers/cn/CCTV.html,CCTV,4020 V,tp 10B,C0
3940 Vtp 8BC0,DVB-S28PSK288003/4,,CCTV,,,,7.9,Videoguard,C SuttonAlbert I200101,https://www.lyngsat.com/providers/cn/CCTV.html,CCTV,4060 V,tp 11B,C0
3940 Vtp 8BC0,DVB-S28PSK288003/4,,CCTV,,,,7.9,Videoguard,C SuttonAlbert I200101,https://www.lyngsat.com/providers/cn/CCTV.html,CCTV,3940 V,tp 8B,C0
3940 Vtp 8BC0,DVB-S28PSK288003/4,,CCTV,,,,7.9,Videoguard,C SuttonAlbert I200101,https://www.lyngsat.com/providers/cn/CCTV.html,CCTV,4020 V,tp 10B,C0
3940 Vtp 8BC0,DVB-S28PSK288003/4,,CCTV,,,,7.9,Videoguard,C SuttonAlbert I200101,https://www.lyngsat.com/providers/cn/CCTV.html,CCTV,4060 V,tp 11B,C0
