Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,Provider_URL,Provider,Frequency,Beam,EIRP
3579 VC0,DVB-S197862/3,1,Madani TV,,?-?MPEG-4/HD,119,4.4 120 Ind,,Albert I240311,,,,,
3772 HC0,,,,,,,,,Albert I240303,,,,,
4013 HC0,DVB-S2QPSK40901/2,,PSN,,,,1.0,,Albert I240321,,,,,
1001,(PSN feeds),,,33,34,,,,,,,,,
1002,Elshinta TV,,MPEG-4/SD,36,37 Ind,,new,,,,,,,
1004,Madani TV,,MPEG-4/HD,42,43 Ind,,new,,,,,,,
