Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,Provider_URL,Provider,Frequency,Beam,EIRP
3595 RC Fixed39.7-41.7,DVB-S28PSK387008/9MultistreamStream 2,2820,Sovetskoe Rodnoe,,MPEG-4/SD,1401,1402 Rus,DRECrypt,,,,3875 R,tp 10,Global
3595 RC Fixed39.7-41.7,DVB-S28PSK387008/9MultistreamStream 2,2821,Kino+,,MPEG-4/SD,1441,1442 Rus,DRECrypt,,,,3875 R,tp 10,Global
3808 Rtp 9C Fixed39.7-41.7,DVB-S2QPSK25005/6,,,,?-1,,5.2,,N Stanislav231217,,,3875 R,tp 10,Global
4087 RC Fixed39.7-41.7,DVB-S28PSK44903/4,,,,,,7.9,,N Stanislav230107,,,3875 R,tp 10,Global
3808 Rtp 9C Fixed39.7-41.7,DVB-S2QPSK25005/6,415,Radio Kniga,,,,114 Rus,,,,,3875 R,tp 10,Global
3808 Rtp 9C Fixed39.7-41.7,DVB-S2QPSK25005/6,417,Business FM,,,,116 Rus,,,,,3875 R,tp 10,Global
3808 Rtp 9C Fixed39.7-41.7,DVB-S2QPSK25005/6,419,Militseyskaya Volna,,,,118 Rus,,,,,3875 R,tp 10,Global
3875 Rtp 10Global,DVB-S2QPSK111211/2,1,RTR Planeta Asia,,MPEG-2/SD,200,300 Rus,,,,,3875 R,tp 10,Global
3875 Rtp 10Global,DVB-S2QPSK111211/2,2,Katyusha,,MPEG-4/SD,201,301 Chi,,,,,3875 R,tp 10,Global
3875 Rtp 10Global,DVB-S2QPSK111211/2,3,RT News,,MPEG-2/SD,202,302 Eng,,,,,3875 R,tp 10,Global
3925 Rtp 11Global,DVB-S48831/2,9,Perviy kanal Asia,,65535-2MPEG-2/SD,529,2.7 820 Rus,,Albert I220311,,,3875 R,tp 10,Global
4087 RC Fixed39.7-41.7,DVB-S28PSK44903/4,17,Novoe Radio,,,,336 Rus,,,,,3875 R,tp 10,Global
4087 RC Fixed39.7-41.7,DVB-S28PSK44903/4,18,Nashe Radio (+4h),,,,337 Rus,,,,,3875 R,tp 10,Global
4087 RC Fixed39.7-41.7,DVB-S28PSK44903/4,21,Love Radio (Russia),,,,.40 Rus,,,,,3875 R,tp 10,Global
11046 Vtp B4Ku Fixed 1,DVB-S2QPSK72003/4,,(feeds),,,,,,N Stanislav210612,,,3875 R,tp 10,Global
11171 Vtp B8Ku Fixed 10,DVB-S2QPSK450001/2,,@ GeoTelecommunications,,,,1.0,,N Stanislav210518,,,3875 R,tp 10,Global
