Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Pkg_Name,Pkg_URL,is_Provider,Provider
11728 Vtp SF13KSouth Africa,DVB-S28PSK300002/3,,DSTV South Africa,,6144-26,,6.6,Irdeto,Anonymous221105,DVB-S2,30000,2/3,11728 V,tp SF13K,,Irdeto,,DSTV South Africa,https://www.lyngsat.com/packages/DSTV-South-Africa.html,False,
11728 Vtp SF13KSouth Africa,DVB-S28PSK300002/3,,DSTV South Africa,,6144-26,,6.6,Irdeto,Anonymous221105,DVB-S2,30000,2/3,11728 V,tp SF13K,,Irdeto,,DSTV South Africa,https://www.lyngsat.com/packages/DSTV-South-Africa.html,False,
11728 Vtp SF13KSouth Africa,DVB-S28PSK300002/3,,DSTV South Africa,,6144-26,,6.6,Irdeto,Anonymous221105,DVB-S2,30000,2/3,11728 V,tp SF13K,,Irdeto,,DSTV South Africa,https://www.lyngsat.com/packages/DSTV-South-Africa.html,False,
11728 Vtp SF13KSouth Africa,DVB-S28PSK300002/3,,DSTV South Africa,,6144-26,,6.6,Irdeto,Anonymous221105,DVB-S2,30000,2/3,11728 V,tp SF13K,,Irdeto,,DSTV South Africa,https://www.lyngsat.com/packages/DSTV-South-Africa.html,False,
11728 Vtp SF13KSouth Africa,DVB-S28PSK300002/3,,DSTV South Africa,,6144-26,,6.6,Irdeto,Anonymous221105,DVB-S2,30000,2/3,11728 V,tp SF13K,,Irdeto,,DSTV South Africa,https://www.lyngsat.com/packages/DSTV-South-Africa.html,False,
11728 Vtp SF13KSouth Africa,DVB-S28PSK300002/3,,DSTV South Africa,,6144-26,,6.6,Irdeto,Anonymous221105,DVB-S2,30000,2/3,11728 V,tp SF13K,,Irdeto,,DSTV South Africa,https://www.lyngsat.com/packages/DSTV-South-Africa.html,False,
11728 Vtp SF13KSouth Africa,DVB-S28PSK300002/3,,DSTV South Africa,,6144-26,,6.6,Irdeto,Anonymous221105,DVB-S2,30000,2/3,11728 V,tp SF13K,,Irdeto,,DSTV South Africa,https://www.lyngsat.com/packages/DSTV-South-Africa.html,False,
11728 Vtp SF13KSouth Africa,DVB-S28PSK300002/3,,DSTV South Africa,,6144-26,,6.6,Irdeto,Anonymous221105,DVB-S2,30000,2/3,11728 V,tp SF13K,,Irdeto,,DSTV South Africa,https://www.lyngsat.com/packages/DSTV-South-Africa.html,False,
11728 Vtp SF13KSouth Africa,DVB-S28PSK300002/3,,DSTV South Africa,,6144-26,,6.6,Irdeto,Anonymous221105,DVB-S2,30000,2/3,11728 V,tp SF13K,,Irdeto,,DSTV South Africa,https://www.lyngsat.com/packages/DSTV-South-Africa.html,False,
11728 Vtp SF13KSouth Africa,DVB-S28PSK300002/3,,DSTV South Africa,,6144-26,,6.6,Irdeto,Anonymous221105,DVB-S2,30000,2/3,11728 V,tp SF13K,,Irdeto,,DSTV South Africa,https://www.lyngsat.com/packages/DSTV-South-Africa.html,False,
11728 Vtp SF13KSouth Africa,DVB-S28PSK300002/3,,DSTV South Africa,,6144-26,,6.6,Irdeto,Anonymous221105,DVB-S2,30000,2/3,11728 V,tp SF13K,,Irdeto,,DSTV South Africa,https://www.lyngsat.com/packages/DSTV-South-Africa.html,False,
11728 Vtp SF13KSouth Africa,DVB-S28PSK300002/3,,DSTV South Africa,,6144-26,,6.6,Irdeto,Anonymous221105,DVB-S2,30000,2/3,11728 V,tp SF13K,,Irdeto,,DSTV South Africa,https://www.lyngsat.com/packages/DSTV-South-Africa.html,False,
11728 Vtp SF13KSouth Africa,DVB-S28PSK300002/3,,DSTV South Africa,,6144-26,,6.6,Irdeto,Anonymous221105,DVB-S2,30000,2/3,11728 V,tp SF13K,,Irdeto,,DSTV South Africa,https://www.lyngsat.com/packages/DSTV-South-Africa.html,False,
11728 Vtp SF13KSouth Africa,DVB-S28PSK300002/3,,DSTV South Africa,,6144-26,,6.6,Irdeto,Anonymous221105,DVB-S2,30000,2/3,11728 V,tp SF13K,,Irdeto,,DSTV South Africa,https://www.lyngsat.com/packages/DSTV-South-Africa.html,False,
11728 Vtp SF13KSouth Africa,DVB-S28PSK300002/3,,DSTV South Africa,,6144-26,,6.6,Irdeto,Anonymous221105,DVB-S2,30000,2/3,11728 V,tp SF13K,,Irdeto,,DSTV South Africa,https://www.lyngsat.com/packages/DSTV-South-Africa.html,False,
11728 Vtp SF13KSouth Africa,DVB-S28PSK300002/3,,DSTV South Africa,,6144-26,,6.6,Irdeto,Anonymous221105,DVB-S2,30000,2/3,11728 V,tp SF13K,,Irdeto,,DSTV South Africa,https://www.lyngsat.com/packages/DSTV-South-Africa.html,False,
11728 Vtp SF13KSouth Africa,DVB-S28PSK300002/3,,DSTV South Africa,,6144-26,,6.6,Irdeto,Anonymous221105,DVB-S2,30000,2/3,11728 V,tp SF13K,,Irdeto,,DSTV South Africa,https://www.lyngsat.com/packages/DSTV-South-Africa.html,False,
11728 Vtp SF13KSouth Africa,DVB-S28PSK300002/3,,DSTV South Africa,,6144-26,,6.6,Irdeto,Anonymous221105,DVB-S2,30000,2/3,11728 V,tp SF13K,,Irdeto,,DSTV South Africa,https://www.lyngsat.com/packages/DSTV-South-Africa.html,False,
11728 Vtp SF13KSouth Africa,DVB-S28PSK300002/3,,DSTV South Africa,,6144-26,,6.6,Irdeto,Anonymous221105,DVB-S2,30000,2/3,11728 V,tp SF13K,,Irdeto,,DSTV South Africa,https://www.lyngsat.com/packages/DSTV-South-Africa.html,False,
11728 Vtp SF13KSouth Africa,DVB-S28PSK300002/3,,DSTV South Africa,,6144-26,,6.6,Irdeto,Anonymous221105,DVB-S2,30000,2/3,11728 V,tp SF13K,,Irdeto,,DSTV South Africa,https://www.lyngsat.com/packages/DSTV-South-Africa.html,False,
11728 Vtp SF13KSouth Africa,DVB-S28PSK300002/3,,DSTV South Africa,,6144-26,,6.6,Irdeto,Anonymous221105,DVB-S2,30000,2/3,11728 V,tp SF13K,,Irdeto,,DSTV South Africa,https://www.lyngsat.com/packages/DSTV-South-Africa.html,False,
11728 Vtp SF13KSouth Africa,DVB-S28PSK300002/3,,DSTV South Africa,,6144-26,,6.6,Irdeto,Anonymous221105,DVB-S2,30000,2/3,11728 V,tp SF13K,,Irdeto,,DSTV South Africa,https://www.lyngsat.com/packages/DSTV-South-Africa.html,False,
11728 Htp SF14KSouth Africa,DVB-S28PSK300002/3,,DSTV South Africa,,6144-32,,6.6,Irdeto,Anonymous230830,DVB-S2,30000,2/3,11728 H,tp SF14K,,Irdeto,,DSTV South Africa,https://www.lyngsat.com/packages/DSTV-South-Africa.html,False,
11728 Htp SF14KSouth Africa,DVB-S28PSK300002/3,,DSTV South Africa,,6144-32,,6.6,Irdeto,Anonymous230830,DVB-S2,30000,2/3,11728 H,tp SF14K,,Irdeto,,DSTV South Africa,https://www.lyngsat.com/packages/DSTV-South-Africa.html,False,
11728 Htp SF14KSouth Africa,DVB-S28PSK300002/3,,DSTV South Africa,,6144-32,,6.6,Irdeto,Anonymous230830,DVB-S2,30000,2/3,11728 H,tp SF14K,,Irdeto,,DSTV South Africa,https://www.lyngsat.com/packages/DSTV-South-Africa.html,False,
11728 Htp SF14KSouth Africa,DVB-S28PSK300002/3,,DSTV South Africa,,6144-32,,6.6,Irdeto,Anonymous230830,DVB-S2,30000,2/3,11728 H,tp SF14K,,Irdeto,,DSTV South Africa,https://www.lyngsat.com/packages/DSTV-South-Africa.html,False,
11728 Htp SF14KSouth Africa,DVB-S28PSK300002/3,,DSTV South Africa,,6144-32,,6.6,Irdeto,Anonymous230830,DVB-S2,30000,2/3,11728 H,tp SF14K,,Irdeto,,DSTV South Africa,https://www.lyngsat.com/packages/DSTV-South-Africa.html,False,
11728 Htp SF14KSouth Africa,DVB-S28PSK300002/3,,DSTV South Africa,,6144-32,,6.6,Irdeto,Anonymous230830,DVB-S2,30000,2/3,11728 H,tp SF14K,,Irdeto,,DSTV South Africa,https://www.lyngsat.com/packages/DSTV-South-Africa.html,False,
11728 Htp SF14KSouth Africa,DVB-S28PSK300002/3,,DSTV South Africa,,6144-32,,6.6,Irdeto,Anonymous230830,DVB-S2,30000,2/3,11728 H,tp SF14K,,Irdeto,,DSTV South Africa,https://www.lyngsat.com/packages/DSTV-South-Africa.html,False,
11728 Htp SF14KSouth Africa,DVB-S28PSK300002/3,,DSTV South Africa,,6144-32,,6.6,Irdeto,Anonymous230830,DVB-S2,30000,2/3,11728 H,tp SF14K,,Irdeto,,DSTV South Africa,https://www.lyngsat.com/packages/DSTV-South-Africa.html,False,
11728 Htp SF14KSouth Africa,DVB-S28PSK300002/3,,DSTV South Africa,,6144-32,,6.6,Irdeto,Anonymous230830,DVB-S2,30000,2/3,11728 H,tp SF14K,,Irdeto,,DSTV South Africa,https://www.lyngsat.com/packages/DSTV-South-Africa.html,False,
11728 Htp SF14KSouth Africa,DVB-S28PSK300002/3,,DSTV South Africa,,6144-32,,6.6,Irdeto,Anonymous230830,DVB-S2,30000,2/3,11728 H,tp SF14K,,Irdeto,,DSTV South Africa,https://www.lyngsat.com/packages/DSTV-South-Africa.html,False,
