Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,Pkg_Name,Pkg_URL,is_Provider,Provider
11665 VRussia0,DVB-S449225/6,1.0,Moya Planeta,,MPEG-2/SD,201.0,301 Rus,Irdeto,,DVB-S,44922.0,5/6,11665 V,,0.0,Irdeto,,Moya Planeta,https://www.lyngsat.com/tvchannels/ru/Moya-Planeta.html,,,False,STV
12527 HRussia0,DVB-S28PSK350003/4,3.0,Moya Planeta,,MPEG-4/HD,1012.0,1102 Rus,Irdeto,,DVB-S2,35000.0,3/4,12527 H,,0.0,Irdeto,,Moya Planeta,https://www.lyngsat.com/tvchannels/ru/Moya-Planeta.html,,,False,STV
12527 HRussia0,DVB-S28PSK350003/4,3.0,Moya Planeta,,MPEG-4/HD,1012.0,1102 Rus,Irdeto,,DVB-S2,35000.0,3/4,12527 H,,0.0,Irdeto,,Moya Planeta,https://www.lyngsat.com/tvchannels/ru/Moya-Planeta.html,,,False,STV
12527 HRussia0,DVB-S28PSK350003/4,3.0,Moya Planeta,,MPEG-4/HD,1012.0,1102 Rus,Irdeto,,DVB-S2,35000.0,3/4,12527 H,,0.0,Irdeto,,Moya Planeta,https://www.lyngsat.com/tvchannels/ru/Moya-Planeta.html,,,False,STV
10985 Htp 17Russia0,DVB-S28PSK350073/4,4.0,Russkiy Roman,,MPEG-4/HD,1013.0,1103 Rus,Irdeto,,DVB-S2,35007.0,3/4,10985 H,tp 17,0.0,Irdeto,,Russkiy Roman,https://www.lyngsat.com/tvchannels/ru/Russkiy-Roman.html,,,False,STV
10985 Htp 17Russia0,DVB-S28PSK350073/4,4.0,Russkiy Roman,,MPEG-4/HD,1013.0,1103 Rus,Irdeto,,DVB-S2,35007.0,3/4,10985 H,tp 17,0.0,Irdeto,,Russkiy Roman,https://www.lyngsat.com/tvchannels/ru/Russkiy-Roman.html,,,False,STV
10985 Htp 17Russia0,DVB-S28PSK350073/4,4.0,Russkiy Roman,,MPEG-4/HD,1013.0,1103 Rus,Irdeto,,DVB-S2,35007.0,3/4,10985 H,tp 17,0.0,Irdeto,,Russkiy Roman,https://www.lyngsat.com/tvchannels/ru/Russkiy-Roman.html,,,False,STV
11665 VRussia0,DVB-S449225/6,3.0,Russkiy Roman,,MPEG-2/SD,203.0,303 Rus,Irdeto,,DVB-S,44922.0,5/6,11665 V,,0.0,Irdeto,,Russkiy Roman,https://www.lyngsat.com/tvchannels/ru/Russkiy-Roman.html,,,False,STV
11665 VRussia0,DVB-S449225/6,3.0,Russkiy Roman,,MPEG-2/SD,203.0,303 Rus,Irdeto,,DVB-S,44922.0,5/6,11665 V,,0.0,Irdeto,,Russkiy Roman,https://www.lyngsat.com/tvchannels/ru/Russkiy-Roman.html,,,False,STV
11665 VRussia0,DVB-S449225/6,3.0,Russkiy Roman,,MPEG-2/SD,203.0,303 Rus,Irdeto,,DVB-S,44922.0,5/6,11665 V,,0.0,Irdeto,,Russkiy Roman,https://www.lyngsat.com/tvchannels/ru/Russkiy-Roman.html,,,False,STV
12527 HRussia0,DVB-S28PSK350003/4,4.0,Russkiy Roman,,MPEG-4/HD,1013.0,1103 Rus,Irdeto,,DVB-S2,35000.0,3/4,12527 H,,0.0,Irdeto,,Russkiy Roman,https://www.lyngsat.com/tvchannels/ru/Russkiy-Roman.html,,,False,STV
12527 HRussia0,DVB-S28PSK350003/4,4.0,Russkiy Roman,,MPEG-4/HD,1013.0,1103 Rus,Irdeto,,DVB-S2,35000.0,3/4,12527 H,,0.0,Irdeto,,Russkiy Roman,https://www.lyngsat.com/tvchannels/ru/Russkiy-Roman.html,,,False,STV
12527 HRussia0,DVB-S28PSK350003/4,4.0,Russkiy Roman,,MPEG-4/HD,1013.0,1103 Rus,Irdeto,,DVB-S2,35000.0,3/4,12527 H,,0.0,Irdeto,,Russkiy Roman,https://www.lyngsat.com/tvchannels/ru/Russkiy-Roman.html,,,False,STV
10985 Htp 17Russia0,DVB-S28PSK350073/4,5.0,Telekanal FAN,,MPEG-4/SD,1014.0,1104 Rus,Irdeto,,DVB-S2,35007.0,3/4,10985 H,tp 17,0.0,Irdeto,,Telekanal FAN,https://www.lyngsat.com/tvchannels/ru/Telekanal-FAN.html,,,False,STV
10985 Htp 17Russia0,DVB-S28PSK350073/4,5.0,Telekanal FAN,,MPEG-4/SD,1014.0,1104 Rus,Irdeto,,DVB-S2,35007.0,3/4,10985 H,tp 17,0.0,Irdeto,,Telekanal FAN,https://www.lyngsat.com/tvchannels/ru/Telekanal-FAN.html,,,False,STV
10985 Htp 17Russia0,DVB-S28PSK350073/4,5.0,Telekanal FAN,,MPEG-4/SD,1014.0,1104 Rus,Irdeto,,DVB-S2,35007.0,3/4,10985 H,tp 17,0.0,Irdeto,,Telekanal FAN,https://www.lyngsat.com/tvchannels/ru/Telekanal-FAN.html,,,False,STV
10985 Htp 17Russia0,DVB-S28PSK350073/4,5.0,Telekanal FAN,,MPEG-4/SD,1014.0,1104 Rus,Irdeto,,DVB-S2,35007.0,3/4,10985 H,tp 17,0.0,Irdeto,,Telekanal FAN,https://www.lyngsat.com/tvchannels/ru/Telekanal-FAN.html,,,False,STV
10985 Htp 17Russia0,DVB-S28PSK350073/4,14.0,Telekanal FAN,,MPEG-4/HD,1023.0,1123 Rus,Irdeto,,DVB-S2,35007.0,3/4,10985 H,tp 17,0.0,Irdeto,,Telekanal FAN,https://www.lyngsat.com/tvchannels/ru/Telekanal-FAN.html,,,False,STV
10985 Htp 17Russia0,DVB-S28PSK350073/4,14.0,Telekanal FAN,,MPEG-4/HD,1023.0,1123 Rus,Irdeto,,DVB-S2,35007.0,3/4,10985 H,tp 17,0.0,Irdeto,,Telekanal FAN,https://www.lyngsat.com/tvchannels/ru/Telekanal-FAN.html,,,False,STV
10985 Htp 17Russia0,DVB-S28PSK350073/4,14.0,Telekanal FAN,,MPEG-4/HD,1023.0,1123 Rus,Irdeto,,DVB-S2,35007.0,3/4,10985 H,tp 17,0.0,Irdeto,,Telekanal FAN,https://www.lyngsat.com/tvchannels/ru/Telekanal-FAN.html,,,False,STV
10985 Htp 17Russia0,DVB-S28PSK350073/4,14.0,Telekanal FAN,,MPEG-4/HD,1023.0,1123 Rus,Irdeto,,DVB-S2,35007.0,3/4,10985 H,tp 17,0.0,Irdeto,,Telekanal FAN,https://www.lyngsat.com/tvchannels/ru/Telekanal-FAN.html,,,False,STV
12527 HRussia0,DVB-S28PSK350003/4,5.0,Telekanal FAN,,MPEG-4/SD,1014.0,1104 Rus,Irdeto,,DVB-S2,35000.0,3/4,12527 H,,0.0,Irdeto,,Telekanal FAN,https://www.lyngsat.com/tvchannels/ru/Telekanal-FAN.html,,,False,STV
12527 HRussia0,DVB-S28PSK350003/4,5.0,Telekanal FAN,,MPEG-4/SD,1014.0,1104 Rus,Irdeto,,DVB-S2,35000.0,3/4,12527 H,,0.0,Irdeto,,Telekanal FAN,https://www.lyngsat.com/tvchannels/ru/Telekanal-FAN.html,,,False,STV
12527 HRussia0,DVB-S28PSK350003/4,5.0,Telekanal FAN,,MPEG-4/SD,1014.0,1104 Rus,Irdeto,,DVB-S2,35000.0,3/4,12527 H,,0.0,Irdeto,,Telekanal FAN,https://www.lyngsat.com/tvchannels/ru/Telekanal-FAN.html,,,False,STV
12527 HRussia0,DVB-S28PSK350003/4,5.0,Telekanal FAN,,MPEG-4/SD,1014.0,1104 Rus,Irdeto,,DVB-S2,35000.0,3/4,12527 H,,0.0,Irdeto,,Telekanal FAN,https://www.lyngsat.com/tvchannels/ru/Telekanal-FAN.html,,,False,STV
12527 HRussia0,DVB-S28PSK350003/4,14.0,Telekanal FAN,,MPEG-4/HD,1023.0,1123 Rus,Irdeto,,DVB-S2,35000.0,3/4,12527 H,,0.0,Irdeto,,Telekanal FAN,https://www.lyngsat.com/tvchannels/ru/Telekanal-FAN.html,,,False,STV
12527 HRussia0,DVB-S28PSK350003/4,14.0,Telekanal FAN,,MPEG-4/HD,1023.0,1123 Rus,Irdeto,,DVB-S2,35000.0,3/4,12527 H,,0.0,Irdeto,,Telekanal FAN,https://www.lyngsat.com/tvchannels/ru/Telekanal-FAN.html,,,False,STV
12527 HRussia0,DVB-S28PSK350003/4,14.0,Telekanal FAN,,MPEG-4/HD,1023.0,1123 Rus,Irdeto,,DVB-S2,35000.0,3/4,12527 H,,0.0,Irdeto,,Telekanal FAN,https://www.lyngsat.com/tvchannels/ru/Telekanal-FAN.html,,,False,STV
12527 HRussia0,DVB-S28PSK350003/4,14.0,Telekanal FAN,,MPEG-4/HD,1023.0,1123 Rus,Irdeto,,DVB-S2,35000.0,3/4,12527 H,,0.0,Irdeto,,Telekanal FAN,https://www.lyngsat.com/tvchannels/ru/Telekanal-FAN.html,,,False,STV
