Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,is_Provider,Provider
12224 Htp SAHG21South Asia0,DVB-S28PSK400002/3,17.0,Supreme TV,,HEVC/HD,2017.0,3017 Sin,Unicas,,DVB-S2,40000.0,2/3,12224 H,tp SAHG21,0.0,Unicas,,Supreme TV,https://www.lyngsat.com/tvchannels/lk/Supreme-TV.html,False,Freesat
12224 Htp SAHG21South Asia0,DVB-S28PSK400002/3,18.0,The Buddhist TV,,HEVC/SD,2018.0,3018 Sin,,,DVB-S2,40000.0,2/3,12224 H,tp SAHG21,0.0,,,The Buddhist TV,https://www.lyngsat.com/tvchannels/lk/The-Buddhist-TV.html,False,Freesat
12224 Htp SAHG21South Asia0,DVB-S28PSK400002/3,18.0,The Buddhist TV,,HEVC/SD,2018.0,3018 Sin,,,DVB-S2,40000.0,2/3,12224 H,tp SAHG21,0.0,,,The Buddhist TV,https://www.lyngsat.com/tvchannels/lk/The-Buddhist-TV.html,False,Freesat
12224 Htp SAHG21South Asia0,DVB-S28PSK400002/3,19.0,[Freesat test card],,HEVC/SD,2019.0,3019,,,DVB-S2,40000.0,2/3,12224 H,tp SAHG21,0.0,,,,,False,Freesat
12224 Htp SAHG21South Asia0,DVB-S28PSK400002/3,23.0,[Freesat test card],,HEVC/SD,2023.0,3023,,,DVB-S2,40000.0,2/3,12224 H,tp SAHG21,0.0,,,,,False,Freesat
12224 Htp SAHG21South Asia0,DVB-S28PSK400002/3,24.0,[Freesat test card],,HEVC/SD,2108.0,3108,,,DVB-S2,40000.0,2/3,12224 H,tp SAHG21,0.0,,,,,False,Freesat
12224 Htp SAHG21South Asia0,DVB-S28PSK400002/3,97.0,[Freesat test card],,MPEG-4/SD,2097.0,3097,,,DVB-S2,40000.0,2/3,12224 H,tp SAHG21,0.0,,,,,False,Freesat
12224 Htp SAHG21South Asia0,DVB-S28PSK400002/3,20.0,Rangiri Sri Lanka TV,,HEVC/SD,2020.0,3020 Sin,,,DVB-S2,40000.0,2/3,12224 H,tp SAHG21,0.0,,,Rangiri Sri Lanka TV,https://www.lyngsat.com/tvchannels/lk/Rangiri-Sri-Lanka-TV.html,False,Freesat
12224 Htp SAHG21South Asia0,DVB-S28PSK400002/3,20.0,Rangiri Sri Lanka TV,,HEVC/SD,2020.0,3020 Sin,,,DVB-S2,40000.0,2/3,12224 H,tp SAHG21,0.0,,,Rangiri Sri Lanka TV,https://www.lyngsat.com/tvchannels/lk/Rangiri-Sri-Lanka-TV.html,False,Freesat
12224 Htp SAHG21South Asia0,DVB-S28PSK400002/3,21.0,Verbum TV,,HEVC/SD,2021.0,3021 Tam,,,DVB-S2,40000.0,2/3,12224 H,tp SAHG21,0.0,,,Verbum TV,https://www.lyngsat.com/tvchannels/lk/Verbum-TV.html,False,Freesat
12224 Htp SAHG21South Asia0,DVB-S28PSK400002/3,21.0,Verbum TV,,HEVC/SD,2021.0,3021 Tam,,,DVB-S2,40000.0,2/3,12224 H,tp SAHG21,0.0,,,Verbum TV,https://www.lyngsat.com/tvchannels/lk/Verbum-TV.html,False,Freesat
12224 Htp SAHG21South Asia0,DVB-S28PSK400002/3,22.0,Shraddha TV,,HEVC/SD,2022.0,3022 Sin,,,DVB-S2,40000.0,2/3,12224 H,tp SAHG21,0.0,,,Shraddha TV,https://www.lyngsat.com/tvchannels/lk/Shraddha-TV.html,False,Freesat
12224 Htp SAHG21South Asia0,DVB-S28PSK400002/3,22.0,Shraddha TV,,HEVC/SD,2022.0,3022 Sin,,,DVB-S2,40000.0,2/3,12224 H,tp SAHG21,0.0,,,Shraddha TV,https://www.lyngsat.com/tvchannels/lk/Shraddha-TV.html,False,Freesat
12224 Htp SAHG21South Asia0,DVB-S28PSK400002/3,25.0,Meth TV,,HEVC/SD,2025.0,3025,,,DVB-S2,40000.0,2/3,12224 H,tp SAHG21,0.0,,,Meth TV,https://www.lyngsat.com/tvchannels/lk/Meth-TV.html,False,Freesat
12224 Htp SAHG21South Asia0,DVB-S28PSK400002/3,26.0,Dharmavahini TV,,HEVC/SD,2026.0,3026,,,DVB-S2,40000.0,2/3,12224 H,tp SAHG21,0.0,,,Dharmavahini TV,https://www.lyngsat.com/tvchannels/lk/Dharmavahini-TV.html,False,Freesat
12224 Htp SAHG21South Asia0,DVB-S28PSK400002/3,27.0,Athavan TV,,HEVC/SD,2027.0,3027 Tam,,,DVB-S2,40000.0,2/3,12224 H,tp SAHG21,0.0,,,Athavan TV,https://www.lyngsat.com/tvchannels/uk/Athavan-TV.html,False,Freesat
12224 Htp SAHG21South Asia0,DVB-S28PSK400002/3,27.0,Athavan TV,,HEVC/SD,2027.0,3027 Tam,,,DVB-S2,40000.0,2/3,12224 H,tp SAHG21,0.0,,,Athavan TV,https://www.lyngsat.com/tvchannels/uk/Athavan-TV.html,False,Freesat
12224 Htp SAHG21South Asia0,DVB-S28PSK400002/3,28.0,SBC TV (Sri Lanka),,HEVC/SD,2028.0,3028,,,DVB-S2,40000.0,2/3,12224 H,tp SAHG21,0.0,,,SBC TV (Sri Lanka),https://www.lyngsat.com/tvchannels/lk/SBC-TV.html,False,Freesat
12224 Htp SAHG21South Asia0,DVB-S28PSK400002/3,61.0,DP Education Maths,,HEVC/HD,2061.0,3061,,,DVB-S2,40000.0,2/3,12224 H,tp SAHG21,0.0,,,DP Education Maths,https://www.lyngsat.com/tvchannels/lk/DP-Education-Maths.html,False,Freesat
12224 Htp SAHG21South Asia0,DVB-S28PSK400002/3,71.0,[Edusat info card],,HEVC/SD,2071.0,3071,,,DVB-S2,40000.0,2/3,12224 H,tp SAHG21,0.0,,,,,False,Freesat
12224 Htp SAHG21South Asia0,DVB-S28PSK400002/3,72.0,[Edusat info card],,HEVC/SD,2072.0,3072,,,DVB-S2,40000.0,2/3,12224 H,tp SAHG21,0.0,,,,,False,Freesat
12224 Htp SAHG21South Asia0,DVB-S28PSK400002/3,73.0,[Edusat info card],,HEVC/SD,2073.0,3073,,,DVB-S2,40000.0,2/3,12224 H,tp SAHG21,0.0,,,,,False,Freesat
12224 Htp SAHG21South Asia0,DVB-S28PSK400002/3,74.0,[Edusat info card],,HEVC/SD,2074.0,3074,,,DVB-S2,40000.0,2/3,12224 H,tp SAHG21,0.0,,,,,False,Freesat
12224 Htp SAHG21South Asia0,DVB-S28PSK400002/3,75.0,[Edusat info card],,HEVC/SD,2075.0,3075,,,DVB-S2,40000.0,2/3,12224 H,tp SAHG21,0.0,,,,,False,Freesat
12224 Htp SAHG21South Asia0,DVB-S28PSK400002/3,81.0,NHK World Japan,,HEVC/HD,2081.0,3081 Eng,,,DVB-S2,40000.0,2/3,12224 H,tp SAHG21,0.0,,,NHK World Japan,https://www.lyngsat.com/tvchannels/jp/NHK-World-Japan.html,False,Freesat
