Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,is_Provider,Provider
3861 VC,DVB-S28PSK39743/5,4.0,Naxatra News Hindi,,MPEG-4/SD,67.0,69 Hin,,,DVB-S2,3974.0,3/5,3861 V,,,,,Naxatra News Hindi,https://www.lyngsat.com/tvchannels/in/Naxatra-News-Hindi.html,False,Kanak Teleport
3861 VC,DVB-S28PSK39743/5,4.0,Naxatra News Hindi,,MPEG-4/SD,67.0,69 Hin,,,DVB-S2,3974.0,3/5,3861 V,,,,,Naxatra News Hindi,https://www.lyngsat.com/tvchannels/in/Naxatra-News-Hindi.html,False,Kanak Teleport
3885 VC,DVB-S28PSK300003/4,,Doordarshan,,65535-0,,7.9,,Robiul230905,DVB-S2,30000.0,3/4,3885 V,,,,https://www.lyngsat.com/providers/in/Doordarshan.html,,,True,Doordarshan
3885 VC,DVB-S28PSK300003/4,1.0,DD National,,MPEG-4/SD,512.0,640 Hin,,,DVB-S2,30000.0,3/4,3885 V,,,,,DD National,https://www.lyngsat.com/tvchannels/in/DD-National.html,False,Doordarshan
3885 VC,DVB-S28PSK300003/4,1.0,DD National,,MPEG-4/SD,512.0,640 Hin,,,DVB-S2,30000.0,3/4,3885 V,,,,,DD National,https://www.lyngsat.com/tvchannels/in/DD-National.html,False,Doordarshan
3885 VC,DVB-S28PSK300003/4,9.0,DD National,,MPEG-4/HD,520.0,648 Hin 649 Hin,,,DVB-S2,30000.0,3/4,3885 V,,,,,DD National,https://www.lyngsat.com/tvchannels/in/DD-National.html,False,Doordarshan
3885 VC,DVB-S28PSK300003/4,9.0,DD National,,MPEG-4/HD,520.0,648 Hin 649 Hin,,,DVB-S2,30000.0,3/4,3885 V,,,,,DD National,https://www.lyngsat.com/tvchannels/in/DD-National.html,False,Doordarshan
3885 VC,DVB-S28PSK300003/4,2.0,DD News,,MPEG-4/SD,513.0,641 Hin,,,DVB-S2,30000.0,3/4,3885 V,,,,,DD News,https://www.lyngsat.com/tvchannels/in/DD-News.html,False,Doordarshan
3885 VC,DVB-S28PSK300003/4,2.0,DD News,,MPEG-4/SD,513.0,641 Hin,,,DVB-S2,30000.0,3/4,3885 V,,,,,DD News,https://www.lyngsat.com/tvchannels/in/DD-News.html,False,Doordarshan
3885 VC,DVB-S28PSK300003/4,2.0,DD News,,MPEG-4/SD,513.0,641 Hin,,,DVB-S2,30000.0,3/4,3885 V,,,,,DD News,https://www.lyngsat.com/tvchannels/in/DD-News.html,False,Doordarshan
3885 VC,DVB-S28PSK300003/4,2.0,DD News,,MPEG-4/SD,513.0,641 Hin,,,DVB-S2,30000.0,3/4,3885 V,,,,,DD News,https://www.lyngsat.com/tvchannels/in/DD-News.html,False,Doordarshan
