Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,is_Provider,Provider
10992 VWest,DVB-S22203/4,1.0,Türksat promo,,65281-1MPEG-2/SD,1001.0,5.51002,,DX BozóthN Stanislav231127,DVB-S,2220,3/4,10992 V,,,,,,,False,
11515 HMENA51,DVB-S28PSK300002/3,50450.0,Türksat promo,,MPEG-4/HD,5450.0,5650 Tur,,,DVB-S2,30000,2/3,11515 H,,51.0,,,,,False,
11030 HWest,DVB-S28PSK25005/6,,(feeds),,,,,,DX Bozóth240402,DVB-S2,2500,5/6,11030 H,,,,,,,False,
11037 HWest,DVB-S28PSK25005/6,,(feeds),,,,,,DX Bozóth231103,DVB-S2,2500,5/6,11037 H,,,,,,,False,
11041 HWest,DVB-S28PSK25005/6,,(feeds),,,,,,DX Bozóth231104,DVB-S2,2500,5/6,11041 H,,,,,,,False,
11041 VWest,DVB-S28PSK24905/6,,(feeds),,,,,,DX Bozóth240124,DVB-S2,2490,5/6,11041 V,,,,,,,False,
11046 HWest,DVB-S28PSK25005/6,,(feeds),,,,,,DX Bozóth231104,DVB-S2,2500,5/6,11046 H,,,,,,,False,
11048 VWest,DVB-S28PSK100003/4,,(feeds),,,,,,RoliN Stanislav230430,DVB-S2,10000,3/4,11048 V,,,,,,,False,
11066 HWest,DVB-S28PSK75005/6,,(feeds),,,,,,Roli240323,DVB-S2,7500,5/6,11066 H,,,,,,,False,
11067 VWest,DVB-S28PSK100003/4,,(feeds),,,,,,N Stanislav230416,DVB-S2,10000,3/4,11067 V,,,,,,,False,
11072 HWest,DVB-S28PSK25005/6,,(feeds),,,,,,Roli240323,DVB-S2,2500,5/6,11072 H,,,,,,,False,
11503 V,,,,,,,,,N Stanislav240202,DVB-S2,2500,5/6,11503 V,,,,,,,False,
11508 V,,,,,,,,,N Stanislav240202,DVB-S2,2500,5/6,11508 V,,,,,,,False,
11514 V,,,,,,,,,N Stanislav240202,DVB-S2,2500,5/6,11514 V,,,,,,,False,
11525 V,,,,,,,,,N Stanislav240202,DVB-S2,30000,2/3,11525 V,,,,,,,False,
11572 V,,,,,,,,,N Stanislav240202,DVB-S2,30000,2/3,11572 V,,,,,,,False,
11600 V,,,,,,,,,N Stanislav240202,DVB-S2,30000,2/3,11600 V,,,,,,,False,
11603 V,,,,,,,,,N Stanislav240202,DVB-S2,30000,2/3,11603 V,,,,,,,False,
11618 H,,,,,,,,,N Stanislav240202,DVB-S2,30000,2/3,11618 H,,,,,,,False,
11515 HMENA51,DVB-S28PSK300002/3,,Türksat,,,,6.6,,N Stanislav230905,DVB-S2,30000,2/3,11515 H,,51.0,,https://www.lyngsat.com/providers/tr/Turksat.html,,,True,Türksat
11515 HMENA51,DVB-S28PSK300002/3,50451.0,TRT Arabi,,MPEG-4/HD,5451.0,5651 Ara,,,DVB-S2,30000,2/3,11515 H,,51.0,,,TRT Arabi,https://www.lyngsat.com/tvchannels/tr/TRT-Arabi.html,False,Türksat
11515 HMENA51,DVB-S28PSK300002/3,50451.0,TRT Arabi,,MPEG-4/HD,5451.0,5651 Ara,,,DVB-S2,30000,2/3,11515 H,,51.0,,,TRT Arabi,https://www.lyngsat.com/tvchannels/tr/TRT-Arabi.html,False,Türksat
11515 HMENA51,DVB-S28PSK300002/3,50452.0,TRT World,,MPEG-4/HD,5452.0,5652 Eng,,,DVB-S2,30000,2/3,11515 H,,51.0,,,TRT World,https://www.lyngsat.com/tvchannels/tr/TRT-World.html,False,Türksat
11515 HMENA51,DVB-S28PSK300002/3,50452.0,TRT World,,MPEG-4/HD,5452.0,5652 Eng,,,DVB-S2,30000,2/3,11515 H,,51.0,,,TRT World,https://www.lyngsat.com/tvchannels/tr/TRT-World.html,False,Türksat
11515 HMENA51,DVB-S28PSK300002/3,50453.0,Alkarma TV Middle East,,MPEG-4/SD,5453.0,5653 Ara,,,DVB-S2,30000,2/3,11515 H,,51.0,,,Alkarma TV Middle East,https://www.lyngsat.com/tvchannels/us/Alkarma-TV-Middle-East.html,False,Türksat
11515 HMENA51,DVB-S28PSK300002/3,50453.0,Alkarma TV Middle East,,MPEG-4/SD,5453.0,5653 Ara,,,DVB-S2,30000,2/3,11515 H,,51.0,,,Alkarma TV Middle East,https://www.lyngsat.com/tvchannels/us/Alkarma-TV-Middle-East.html,False,Türksat
