Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,is_Provider,Provider
3809 Htp 6C0,DVB-S28PSK108903/5,,,,,,5.5,,D Dragos190505,DVB-S2,10890.0,3/5,3809 H,tp 6,0.0,,,,,False,
4032 Htp 16C0,DVB-S28PSK96005/6,,,,,,9.4,PowerVu,Mike 4230829,DVB-S2,9600.0,5/6,4032 H,tp 16,0.0,PowerVu,,,,False,
11960 Vtp 13Ku0,,,,,,,,,Cyberham240306,DVB-S,22000.0,3/4,11960 V,tp 13,0.0,,,,,False,
11987 Vtp 15Ku0,DVB-S3977,,,,,,,,J Newark 2230701,DVB-S,21600.0,5/6,11987 V,tp 15,0.0,,,,,False,
3809 Htp 6C0,DVB-S28PSK108903/5,,Imagen TV,,MPEG-4/HD,33.0,34 Spa,,,DVB-S2,10890.0,3/5,3809 H,tp 6,0.0,,,Imagen TV,https://www.lyngsat.com/tvchannels/mx/Imagen-TV.html,False,
3809 Htp 6C0,DVB-S28PSK108903/5,,Imagen TV,,MPEG-4/HD,33.0,34 Spa,,,DVB-S2,10890.0,3/5,3809 H,tp 6,0.0,,,Imagen TV,https://www.lyngsat.com/tvchannels/mx/Imagen-TV.html,False,
3809 Htp 6C0,DVB-S28PSK108903/5,4.0,Excélsior TV,,MPEG-2/SD,481.0,482 Spa,,,DVB-S2,10890.0,3/5,3809 H,tp 6,0.0,,,Excélsior TV,https://www.lyngsat.com/tvchannels/mx/Excelsior-TV.html,False,
3861 Htp 8C0,DVB-S28PSK65225/6,1.0,TV Tabasqueña,,?-?MPEG-2/HD,49.0,9.4  51 Spa,,A Ishchenko230416,DVB-S2,6522.0,5/6,3861 H,tp 8,0.0,,,,,False,
3913 Htp 10C0,DVB-S28PSK84003/5,1.0,Imagen Informativa,,?-?MPEG-2/HD,481.0,5.5 482 Spa,,D Dragos210807,DVB-S2,8400.0,3/5,3913 H,tp 10,0.0,,,,,False,
4009 Vtp 15C0,DVB-S28PSK150005/6,1.0,The CW,,?-?MPEG-4/HD,162.0,9.4 163 Eng,,J Klingerman230216,DVB-S2,15000.0,5/6,4009 V,tp 15,0.0,,,,,False,
4027 Vtp 17C,DVB-S61113/4,,(feeds),,,,,,Mike 4230116,DVB-S,6111.0,3/4,4027 V,tp 17,,,,,,False,
11930 Vtp 11Ku,DVB-S2640,,(feeds),,,,,,J Newark 2230701,DVB-S,22000.0,3/4,11930 V,tp 11,,,,,,False,
11940 Vtp 11Ku,DVB-S2640,,(feeds),,,,,,J Newark 2230701,DVB-S,22000.0,3/4,11940 V,tp 11,,,,,,False,
4032 Htp 16C0,DVB-S28PSK96005/6,496.0,CBC Toronto,,MPEG-4/HD,499.0,500 Eng,PowerVu,,DVB-S2,9600.0,5/6,4032 H,tp 16,0.0,PowerVu,,CBC Toronto,https://www.lyngsat.com/tvchannels/ca/CBC-Toronto.html,False,
4032 Htp 16C0,DVB-S28PSK96005/6,1472.0,Ici Radio Canada Télé Montréal,,MPEG-4/HD,1475.0,1476 Fre,PowerVu,,DVB-S2,9600.0,5/6,4032 H,tp 16,0.0,PowerVu,,Ici Radio Canada Télé Montréal,https://www.lyngsat.com/tvchannels/ca/Ici-Radio-Canada-Tele-Montreal.html,False,
4032 Htp 16C0,DVB-S28PSK96005/6,1776.0,Télé-Québec,,MPEG-4/HD,1779.0,1780 Fre,PowerVu,,DVB-S2,9600.0,5/6,4032 H,tp 16,0.0,PowerVu,,Télé-Québec,https://www.lyngsat.com/tvchannels/ca/Tele-Quebec.html,False,
4064 Htp 18C,DVB-S28PSK41663/4,,(Warner Bros feeds),,,,,,Mike 4221215,DVB-S2,4166.0,3/4,4064 H,tp 18,,,,,,False,
4080 Vtp 19C,DVB-S216APSK342862/3,,(CBS feeds),,,,,,Mike 4220825,DVB-S2,34286.0,2/3,4080 V,tp 19,,,,,,False,
4120 Vtp 21C,DVB-S28PSK300005/6,,(ABC feeds),,,,,,Rick101028,DVB-S2,30000.0,5/6,4120 V,tp 21,,,,,,False,
4140 Htp 22C0,DVB-S216APSK342865/6,,Televisa,,,,,Director,NOS482230507,DVB-S2,34286.0,5/6,4140 H,tp 22,0.0,Director,https://www.lyngsat.com/providers/mx/Televisa.html,,,True,Televisa
4140 Htp 22C0,DVB-S216APSK342865/6,1.0,Las Estrellas México,,HEVC/HD,2001.0,4011 Spa,Director,,DVB-S2,34286.0,5/6,4140 H,tp 22,0.0,Director,,Las Estrellas México,https://www.lyngsat.com/tvchannels/mx/Las-Estrellas-Mexico.html,False,Televisa
4140 Htp 22C0,DVB-S216APSK342865/6,2.0,Canal 5,,HEVC/HD,2002.0,4021 Spa,Director,,DVB-S2,34286.0,5/6,4140 H,tp 22,0.0,Director,,Canal 5,https://www.lyngsat.com/tvchannels/mx/Canal-5.html,False,Televisa
4140 Htp 22C0,DVB-S216APSK342865/6,3.0,Nu9ve,,HEVC/HD,2003.0,4031 Spa,Director,,DVB-S2,34286.0,5/6,4140 H,tp 22,0.0,Director,,Nu9ve,https://www.lyngsat.com/tvchannels/mx/Nu9ve.html,False,Televisa
4140 Htp 22C0,DVB-S216APSK342865/6,4.0,Las Estrellas México +1,,HEVC/HD,2004.0,4041 Spa,Director,,DVB-S2,34286.0,5/6,4140 H,tp 22,0.0,Director,,Las Estrellas México +1,https://www.lyngsat.com/tvchannels/mx/Las-Estrellas-Mexico--1.html,False,Televisa
4140 Htp 22C0,DVB-S216APSK342865/6,5.0,Las Estrellas México +2,,HEVC/HD,2005.0,4051 Spa,Director,,DVB-S2,34286.0,5/6,4140 H,tp 22,0.0,Director,,Las Estrellas México +2,https://www.lyngsat.com/tvchannels/mx/Las-Estrellas-Mexico--2.html,False,Televisa
4140 Htp 22C0,DVB-S216APSK342865/6,6.0,Canal 5 +1,,HEVC/HD,2006.0,40.2 Spa,Director,,DVB-S2,34286.0,5/6,4140 H,tp 22,0.0,Director,,Canal 5 +1,https://www.lyngsat.com/tvchannels/mx/Canal-5--1.html,False,Televisa
4140 Htp 22C0,DVB-S216APSK342865/6,7.0,Canal 5 +2,,HEVC/HD,2007.0,4072 Spa,Director,,DVB-S2,34286.0,5/6,4140 H,tp 22,0.0,Director,,Canal 5 +2,https://www.lyngsat.com/tvchannels/mx/Canal-5--2.html,False,Televisa
4140 Htp 22C0,DVB-S216APSK342865/6,8.0,Nu9ve +1,,HEVC/HD,2008.0,4082 Spa,Director,,DVB-S2,34286.0,5/6,4140 H,tp 22,0.0,Director,,Nu9ve +1,https://www.lyngsat.com/tvchannels/mx/Nu9ve--1.html,False,Televisa
4140 Htp 22C0,DVB-S216APSK342865/6,9.0,Nu9ve +2,,HEVC/HD,2009.0,4092 Spa,Director,,DVB-S2,34286.0,5/6,4140 H,tp 22,0.0,Director,,Nu9ve +2,https://www.lyngsat.com/tvchannels/mx/Nu9ve--2.html,False,Televisa
4140 Htp 22C0,DVB-S216APSK342865/6,10.0,Foro TV (Mexico),,HEVC/HD,2010.0,4102 Spa,Director,,DVB-S2,34286.0,5/6,4140 H,tp 22,0.0,Director,,Foro TV (Mexico),https://www.lyngsat.com/tvchannels/mx/Foro-TV.html,False,Televisa
4140 Htp 22C0,DVB-S216APSK342865/6,10.0,Foro TV (Mexico),,HEVC/HD,2010.0,4102 Spa,Director,,DVB-S2,34286.0,5/6,4140 H,tp 22,0.0,Director,,Foro TV (Mexico),https://www.lyngsat.com/tvchannels/mx/Foro-TV.html,False,Televisa
11842 Htp 6Ku0,DVB-S220003/4,,SES,,1-220,,5.5,,Cyberham240306,DVB-S,22000.0,3/4,11842 H,tp 6,0.0,,https://www.lyngsat.com/providers/lu/SES.html,,,True,SES
11842 Htp 6Ku0,DVB-S220003/4,1.0,Hope Channel North America,,MPEG-2/SD,2201.0,3201 Eng4201 Eng,,,DVB-S,22000.0,3/4,11842 H,tp 6,0.0,,,Hope Channel North America,https://www.lyngsat.com/tvchannels/us/Hope-Channel-North-America.html,False,SES
11842 Htp 6Ku0,DVB-S220003/4,1.0,Hope Channel North America,,MPEG-2/SD,2201.0,3201 Eng4201 Eng,,,DVB-S,22000.0,3/4,11842 H,tp 6,0.0,,,Hope Channel North America,https://www.lyngsat.com/tvchannels/us/Hope-Channel-North-America.html,False,SES
11842 Htp 6Ku0,DVB-S220003/4,2.0,Daystar TV,,MPEG-2/SD,2002.0,3002 Eng,,,DVB-S,22000.0,3/4,11842 H,tp 6,0.0,,,Daystar TV,https://www.lyngsat.com/tvchannels/us/Daystar-TV.html,False,SES
11842 Htp 6Ku0,DVB-S220003/4,2.0,Daystar TV,,MPEG-2/SD,2002.0,3002 Eng,,,DVB-S,22000.0,3/4,11842 H,tp 6,0.0,,,Daystar TV,https://www.lyngsat.com/tvchannels/us/Daystar-TV.html,False,SES
11842 Htp 6Ku0,DVB-S220003/4,5.0,The Word Network,,MPEG-2/SD,46.0,45 Eng,,,DVB-S,22000.0,3/4,11842 H,tp 6,0.0,,,The Word Network,https://www.lyngsat.com/tvchannels/us/The-Word-Network.html,False,SES
11842 Htp 6Ku0,DVB-S220003/4,8.0,Duna World (Sun 22-Sat 14 & Sat 22-Sun 14),,MPEG-2/SD,2008.0,3008 Hun,,,DVB-S,22000.0,3/4,11842 H,tp 6,0.0,,,Duna World (Sun 22-Sat 14 & Sat 22-Sun 14),https://www.lyngsat.com/tvchannels/hu/Duna-World.html,False,SES
