Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,is_Provider,Provider
10958 HFSS,DVB-S2QPSK80001/2,,(feeds),,,,,,DX Bozóth220623,DVB-S2,8000.0,1/2,10958 H,,,,,,,False,
10971 VFSS,DVB-S2QPSK78331/2,,(feeds),,,,,,DX Bozóth220608,DVB-S2,7833.0,1/2,10971 V,,,,,,,False,
11000 VFSS,DVB-S2QPSK25005/6,,(feeds),,,,,,DX Bozóth220701,DVB-S2,2500.0,5/6,11000 V,,,,,,,False,
11022 VFSS,DVB-S2QPSK25005/6,,(feeds),,,,,,DX Bozóth220623,DVB-S2,2500.0,5/6,11022 V,,,,,,,False,
11038 VFSS,DVB-S25005/6,,(feeds),,,,,,DX Bozóth231122,DVB-S,2500.0,5/6,11038 V,,,,,,,False,
11068 VFSS,DVB-S28PSK20002/3,,(feeds),,,,,,DX Bozóth211223,DVB-S2,2000.0,2/3,11068 V,,,,,,,False,
11078 VFSS,DVB-S28PSK25005/6,,(feeds),,,,,,N Stanislav231005,DVB-S2,2500.0,5/6,11078 V,,,,,,,False,
11097 VFSS,DVB-S28PSK29005/6,,(feeds),,,,,,N Stansilav240330,DVB-S2,2900.0,5/6,11097 V,,,,,,,False,
11103 VFSS,DVB-S28PSK25003/4,,(feeds),,,,,,DX Bozóth210528,DVB-S2,2500.0,3/4,11103 V,,,,,,,False,
11113 VFSS,DVB-S28PSK20003/4,,(feeds),,,,,,DX Bozóth210409,DVB-S2,2000.0,3/4,11113 V,,,,,,,False,
11114 HFSS,DVB-S241673/4,,(feeds),,,,,,Stanley_cassidy210126,DVB-S2,4167.0,3/4,11114 H,,,,,,,False,
11115 VFSS,DVB-S28PSK16603/4,,(feeds),,,,,,DX Bozóth210310,DVB-S2,1660.0,3/4,11115 V,,,,,,,False,
11118 HFSS,DVB-S233335/6,,(feeds),,,,,,Stanley_cassidy201106,DVB-S2,3333.0,5/6,11118 H,,,,,,,False,
11126 VFSS,DVB-S2QPSK50003/4,,(feeds),,,,,,DX Bozóth210818,DVB-S2,5000.0,3/4,11126 V,,,,,,,False,
11142 HFSS,DVB-S28PSK41675/6,,(feeds),,,,,,N Stanislav231005,DVB-S2,4167.0,5/6,11142 H,,,,,,,False,
11152 HFSS,DVB-S227405/6,,(feeds),,,,,,Stanley_cassidy200806,DVB-S2,2740.0,5/6,11152 H,,,,,,,False,
