Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Pkg_Name,Pkg_URL,is_Provider,Provider
12618 Ltp 28,DSS200006/7,,DirecTV USA,,,,,Videoguard,D Wolfson031007,DSS,20000,6/7,12618 L,tp 28,,Videoguard,,DirecTV USA,https://www.lyngsat.com/packages/DirecTV-USA-110W.html,False,
12618 Ltp 28,DSS200006/7,,DirecTV USA,,,,,Videoguard,D Wolfson031007,DSS,20000,6/7,12618 L,tp 28,,Videoguard,,DirecTV USA,https://www.lyngsat.com/packages/DirecTV-USA-110W.html,False,
