Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,is_Provider,Provider
10925 Vtp 13Russia0,DVB-S2ACM34288,,@ KiteNet,,,,,,N Stanislav210529,DVB-S2,34288,,10925 V,tp 13,0.0,,,,,False,
10962 Vtp 1Southern,DVB-S259265/6,,TPA,,,,,,Emil McAlister230124,DVB-S2,5926,5/6,10962 V,tp 1,,,https://www.lyngsat.com/providers/ao/TPA.html,,,True,TPA
10962 Vtp 1Southern,DVB-S259265/6,1.0,TPA 1,,,308.0,257 Por,,,DVB-S2,5926,5/6,10962 V,tp 1,,,,TPA 1,https://www.lyngsat.com/tvchannels/ao/TPA-1.html,False,TPA
10962 Vtp 1Southern,DVB-S259265/6,2.0,TPA 2,,,309.0,261 Por,,,DVB-S2,5926,5/6,10962 V,tp 1,,,,TPA 2,https://www.lyngsat.com/tvchannels/ao/TPA-2.html,False,TPA
10984 Vtp 1Southern,DVB-S28PSK91005/6,,Telemedia,,,,9.4,,Emil McAlister230124,DVB-S2,9100,5/6,10984 V,tp 1,,,https://www.lyngsat.com/providers/za/Telemedia.html,,,True,Telemedia
10984 Vtp 1Southern,DVB-S28PSK91005/6,,Gallop TV 2,,,101.0,102 Eng,,,DVB-S2,9100,5/6,10984 V,tp 1,,,,Gallop TV 2,https://www.lyngsat.com/tvchannels/za/Gallop-TV-2.html,False,Telemedia
10984 Vtp 1Southern,DVB-S28PSK91005/6,,Gallop TV,,,3004.0,3003 Eng,,,DVB-S2,9100,5/6,10984 V,tp 1,,,,Gallop TV,https://www.lyngsat.com/tvchannels/za/Gallop-TV.html,False,Telemedia
10984 Vtp 1Southern,DVB-S28PSK91005/6,13.0,Biafra TV,,MPEG-2/SD,256.0,257 Eng,,,DVB-S2,9100,5/6,10984 V,tp 1,,,,Biafra TV,https://www.lyngsat.com/tvchannels/uk/Biafra-TV.html,False,Telemedia
10984 Vtp 1Southern,DVB-S28PSK91005/6,,Biafra Human Rights & Freedom Radio,,,,482 Eng,,,DVB-S2,9100,5/6,10984 V,tp 1,,,,Biafra Human Rights & Freedom Radio,https://www.lyngsat.com/radiochannels/uk/Biafra-Human-Rights-and-Freedom-Radio.html,False,Telemedia
10984 Vtp 1Southern,DVB-S28PSK91005/6,14.0,Radio Biafra,,,,192 Eng,,,DVB-S2,9100,5/6,10984 V,tp 1,,,,Radio Biafra,https://www.lyngsat.com/radiochannels/uk/Radio-Biafra.html,False,Telemedia
10984 Vtp 1Southern,DVB-S28PSK91005/6,14.0,Radio Biafra,,,,192 Eng,,,DVB-S2,9100,5/6,10984 V,tp 1,,,,Radio Biafra,https://www.lyngsat.com/radiochannels/uk/Radio-Biafra.html,False,Telemedia
11056 Htp 2AEurope,DVB-S2QPSK100003/4,,Gazprom Space Systems,,1-9,,4.0,,N Stanislav240208,DVB-S2,10000,3/4,11056 H,tp 2A,,,https://www.lyngsat.com/providers/ru/Gazprom-Space-Systems.html,,,True,Gazprom Space Systems
11056 Htp 2AEurope,DVB-S2QPSK100003/4,,Gazprom Space Systems,,1-9,,4.0,,N Stanislav240208,DVB-S2,10000,3/4,11056 H,tp 2A,,,https://www.lyngsat.com/providers/ru/Gazprom-Space-Systems.html,,,True,Gazprom Space Systems
11056 Htp 2AEurope,DVB-S2QPSK100003/4,,Gazprom Space Systems,,1-9,,4.0,,N Stanislav240208,DVB-S2,10000,3/4,11056 H,tp 2A,,,https://www.lyngsat.com/providers/ru/Gazprom-Space-Systems.html,,,True,Gazprom Space Systems
11056 Htp 2AEurope,DVB-S2QPSK100003/4,,Gazprom Space Systems,,1-9,,4.0,,N Stanislav240208,DVB-S2,10000,3/4,11056 H,tp 2A,,,https://www.lyngsat.com/providers/ru/Gazprom-Space-Systems.html,,,True,Gazprom Space Systems
11265 Vtp 15Russia0,DVB-S300003/4,,Gazprom Space Systems,,100-55,,5.5,,N Stanislav230920,DVB-S,30000,3/4,11265 V,tp 15,0.0,,https://www.lyngsat.com/providers/ru/Gazprom-Space-Systems.html,,,True,Gazprom Space Systems
