Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,is_Provider,Provider
11711 Htp 701South America Ku,DVB-S6620,,(feeds),,,,,,F Gomes080906,DVB-S,,,11711 H,tp 701,,,,False,
11724 Htp 701South America Ku,DVB-S6500,,(feeds),,,,,,F Gomes080906,DVB-S,,,11724 H,tp 701,,,,False,
11732 Htp 701South America Ku,DVB-S4440,,(feeds),,,,,,N Chaves080412,DVB-S,,,11732 H,tp 701,,,,False,
11747 Htp 703South America Ku,DVB-S6620,,(feeds),,,,,,A Camargo070914,DVB-S,,,11747 H,tp 703,,,,False,
11756 Htp 703South America Ku,DVB-S6620,,(feeds),,,,,,A Camargo080323,DVB-S,,,11756 H,tp 703,,,,False,
11845 Htp 707South America Ku,DVB-S6510,,(feeds),,,,,,A Camargo080323,DVB-S,,,11845 H,tp 707,,,,False,
11960 Htp 713South America Ku0,,,,,,,,,C de Berazategui240202,DVB-S,,,11960 H,tp 713,0.0,,,False,
12000 Htp 715South America Ku0,,,,,,,,,C de Berazategui240202,DVB-S,,,12000 H,tp 715,0.0,,,False,
