Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,is_Provider,Provider
4110 Htp 11ANCSouth America,DVB-S28PSK47803/4,,TV Guararapes,,MPEG-4/1seg,641.0,643 Por,,,DVB-S2,4780.0,3/4,4110 H,tp 11ANC,,,https://www.lyngsat.com/providers/br/TV-Guararapes.html,TV Guararapes,https://www.lyngsat.com/tvchannels/br/TV-Guararapes.html,True,TV Guararapes
4116 Htp 11ANCSouth America,DVB-S28PSK34505/6,,TV Sucesso (Brazil),,,,9.4,,Edinho fta230705,DVB-S2,3450.0,5/6,4116 H,tp 11ANC,,,https://www.lyngsat.com/providers/br/TV-Sucesso.html,TV Sucesso (Brazil),https://www.lyngsat.com/tvchannels/br/TV-Sucesso.html,True,TV Sucesso (Brazil)
4116 Htp 11ANCSouth America,DVB-S28PSK34505/6,,TV Sucesso (Brazil),,,,9.4,,Edinho fta230705,DVB-S2,3450.0,5/6,4116 H,tp 11ANC,,,https://www.lyngsat.com/providers/br/TV-Sucesso.html,TV Sucesso (Brazil),https://www.lyngsat.com/tvchannels/br/TV-Sucesso.html,True,TV Sucesso (Brazil)
4116 Htp 11ANCSouth America,DVB-S28PSK34505/6,,TV Sucesso (Brazil),,MPEG-4/HD,273.0,274 Por,,,DVB-S2,3450.0,5/6,4116 H,tp 11ANC,,,https://www.lyngsat.com/providers/br/TV-Sucesso.html,TV Sucesso (Brazil),https://www.lyngsat.com/tvchannels/br/TV-Sucesso.html,True,TV Sucesso (Brazil)
4116 Htp 11ANCSouth America,DVB-S28PSK34505/6,,TV Sucesso (Brazil),,MPEG-4/HD,273.0,274 Por,,,DVB-S2,3450.0,5/6,4116 H,tp 11ANC,,,https://www.lyngsat.com/providers/br/TV-Sucesso.html,TV Sucesso (Brazil),https://www.lyngsat.com/tvchannels/br/TV-Sucesso.html,True,TV Sucesso (Brazil)
4116 Htp 11ANCSouth America,DVB-S28PSK34505/6,,TV Sucesso (Brazil),,MPEG-4/1seg,641.0,643 Por,,,DVB-S2,3450.0,5/6,4116 H,tp 11ANC,,,https://www.lyngsat.com/providers/br/TV-Sucesso.html,TV Sucesso (Brazil),https://www.lyngsat.com/tvchannels/br/TV-Sucesso.html,True,TV Sucesso (Brazil)
4116 Htp 11ANCSouth America,DVB-S28PSK34505/6,,TV Sucesso (Brazil),,MPEG-4/1seg,641.0,643 Por,,,DVB-S2,3450.0,5/6,4116 H,tp 11ANC,,,https://www.lyngsat.com/providers/br/TV-Sucesso.html,TV Sucesso (Brazil),https://www.lyngsat.com/tvchannels/br/TV-Sucesso.html,True,TV Sucesso (Brazil)
4142 Htp 12ANCSouth America,DVB-S28PSK1000,,Transamérica,,,,,FlexKey,C de Berazategui231211,DVB-S2,1000.0,5/6,4142 H,tp 12ANC,,FlexKey,https://www.lyngsat.com/providers/br/Transamerica.html,,,True,Transamérica
4142 Htp 12ANCSouth America,DVB-S28PSK1000,1.0,Transamérica Pop,,,,101 Por,FlexKey,,DVB-S2,1000.0,5/6,4142 H,tp 12ANC,,FlexKey,,Transamérica Pop,https://www.lyngsat.com/radiochannels/br/Transamerica-Pop.html,False,Transamérica
4142 Htp 12ANCSouth America,DVB-S28PSK1000,3.0,Transamérica Light,,,,301,FlexKey,,DVB-S2,1000.0,5/6,4142 H,tp 12ANC,,FlexKey,,Transamérica Light,https://www.lyngsat.com/radiochannels/br/Transamerica-Light.html,False,Transamérica
4150 Vtp 11BNCSouth America,DVB-S28PSK25003/4,,Rede Brasil,,MPEG-2/SD,473.0,7.9 474 Por,,Edinho fta230705,DVB-S2,2500.0,3/4,4150 V,tp 11BNC,,,,Rede Brasil,https://www.lyngsat.com/tvchannels/br/Rede-Brasil.html,False,Transamérica
4150 Vtp 11BNCSouth America,DVB-S28PSK25003/4,,Rede Brasil,,MPEG-2/SD,473.0,7.9 474 Por,,Edinho fta230705,DVB-S2,2500.0,3/4,4150 V,tp 11BNC,,,,Rede Brasil,https://www.lyngsat.com/tvchannels/br/Rede-Brasil.html,False,Transamérica
4150 Vtp 11BNCSouth America,DVB-S28PSK25003/4,,Rede Brasil,,MPEG-2/SD,473.0,7.9 474 Por,,Edinho fta230705,DVB-S2,2500.0,3/4,4150 V,tp 11BNC,,,,Rede Brasil,https://www.lyngsat.com/tvchannels/br/Rede-Brasil.html,False,Transamérica
