Name,Region,Position_Longitude,Position_Direction,L_Rocket,L_Date
NSS 9,asia,177.0,W,Ariane 5 - V187,2009-02-12
Intelsat 18,asia,180.0,E,Zenit 3/Baikonur,2011-10-05
Eutelsat 172B,asia,172.0,E,Ariane 5 - VA237,2017-06-01
Horizons 3e,asia,169.0,E,Ariane 5 - VA243,2018-09-25
Intelsat 19,asia,166.0,E,Zenit 3/Sea Launch,2012-06-01
ChinaSat 19,asia,163.0,E,Long March 3B,2022-11-05
Superbird B3,asia,162.0,E,Ariane 5 - VA242,2018-04-05
Optus D2,asia,160.0,E,Ariane 5,2007-10-05
ABS 6,asia,159.0,E,Proton,1999-09-26
Optus D3,asia,156.0,E,Ariane 5 - V190,2009-08-21
Optus 10,asia,156.0,E,Ariane 5 - VA218,2014-09-11
JCSAT 2B,asia,154.0,E,Falcon 9,2016-05-06
Optus D1 (incl. 0.9°),asia,152.0,E,Ariane 5,2006-10-13
BRIsat,asia,150.5,E,Ariane 5 - VA230,2016-06-18
JCSAT 1C,asia,150.0,E,Falcon 9,2019-12-17
Nusantara Satu,asia,146.0,E,Falcon 9,2019-02-22
Express AMU7,asia,145.0,E,Proton,2021-12-13
JCSAT 16,asia,144.0,E,Falcon 9,2016-08-14
Superbird C2 (incl. 0.2°),asia,144.0,E,Ariane 5 - V185,2008-08-14
Apstar 9,asia,142.0,E,Xichang,2015-10-16
Express AM5,asia,140.0,E,Proton,2013-12-26
Express AT2,asia,140.0,E,Proton,2014-03-15
Telstar 18 Vantage (Apstar 5C),asia,138.0,E,,1900-01-01
Apstar 6D,asia,134.0,E,Long March 3B,2020-07-09
Apstar 6C,asia,134.0,E,Long March 3B,2018-05-03
JCSAT 12,asia,132.0,E,Ariane 5 - V190,2009-08-21
JCSAT 5A,asia,132.0,E,Zenit 3,2006-04-12
Vinasat 1,asia,132.0,E,Ariane 5,2008-04-18
Vinasat 2,asia,132.0,E,Ariane 5 - VA206,2012-05-15
ChinaSat 6C,asia,130.5,E,Long March 3B,2019-03-09
ChinaSat 2D,asia,130.0,E,Long March 3B,2019-01-10
LaoSat 1,asia,128.5,E,Long March 3B,2015-11-20
JCSAT 3A,asia,128.0,E,Ariane 5,2006-08-11
Cosmos 2526,asia,128.0,E,Proton,2018-04-18
ChinaSat 6D,asia,125.0,E,Long March 3B/E,2022-04-15
JCSAT 4B,asia,124.0,E,Ariane 5 - VA206,2012-05-15
AsiaSat 9,asia,122.0,E,Proton,2017-09-28
AsiaSat 6/Thaicom 7,asia,120.0,E,Falcon 9,2014-09-07
Thaicom 4,asia,119.3,E,Ariane,2005-08-11
Bangabandhu 1,asia,119.3,E,Falcon 9,2018-05-11
Telkom 3S,asia,118.0,E,Ariane 5 - VA235,2017-02-14
Koreasat 6,asia,116.0,E,Ariane 5 - V199,2010-12-29
Koreasat 7,asia,116.0,E,Ariane 5 - VA236,2017-05-04
ChinaSat 6B (incl. 0.3°),asia,115.5,E,Long March 3B,2007-07-05
ChinaSat 6E,asia,115.5,E,Long March 3B,2023-11-09
Koreasat 5,asia,113.0,E,Zenit 3,2006-08-22
Koreasat 5A,asia,113.0,E,Falcon 9,2017-10-30
Merah Putih 2,asia,113.0,E,Falcon 9,2024-02-20
ChinaSat 10,asia,110.5,E,Long March 3B,2011-06-20
BSAT 4B,asia,110.0,E,Ariane 5 - VA253,2020-08-15
BSAT 3A,asia,110.0,E,Ariane 5 - V177,2007-08-14
BSAT 3C/JCSAT 110R,asia,110.0,E,Ariane 5 - VA203,2011-08-06
JCSAT 15,asia,110.0,E,Ariane 5 - VA234,2016-12-21
BSAT 4A,asia,110.0,E,Ariane 5 - VA239,2017-09-29
SES 7,asia,108.2,E,Proton,2009-05-16
SES 9,asia,108.2,E,Falcon 9,2016-03-04
Telkom 4,asia,108.2,E,Falcon 9,2018-08-07
AsiaSat 7,asia,105.5,E,Proton,2011-11-25
Express AMU3,asia,103.0,E,Proton,2021-12-13
ChinaSat 9B,asia,101.4,E,Long March 3B,2021-09-09
AsiaSat 5,asia,100.5,E,Proton,2009-08-11
ChinaSat 11,asia,98.0,E,Long March 3B,2013-05-01
G-Sat 9,asia,97.3,E,GSLV,2017-05-05
Express 103,asia,96.5,E,Proton,2020-07-30
SES 8,asia,95.0,E,Falcon 9,2013-12-03
SES 12,asia,95.0,E,Falcon 9,2018-06-04
G-Sat 15,asia,93.5,E,Ariane 5 - VA227,2015-11-10
G-Sat 17,asia,93.5,E,Ariane 5 - VA238,2017-06-28
ChinaSat 9,asia,92.2,E,Long March 3B,2008-06-09
Measat 3b,asia,91.5,E,Ariane 5 - VA218,2014-09-11
Measat 3d,asia,91.5,E,Ariane 5 - VA257,2022-06-22
Measat 3a,asia,91.5,E,Zenit 3/Baikonur,2009-06-21
Yamal 401,asia,90.0,E,Proton,2014-12-15
ST 2,asia,88.0,E,Ariane 5 - VA202,2011-05-20
ChinaSat 12,asia,87.5,E,Long March 3B,2012-11-27
KazSat 2,asia,86.5,E,Proton,2011-07-15
Intelsat 15,asia,85.2,E,Zenit 3/Baikonur,2009-11-30
G-Sat 10,asia,83.0,E,Ariane 5 - VA209,2012-09-28
G-Sat 24,asia,83.0,E,Ariane 5 - VA257,2022-06-22
G-Sat 30,asia,83.0,E,Ariane 5 - VA251,2020-01-16
Express 80,asia,80.0,E,Proton,2020-07-30
Thaicom 6,asia,78.5,E,Falcon 9,2014-01-06
Thaicom 8,asia,78.5,E,Falcon 9,2016-05-27
Apstar 7,asia,76.5,E,Long March 3B,2012-03-31
ABS 2,asia,75.0,E,Ariane 5 - VA217,2014-02-06
ABS 2A,asia,75.0,E,Falcon 9,2016-06-15
G-Sat 18,asia,74.0,E,Ariane 5 - VA231,2016-10-05
Intelsat 22,europe,72.1,E,Proton,2012-03-25
Eutelsat 70B,europe,70.5,E,Zenit 3/Sea Launch,2012-12-03
Intelsat 20,europe,68.5,E,Ariane 5 - VA208,2012-08-02
Intelsat 36,europe,68.5,E,Ariane 5 - VA232,2016-08-24
Intelsat 17,europe,66.0,E,Ariane 5 - V198,2010-11-26
Amos 4,europe,65.0,E,Zenit 3/Baikonur,2013-08-31
Intelsat 39,europe,62.0,E,Ariane 5 - VA249,2019-08-06
Intelsat 33e,europe,60.0,E,Ariane 5 - VA232,2016-08-24
KazSat 3,europe,58.5,E,Proton,2014-04-28
NSS 12,europe,57.0,E,Ariane 5 - V192,2009-10-26
Express AT1,europe,56.0,E,Proton,2014-03-15
G-Sat 8,europe,54.9,E,Ariane 5 - VA202,2011-05-20
Yamal 402,europe,54.9,E,Proton,2012-12-08
Express AM6 (Eutelsat 53A),europe,53.0,E,,1900-01-01
Al Yah 1,europe,52.5,E,Ariane 5 - VA201,2011-04-22
TurkmenÄlem/MonacoSat,europe,52.0,E,Falcon 9,2015-04-27
Belintersat 1 (ChinaSat 15),europe,51.5,E,,1900-01-01
Türksat 4B,europe,50.0,E,Proton/Baikonur,2015-10-16
Yamal 601,europe,49.0,E,Proton,2019-05-30
Azerspace 1,europe,46.0,E,Ariane 5 - VA212,2013-02-07
Azerspace 2/Intelsat 38,europe,45.0,E,Ariane 5 - VA243,2018-09-25
Cosmos 2520,europe,45.0,E,Proton,2017-08-16
NigComSat 1R,europe,42.5,E,Long March 3B,2011-12-19
Türksat 3A,europe,42.0,E,Ariane 5,2008-06-12
Türksat 4A,europe,42.0,E,Proton,2014-02-14
Türksat 5B,europe,42.0,E,Falcon 9,2021-12-19
Express AM7,europe,40.0,E,Proton,2015-03-18
Hellas Sat 3,europe,39.0,E,Ariane 5 - VA238,2017-06-28
Hellas Sat 4,europe,39.0,E,Ariane 5 - VA247,2019-02-05
Paksat 1R,europe,38.0,E,Long March 3B,2011-08-11
Express AMU1 (Eutelsat 36C),europe,36.0,E,,1900-01-01
Eutelsat 36B,europe,36.0,E,Proton,2009-11-24
Eutelsat 33F,europe,33.0,E,Proton,2006-08-04
Intelsat 28,europe,33.0,E,Ariane 5 - VA201,2011-04-22
Türksat 5A,europe,31.0,E,Falcon 9,2021-01-08
Arabsat 5A,europe,30.5,E,Ariane 5 - V195,2010-06-26
Arabsat 6A,europe,30.5,E,Falcon 9,2019-04-11
Astra 2E (Eutelsat 28E),europe,28.3,E,,1900-01-01
Astra 2F (Eutelsat 28F),europe,28.3,E,,1900-01-01
Astra 2G (Eutelsat 28G),europe,28.3,E,,1900-01-01
Badr 6 (incl. 0.7°),europe,26.0,E,Araine 5,2008-07-07
Badr 4,europe,26.0,E,Proton,2006-11-08
Badr 5,europe,26.0,E,Proton,2010-06-03
Badr 7,europe,26.0,E,Ariane 5 - VA227,2015-11-10
Badr 8,europe,26.0,E,Falcon 9,2023-05-27
Es'hail 2,europe,26.0,E,Falcon 9,2018-11-15
Es'hail 1,europe,25.5,E,Ariane 5 - VA215,2013-08-29
Astra 3B,europe,23.5,E,Ariane 5 - V194,2010-05-21
Astra 3C,europe,23.5,E,Ariane 5 - VA216,2014-03-22
Angosat 2,europe,23.0,E,Proton,2022-10-12
Eutelsat 21B,europe,21.5,E,Ariane 5 - VA210,2012-11-10
Arabsat 5C,europe,20.0,E,Ariane 5 - VA204,2011-09-21
Astra 1KR,europe,19.2,E,Atlas 5,2006-04-20
Astra 1L,europe,19.2,E,Ariane 5 - V176,2007-05-04
Astra 1M,europe,19.2,E,Proton,2008-11-05
Astra 1N,europe,19.2,E,Ariane 5 - VA203,2011-08-06
Amos 17,europe,17.0,E,Falcon 9,2019-08-06
Eutelsat 16A,europe,16.0,E,Long March 3B,2011-10-07
Hotbird 13F,europe,13.0,E,Falcon 9,2022-10-15
Hotbird 13G,europe,13.0,E,Falcon 9,2022-11-03
Eutelsat 10B,europe,10.0,E,Falcon 9,2022-11-23
Eutelsat Ka-Sat 9A,europe,9.0,E,Proton,2010-12-26
Eutelsat 9B,europe,9.0,E,Proton,2016-01-29
Eutelsat 7B,europe,7.0,E,Proton,2013-05-14
Eutelsat 7C,europe,7.0,E,Ariane 5 - VA248,2019-06-20
SES 5,europe,4.9,E,Proton,2012-07-09
Astra 4A,europe,4.9,E,Proton,2007-11-17
Eutelsat 3B,europe,3.0,E,Zenit/Sea Launch,2014-05-26
Rascom QAF 1R,europe,3.0,E,Ariane 5 - V196,2010-08-04
BulgariaSat 1,europe,1.9,E,Falcon 9,2017-06-23
Thor 7,atlantic,0.8,W,Ariane 5 - VA222,2015-04-26
Thor 5,atlantic,0.8,W,Proton,2008-02-11
Thor 6,atlantic,0.8,W,Ariane 5 - V192,2009-10-26
Intelsat 10-02 (Thor 10-02),atlantic,0.8,W,,1900-01-01
ABS 3A,atlantic,3.0,W,Falcon 9,2015-03-02
Amos 7,atlantic,4.0,W,Falcon 9,2014-08-05
Amos 3,atlantic,4.0,W,Zenit 3/Baikonur,2008-04-28
Eutelsat 5 West B,atlantic,5.0,W,Proton,2019-10-09
Nilesat 201,atlantic,7.0,W,Ariane 5 - V196,2010-08-04
Nilesat 301,atlantic,7.0,W,Falcon 9,2022-06-08
Eutelsat 7 West A,atlantic,7.0,W,Zenit 3/Sea Launch,2011-09-24
Eutelsat 8 West B,atlantic,8.0,W,Ariane 5 - VA225,2015-08-20
Express AM44 (incl. 1.3°),atlantic,11.0,W,Proton,2009-02-11
Express AM8,atlantic,14.0,W,Proton/Baikonur,2015-09-14
Telstar 12 Vantage,atlantic,15.0,W,H2A,2015-11-24
Intelsat 37e,atlantic,18.0,W,Ariane 5 - VA239,2017-09-29
SES 4,atlantic,22.0,W,Proton,2012-02-14
Alcomsat 1,atlantic,24.8,W,Long March 3B,2017-12-10
Intelsat 901,atlantic,27.5,W,Ariane 4 - V141,2001-06-09
Hispasat 30W-5,atlantic,30.0,W,Ariane 5 - V199,2010-12-29
Hispasat 30W-6,atlantic,30.0,W,Falcon 9,2018-03-06
Intelsat 35e,atlantic,34.5,W,Falcon 9,2017-07-05
NSS 10 (incl. 4.4°),atlantic,37.5,W,Proton,2005-02-03
Telstar 11N,atlantic,37.5,W,Zenit 3,2009-02-26
SES 6,atlantic,40.5,W,Proton,2013-06-03
Sky Brasil 1,atlantic,43.1,W,Ariane 5 - VA235,2017-02-14
Intelsat 14,atlantic,45.0,W,Atlas 5,2009-11-23
SES 14,atlantic,47.5,W,Ariane 5 - VA241,2018-01-25
Intelsat 23,atlantic,53.0,W,Proton,2012-10-14
Intelsat 34,atlantic,55.5,W,Ariane 5 - VA225,2015-08-20
Intelsat 21,atlantic,58.0,W,Zenit 3/Sea Launch,2012-08-19
Amazonas 2,atlantic,61.0,W,Ariane 5 - V191,2009-10-01
Amazonas 3,atlantic,61.0,W,Ariane 5 - VA212,2013-02-07
Amazonas 5,atlantic,61.0,W,Proton,2017-09-11
Amazonas Nexus,atlantic,61.0,W,Falcon 9,2023-02-07
EchoStar 16,america,61.5,W,,1900-01-01
Telstar 14R,america,63.0,W,,1900-01-01
Star One C2,america,65.1,W,,1900-01-01
Eutelsat 65 West A,america,65.1,W,,1900-01-01
SES 10,america,67.0,W,,1900-01-01
Star One C4,america,70.0,W,,1900-01-01
Star One D2,america,70.0,W,,1900-01-01
Arsat 1,america,71.8,W,,1900-01-01
Nimiq 5,america,72.7,W,,1900-01-01
Hispasat 74W-1,america,73.9,W,,1900-01-01
Star One C3,america,75.0,W,,1900-01-01
QuetzSat 1,america,77.0,W,,1900-01-01
Sky Mexico 1,america,78.8,W,,1900-01-01
Arsat 2,america,81.0,W,,1900-01-01
Nimiq 4,america,82.0,W,,1900-01-01
Star One D1,america,84.0,W,,1900-01-01
Sirius XM 8,america,84.0,W,,1900-01-01
Galaxy 17 (incl. 0.9°),america,85.0,W,,1900-01-01
XM 3,america,85.1,W,,1900-01-01
SES 2,america,87.1,W,,1900-01-01
TKSat 1,america,87.1,W,,1900-01-01
ViaSat 3 Americas,america,88.9,W,,1900-01-01
Galaxy 28 (incl. 1.2°),america,89.0,W,,1900-01-01
Galaxy 36,america,89.0,W,,1900-01-01
Intelsat 40e,america,91.0,W,,1900-01-01
Galaxy 32,america,91.0,W,,1900-01-01
Nimiq 6,america,91.0,W,,1900-01-01
Galaxy 35,america,93.1,W,,1900-01-01
Galaxy 3C (incl. 1.6°),america,95.0,W,,1900-01-01
Intelsat 31,america,95.0,W,,1900-01-01
Intelsat 30,america,95.0,W,,1900-01-01
Jupiter 3/EchoStar 24,america,95.2,W,,1900-01-01
Eutelsat 33E (incl. 0.6°),america,95.4,W,,1900-01-01
Galaxy 19,america,97.0,W,,1900-01-01
Galaxy 16,america,99.2,W,,1900-01-01
T11/T14,america,99.2,W,,1900-01-01
T16,america,101.0,W,Ariane 5 - VA248,2019-06-20
SES 1,america,101.0,W,Proton,2010-04-24
T9S (incl. 0.3°),america,101.0,W,Ariane 5,2006-10-13
T10/T12,america,103.0,W,,1900-01-01
SES 3,america,103.0,W,Proton,2011-07-15
SES 18,america,103.0,W,Falcon 9,2023-03-17
SES 20,america,103.5,W,Atlas,2022-10-04
AMC 15,america,105.0,W,Proton,2004-10-14
EchoStar 105/SES 11,america,105.0,W,Falcon 9,2017-10-11
Anik F1R (incl. 2.2°),america,107.3,W,Proton,2005-09-08
Anik G1,america,107.3,W,Proton,2013-04-15
EchoStar 23,america,109.9,W,Falcon 9,2017-03-16
T5 (incl. 2.8°),america,110.0,W,Proton,2002-05-07
EchoStar 10,america,110.0,W,Zenit,2006-02-15
EchoStar 11,america,110.0,W,Zenit 3/Sea Launch,2008-07-16
Anik F2 (incl. 1.2°),america,111.1,W,Ariane 5 - V163,2004-07-18
Anik F4,america,111.1,W,Atlas 2AS,2004-05-19
Eutelsat 113 West A (incl. 0.2°),america,112.5,W,Ariane 5,1900-01-01
Eutelsat 115 West B,america,114.9,W,Falcon 9,2015-03-02
Sirius XM 5,america,115.2,W,Proton,2010-10-14
Eutelsat 117 West A,america,117.0,W,Proton,2013-03-26
Eutelsat 117 West B,america,117.0,W,Falcon 9,2016-06-15
Anik F3,america,119.0,W,Proton,2007-04-09
T8,america,119.0,W,Proton,2005-05-22
