Provider/Channel,Sattelite_Name,freq_alt,Languages
CGTN Arabic,Eutelsat-172B,3888 H,Ara
NBC National Radio,Eutelsat-172B,3888 H,Eng
Tribe 92 FM,Eutelsat-172B,3888 H,Eng
Lalokau FM,Eutelsat-172B,3888 H,Eng
Hope Channel Australia,Eutelsat-172B,3916 H,Eng
LifeTalk Radio,Eutelsat-172B,3916 H,Eng
Hope FM 88.1,Eutelsat-172B,3916 H,Eng
Hope FM 107.5,Eutelsat-172B,3916 H,Eng
Radio Nuevo Tiempo (Brazil),Eutelsat-172B,3916 H,Por
FBC TV,Eutelsat-172B,3947 H,
FBC Sports,Eutelsat-172B,3947 H,
FBC 2,Eutelsat-172B,3947 H,
Parliament of Fiji,Eutelsat-172B,3947 H,Eng
Parliament of Fiji,Eutelsat-172B,3947 H,Eng
Fiji One,Eutelsat-172B,3947 H,Eng
Channel 2 (Fiji),Eutelsat-172B,3947 H,Eng
Channel 2 (Fiji),Eutelsat-172B,3947 H,Eng
Mai TV,Eutelsat-172B,3947 H,Eng
Hope Channel Fiji,Eutelsat-172B,3947 H,Eng
Hope Channel Fiji,Eutelsat-172B,3947 H,Eng
Education Channel,Eutelsat-172B,3947 H,Eng
Radio Fiji Two,Eutelsat-172B,3947 H,
Bula FM,Eutelsat-172B,3947 H,
Gold FM,Eutelsat-172B,3947 H,Eng
Mirchi FM,Eutelsat-172B,3947 H,Hin
2day FM,Eutelsat-172B,3947 H,Eng
Radio Fiji One,Eutelsat-172B,3947 H,
NBC TV,Eutelsat-172B,4196 H,Eng
K-Love,Eutelsat-172B,4198 H,Eng
Air 1 Radio,Eutelsat-172B,4198 H,Eng
ABC News (Australia),Eutelsat-172B,11044 V,Eng
ABC News (Australia),Eutelsat-172B,11044 V,Eng
ABC News (Australia),Eutelsat-172B,11044 V,Eng
ABC TV NT,Eutelsat-172B,11044 V,Eng
ABC TV NT,Eutelsat-172B,11044 V,Eng
ABC Kids NT (05.00-19.30),Eutelsat-172B,11044 V,Eng
ABC TV Plus NT (19.30-05.00),Eutelsat-172B,11044 V,Eng
ABC Me NT,Eutelsat-172B,11044 V,Eng
ABC Double J,Eutelsat-172B,11044 V,Eng
ABC Double J,Eutelsat-172B,11044 V,Eng
ABC Double J,Eutelsat-172B,11044 V,Eng
ABC Jazz,Eutelsat-172B,11044 V,Eng
ABC Jazz,Eutelsat-172B,11044 V,Eng
ABC Jazz,Eutelsat-172B,11044 V,Eng
ABC Kids listen,Eutelsat-172B,11044 V,Eng
ABC Kids listen,Eutelsat-172B,11044 V,Eng
ABC Kids listen,Eutelsat-172B,11044 V,Eng
ABC Triple J,Eutelsat-172B,11044 V,Eng
ABC Triple J,Eutelsat-172B,11044 V,Eng
ABC Triple J,Eutelsat-172B,11044 V,Eng
ABC Triple J Unearthed,Eutelsat-172B,11044 V,Eng
ABC Triple J Unearthed,Eutelsat-172B,11044 V,Eng
ABC Triple J Unearthed,Eutelsat-172B,11044 V,Eng
ABC Classic,Eutelsat-172B,11044 V,Eng
ABC Classic,Eutelsat-172B,11044 V,Eng
ABC Classic,Eutelsat-172B,11044 V,Eng
ABC Country,Eutelsat-172B,11044 V,Eng
ABC Country,Eutelsat-172B,11044 V,Eng
ABC Country,Eutelsat-172B,11044 V,Eng
ABC Radio Darwin,Eutelsat-172B,11044 V,Eng
ABC Radio National NSW,Eutelsat-172B,11044 V,Eng
ABC Radio National NSW,Eutelsat-172B,11044 V,Eng
ABC Radio National NSW,Eutelsat-172B,11044 V,Eng
ABC NewsRadio,Eutelsat-172B,11044 V,Eng
ABC NewsRadio,Eutelsat-172B,11044 V,Eng
ABC NewsRadio,Eutelsat-172B,11044 V,Eng
ABC TV WA,Eutelsat-172B,11044 V,Eng
ABC TV WA,Eutelsat-172B,11044 V,Eng
ABC Kids WA (05.00-19.30),Eutelsat-172B,11044 V,Eng
ABC TV Plus WA (19.30-05.00),Eutelsat-172B,11044 V,Eng
ABC Me WA,Eutelsat-172B,11044 V,Eng
ABC Radio Perth,Eutelsat-172B,11044 V,Eng
ABC TV Queensland,Eutelsat-172B,11044 V,Eng
ABC TV Queensland,Eutelsat-172B,11044 V,Eng
ABC Kids Queensland (05.00-19.30),Eutelsat-172B,11044 V,Eng
ABC TV Plus Queensland (19.30-05.00),Eutelsat-172B,11044 V,Eng
ABC Me Queensland,Eutelsat-172B,11044 V,Eng
ABC Radio Brisbane,Eutelsat-172B,11044 V,Eng
SBS Viceland WA,Eutelsat-172B,11044 V,
SBS Food WA,Eutelsat-172B,11044 V,Eng
NITV,Eutelsat-172B,11044 V,Eng
SBS WorldWatch,Eutelsat-172B,11044 V,
SBS WorldWatch,Eutelsat-172B,11044 V,
SBS Radio 1 WA,Eutelsat-172B,11044 V,
SBS Radio 2 WA,Eutelsat-172B,11044 V,
SBS Radio 3,Eutelsat-172B,11044 V,
SBS Viceland Queensland,Eutelsat-172B,11044 V,
SBS Food Queensland,Eutelsat-172B,11044 V,Eng
SBS Radio 1 Queensland,Eutelsat-172B,11044 V,
SBS Radio 2 Queensland,Eutelsat-172B,11044 V,
IBC 13,Eutelsat-172B,12720 H,Tgl
Rai Italia Australia,Horizons-3e,11003 H,Ita
Mediaset Italia,Horizons-3e,11003 H,Ita
Alpha Sat,Horizons-3e,11003 H,Gre
ERT World,Horizons-3e,11003 H,Gre
Ant1 Pacific,Horizons-3e,11003 H,Gre
Greek Cinema,Horizons-3e,11003 H,Gre
SportPlus (Greece),Horizons-3e,11003 H,Gre
Al Jadeed,Horizons-3e,11003 H,Ara
LBC International,Horizons-3e,11003 H,Ara
NourSat,Horizons-3e,11003 H,Ara
MBC Maser,Horizons-3e,11003 H,Ara
MTV (Lebanon),Horizons-3e,11003 H,Ara
Aljazeera Channel,Horizons-3e,11003 H,Ara
(ABS-CBN feeds),Intelsat-19,3723 H,
(ABS-CBN feeds),Intelsat-19,3729 H,
(ABS-CBN feeds),Intelsat-19,3733 H,
(ABS-CBN feeds),Intelsat-19,3737 H,
(EM TV feeds),Intelsat-19,3810 V,
Animal Planet Taiwan,Intelsat-19,3840 V,Chi
Animal Planet Taiwan,Intelsat-19,3840 V,Eng
TLC Taiwan,Intelsat-19,3840 V,Eng
Discovery Channel Taiwan,Intelsat-19,3840 V,Chi
Discovery Channel Taiwan,Intelsat-19,3840 V,Eng
TLC New Zealand,Intelsat-19,3840 V,Eng
Discovery Channel Philippines,Intelsat-19,3840 V,Eng
TLC Philippines,Intelsat-19,3840 V,Eng
EM TV (Papua New Guinea),Intelsat-19,3882 V,
Nickelodeon South East Asia,Intelsat-19,3931 H,Eng
Nickelodeon South East Asia,Intelsat-19,3931 H,May
Nickelodeon South East Asia,Intelsat-19,3931 H,Chi
Nickelodeon South East Asia,Intelsat-19,3931 H,Tha
MTV 90s,Intelsat-19,3931 H,Eng
MTV Live Australia,Intelsat-19,3931 H,Eng
Nick Jr Asia,Intelsat-19,3931 H,Eng
Nick Jr Asia,Intelsat-19,3931 H,Tha
Nick Jr Asia,Intelsat-19,3931 H,May
Nick Jr Asia,Intelsat-19,3931 H,Chi
Nick Jr Asia,Intelsat-19,3931 H,Ind
Kapamilya Channel,Intelsat-19,3949 H,Tgl
Kapamilya Channel,Intelsat-19,3949 H,Tgl
Kapamilya Channel,Intelsat-19,4180 H,Tgl
Kapamilya Channel,Intelsat-19,4180 H,Tgl
Jeepney TV,Intelsat-19,3949 H,Tgl
Jeepney TV,Intelsat-19,4180 H,Tgl
ANC,Intelsat-19,3949 H,Eng
ANC,Intelsat-19,4180 H,Eng
Metro Channel,Intelsat-19,3949 H,Eng
Metro Channel,Intelsat-19,4180 H,Eng
Cinema 1 Philippines,Intelsat-19,3949 H,Tgl
Cinema 1 Philippines,Intelsat-19,4180 H,Tgl
Myx Philippines,Intelsat-19,3949 H,Eng
