Provider/Channel,Sattelite_Name,freq_alt,Languages
Radio Eghtesad,Intelsat-39,11555 V,Per
Radio Goftogoo,Intelsat-39,11555 V,Per
Radio Namayesh,Intelsat-39,11555 V,Per
Radio Tehran,Intelsat-39,11555 V,Per
Radio Saba,Intelsat-39,11555 V,Per
Radio Monasebati,Intelsat-39,11555 V,Per
Radio Telavat,Intelsat-39,11555 V,Per
Radio Tartil,Intelsat-39,11555 V,Per
IRIB World Service Radio 7,Intelsat-39,11555 V,Eng
IRIB World Service Radio 3,Intelsat-39,11555 V,Ara
Radio Broonmarzi Dari,Intelsat-39,11555 V,Per
Radio Ziarat,Intelsat-39,11555 V,Per
Nigerian mux,Intelsat-33e,3751 R,
Lagos TV,Intelsat-33e,3751 R,Eng
MITV,Intelsat-33e,3751 R,Eng
Silverbird TV,Intelsat-33e,3751 R,Eng
TVC News,Intelsat-33e,3751 R,Eng
TVC,Intelsat-33e,3751 R,Eng
Sunna TV (Nigeria),Intelsat-33e,3751 R,Eng
Wazobia TV,Intelsat-33e,3751 R,Eng
Trybe TV,Intelsat-33e,3751 R,Eng
Spice,Intelsat-33e,3751 R,Eng
Televista,Intelsat-33e,3751 R,Eng
OnMax,Intelsat-33e,3751 R,Eng
Soundcity TV,Intelsat-33e,3751 R,Eng
Wazobia Max TV Lagos,Intelsat-33e,3751 R,Eng
Arewa 24,Intelsat-33e,3751 R,Hau
Lumen Christi Catholic TV,Intelsat-33e,3751 R,Eng
Rhythm,Intelsat-33e,3751 R,Eng
Ray Power FM,Intelsat-33e,3751 R,Eng
Naija FM Lagos,Intelsat-33e,3751 R,Eng
Wazobia FM Lagos,Intelsat-33e,3751 R,Eng
Star FM 101.5,Intelsat-33e,3751 R,Eng
Uganda mux,Intelsat-33e,3764 R,
Uganda mux,Intelsat-33e,3778 R,
NTV Uganda,Intelsat-33e,3764 R,Eng
Spark TV,Intelsat-33e,3764 R,Eng
Eswatini TV,Intelsat-33e,3767 R,Eng
ZNBC TV 2,Intelsat-33e,3771 R,Eng
ZNBC TV 1,Intelsat-33e,3771 R,Eng
Bukedde 1,Intelsat-33e,3778 R,
Channel 44,Intelsat-33e,3778 R,Eng
NBS TV,Intelsat-33e,3778 R,Swa
Urban TV (Uganda),Intelsat-33e,3778 R,Eng
TV West (Uganda),Intelsat-33e,3778 R,Eng
BBS TV,Intelsat-33e,3778 R,Swa
Bukedde 2,Intelsat-33e,3778 R,
UBC TV,Intelsat-33e,3778 R,
Kenyan mux,Intelsat-33e,3785 R,
NTV (Kenya),Intelsat-33e,3785 R,Eng
NTV (Kenya),Intelsat-33e,3785 R,Eng
KTN Home,Intelsat-33e,3785 R,Eng
K24,Intelsat-33e,3785 R,Eng
KTN News (Kenya),Intelsat-33e,3785 R,Eng
Kass TV,Intelsat-33e,3785 R,Eng
Akili Kids!,Intelsat-33e,3785 R,Eng
Capital FM (Kenya),Intelsat-33e,3785 R,Eng
Nation FM (Kenya),Intelsat-33e,3785 R,Eng
Classic FM (Kenya),Intelsat-33e,3785 R,Eng
Radio Maisha,Intelsat-33e,3785 R,
Telekanal 78,Intelsat-33e,11504 V,Rus
Nika TV,Intelsat-33e,11522 V,Rus
Nika FM,Intelsat-33e,11522 V,Rus
Otau TV promo,KazSat-3,10762 H,Kaz
Alma TV Info,KazSat-3,12594 V,Kaz
Sky Sports Main Event UK,NSS-12,3775 L,Eng
Sky Sports Main Event UK,NSS-12,3798 R,Eng
TNT Sports 1,NSS-12,3775 L,Eng
TNT Sports 1,NSS-12,3798 R,Eng
BFBS Sport,NSS-12,3775 L,Eng
BFBS Sport,NSS-12,3798 R,Eng
Sky News UK,NSS-12,3775 L,Eng
Sky News UK,NSS-12,3798 R,Eng
BBC One Delay,NSS-12,3775 L,Eng
BBC Two Delay,NSS-12,3775 L,Eng
ITV 1 Delay,NSS-12,3775 L,Eng
BFBS Extra Delay,NSS-12,3775 L,Eng
Sky Cinema Delay,NSS-12,3775 L,Eng
Sky Cinema Delay,NSS-12,3798 R,Eng
NTV National,NSS-12,3775 L,Nep
NTV National,NSS-12,3798 R,Nep
BFBS Ops,NSS-12,3775 L,Eng
BFBS Ops,NSS-12,3775 L,Eng
BFBS Ops,NSS-12,3798 R,Eng
BFBS Radio 2,NSS-12,3775 L,Eng
BFBS Radio 2,NSS-12,3798 R,Eng
BFBS Best of British,NSS-12,3775 L,Eng
BFBS Best of British,NSS-12,3798 R,Eng
BFBS UK National,NSS-12,3775 L,Eng
BFBS UK National,NSS-12,3798 R,Eng
BFBS Germany,NSS-12,3775 L,Eng
BFBS Beats,NSS-12,3775 L,Eng
BFBS Beats,NSS-12,3798 R,Eng
BFBS Gurkha Network,NSS-12,3775 L,
BFBS Gurkha Network,NSS-12,3775 L,
BFBS Gurkha Network,NSS-12,3798 R,
BFBS Edge,NSS-12,3775 L,Eng
BFBS Edge,NSS-12,3798 R,Eng
BFBS Rewind,NSS-12,3775 L,Eng
BFBS Rewind,NSS-12,3798 R,Eng
BFBS Shamishran,NSS-12,3775 L,
BFBS Shamishran,NSS-12,3798 R,
BBC One,NSS-12,3798 R,Eng
CBBC (07-18),NSS-12,3798 R,Eng
BBC Two (18-07),NSS-12,3798 R,Eng
ITV 1 London,NSS-12,3798 R,Eng
BFBS Extra,NSS-12,3798 R,Eng
Channel 4 London,NSS-12,3798 R,Eng
Channel 5 (UK),NSS-12,3798 R,Eng
BFBS UK Bases,NSS-12,3798 R,Eng
BFBS Falklands,NSS-12,3798 R,Eng
Benishangul Gumuz Media,NSS-12,3813 R,
Benishangul Gumuz Media,NSS-12,11105 H,
NBC Ethiopia,NSS-12,3816 R,Amh
NBC Ethiopia,NSS-12,11105 H,Amh
Harari TV,NSS-12,3833 L,Amh
Harari TV,NSS-12,11605 H,Amh
Dire TV,NSS-12,3840 L,Amh
Walta TV,NSS-12,3855 L,Amh
Walta TV,NSS-12,11105 H,Amh
Walta TV,NSS-12,11545 H,Amh
Addis Media Network,NSS-12,3855 R,Amh
Addis Media Network,NSS-12,11105 H,Amh
Addis Media Network,NSS-12,11165 H,Amh
Addis FM 96.3,NSS-12,3855 R,Amh
Addis FM 96.3,NSS-12,11105 H,Amh
Addis FM 96.3,NSS-12,11165 H,Amh
(Addis Media Network feeds),NSS-12,3861 R,
OBN Horn of Africa,NSS-12,3916 R,Orm
OBN Horn of Africa,NSS-12,11165 H,
Amhara TV,NSS-12,3932 L,Amh
Amhara TV,NSS-12,11165 H,Amh
Amhara TV,NSS-12,11545 H,Amh
Amhara TV,NSS-12,11605 H,Amh
FM Bahir Dar 96.9,NSS-12,3932 L,
FM Bahir Dar 96.9,NSS-12,3941 L,
FM Bahir Dar 96.9,NSS-12,11165 H,Amh
Fana TV,NSS-12,3941 L,Amh
Fana TV,NSS-12,11105 H,Amh
Fana TV,NSS-12,11545 H,Amh
Alhurra TV Iraq,NSS-12,4060 L,Ara
VoA Djibouti MW,NSS-12,4060 L,
Radio Sawa Iraq,NSS-12,4060 L,Ara
VoA Iraq,NSS-12,4060 L,
Radio Sawa Levant,NSS-12,4060 L,Ara
VoA French to Africa,NSS-12,4060 L,Fre
VoA Djibouti FM,NSS-12,4060 L,
VoA Ethiopia,NSS-12,4060 L,
VoA Ethiopia,NSS-12,11605 H,
Radio Sawa Sudan,NSS-12,4060 L,Ara
VoA Libya,NSS-12,4060 L,
VoA Somali,NSS-12,4069 L,Som
VoA Somali,NSS-12,11605 H,Som
VoA Madagascar,NSS-12,4069 L,
VoA Kenya,NSS-12,4069 L,
VoA Kenya,NSS-12,11605 H,
VoA Congo DRC,NSS-12,4069 L,
VoA Southern Africa,NSS-12,4069 L,
VoA TV Africa,NSS-12,4071 L,Eng
VoA TV Africa,NSS-12,11105 H,Eng
VoA TV Africa,NSS-12,11605 H,Eng
AFN Prime Atlantic,NSS-12,4095 L,Eng
AFN News,NSS-12,4095 L,Eng
AFN Sports,NSS-12,4095 L,Eng
AFN Sports 2,NSS-12,4095 L,Eng
AFN The Eagle Atlantic,NSS-12,4095 L,Eng
AFN The Voice,NSS-12,4095 L,Eng
AFN Music Service 1,NSS-12,4095 L,Eng
AFN Music Service 2,NSS-12,4095 L,Eng
MTN Special Events,NSS-12,4095 R,Eng
MTN Special Events,NSS-12,4095 R,Eng
MSNBC International,NSS-12,4095 R,Eng
Fox News Channel,NSS-12,4095 R,Eng
CNBC US,NSS-12,4095 R,Eng
Sky News International,NSS-12,4095 R,Eng
BBC News,NSS-12,4095 R,Eng
Prime Journey,NSS-12,4095 R,Eng
Sky Sports News UK,NSS-12,4095 R,Eng
Sport 24,NSS-12,4095 R,Eng
Prime One,NSS-12,4095 R,Eng
Sport 24 Extra,NSS-12,4095 R,
RTL Deutschland,NSS-12,4095 R,Ger
Sky News Australia,NSS-12,4095 R,Eng
TFC Middle East,NSS-12,4095 R,
Prime Favorites,NSS-12,4095 R,
BBC HD,NSS-12,4095 R,Eng
TVE Internacional Europa,NSS-12,4095 R,Spa
Canal 24 Horas,NSS-12,4095 R,Spa
Australian Comedy & Drama Channel,NSS-12,4095 R,Eng
ABC News (Australia),NSS-12,4095 R,Eng
Food Network East,NSS-12,4095 R,Eng
HGTV East,NSS-12,4095 R,Eng
Travel Channel East,NSS-12,4095 R,Eng
France 24 Français,NSS-12,4095 R,Fre
Mediaset Italia,NSS-12,4095 R,Ita
Hunan TV,NSS-12,4095 R,Chi
CCTV 6,NSS-12,4095 R,Chi
CCTV Entertainment,NSS-12,4095 R,Chi
CCTV 4 America,NSS-12,4095 R,Chi
National Geographic UK,NSS-12,4095 R,Eng
VoA TV Asia,NSS-12,4159 L,
BBC News Africa,NSS-12,10985 H,Eng
CNN International Europe,NSS-12,10985 H,Eng
Aljazeera English,NSS-12,10985 H,Eng
Dubai One,NSS-12,10985 H,Eng
Sky Sports Football UK,NSS-12,11046 H,Eng
Yayi TV Sport 2,NSS-12,11046 H,Eng
EBS (USA),NSS-12,11105 H,Amh
EBS (USA),NSS-12,11545 H,Amh
EBS Cinema,NSS-12,11105 H,Amh
EBS Musika,NSS-12,11105 H,Amh
ETV Entertainment,NSS-12,11105 H,Amh
Black Max,NSS-12,11105 H,
Ya TV,NSS-12,11105 H,Amh
Brhan TV,NSS-12,11105 H,Amh
Gohe TV promo,NSS-12,11105 H,
Balageru TV,NSS-12,11105 H,Amh
France 24 English,NSS-12,11105 H,Eng
ETV Yelijochalem,NSS-12,11105 H,Amh
Heywet TV,NSS-12,11105 H,Amh
TV 9 Ethio,NSS-12,11105 H,Amh
TV5Monde Afrique,NSS-12,11105 H,Fre
Tivi5Monde,NSS-12,11105 H,Fre
Ethiopia Orthodox TV,NSS-12,11105 H,Amh
Ethiopia Orthodox TV,NSS-12,11165 H,Amh
Evangelical TV,NSS-12,11105 H,Amh
Hadiya TV,NSS-12,11105 H,Amh
Asham TV,NSS-12,11105 H,Amh
Presence TV Channel,NSS-12,11105 H,Amh
Hagerie TV,NSS-12,11105 H,Amh
Fana FM,NSS-12,11105 H,Amh
Fana FM,NSS-12,11105 H,Amh
ETV News,NSS-12,11165 H,Amh
ETV News,NSS-12,11545 H,Amh
OBN (Ethiopia),NSS-12,11165 H,Orm
OBN (Ethiopia),NSS-12,11545 H,Orm
Debub TV,NSS-12,11165 H,Amh
Debub TV,NSS-12,11545 H,Amh
Oromia Broadcasting Service,NSS-12,11165 H,Orm
ARTS TV,NSS-12,11165 H,Amh
ARTS TV,NSS-12,11545 H,Amh
Afar TV,NSS-12,11165 H,
ESat,NSS-12,11165 H,Amh
Abbay Media TV,NSS-12,11165 H,Amh
Wolaita TV,NSS-12,11165 H,Amh
Hope Channel Ethiopia,NSS-12,11165 H,Amh
Catholic TV Ethiopia,NSS-12,11165 H,Amh
Prime Media,NSS-12,11165 H,
GMM TV (Ethiopia),NSS-12,11165 H,Amh
Sidaama Media Network,NSS-12,11165 H,
Kaffa TV,NSS-12,11165 H,
Radio Ethiopia National Radio,NSS-12,11165 H,Amh
Oromiyaa Radio,NSS-12,11165 H,Orm
Debub FM,NSS-12,11165 H,
(Almada TV feeds),NSS-12,11181 V,
Kana TV,NSS-12,11545 H,Amh
Harima TV,NSS-12,11545 H,Amh
As-Sunnah TV,NSS-12,11545 H,Amh
Minber TV,NSS-12,11545 H,Amh
Glory of God TV,NSS-12,11545 H,Amh
OBN Gaammee,NSS-12,11545 H,Orm
A Plus TV,NSS-12,11545 H,
Bisrat TV,NSS-12,11545 H,Amh
KTV,NSS-12,11545 H,
Oromia Clergy Network,NSS-12,11545 H,Orm
Oromia Clergy Network,NSS-12,11605 H,Orm
Mo'aa TV,NSS-12,11545 H,Orm
Tojikiston,NSS-12,11585 H,Tgk
TV Safina,NSS-12,11585 H,Tgk
TV Bahoriston,NSS-12,11585 H,Tgk
Jahonnamo,NSS-12,11585 H,Tgk
Varzish TV,NSS-12,11585 H,Tgk
TV Sinamo,NSS-12,11585 H,Tgk
Radioi Tojikiston,NSS-12,11585 H,Tgk
Ovozi Tojik,NSS-12,11585 H,Tgk
Sadoi Dushanbe,NSS-12,11585 H,Tgk
Radioi Farhang,NSS-12,11585 H,Tgk
Elshaddai TV Network,NSS-12,11605 H,Amh
Christ Army TV,NSS-12,11605 H,Amh
Bethel TV (Ethiopia),NSS-12,11605 H,Amh
Kale Awadi TV,NSS-12,11605 H,Amh
Anointing TV Channel,NSS-12,11605 H,Amh
Nesiha TV,NSS-12,11605 H,Amh
JSL TV,NSS-12,11605 H,Amh
Jesus Wonderful TV,NSS-12,11605 H,Amh
Heaven TV,NSS-12,11605 H,Amh
Shilo TV,NSS-12,11605 H,Amh
Christ Mission TV,NSS-12,11605 H,Amh
Gospel TV (Ethiopia),NSS-12,11605 H,Amh
SES promo,NSS-12,11605 H,
7 Spirits TV,NSS-12,11605 H,Amh
Winners Way TV,NSS-12,11605 H,Amh
River TV,NSS-12,11605 H,Amh
Jesus TV,NSS-12,11605 H,Amh
ERI TV 1,NSS-12,11605 H,
JPS TV,NSS-12,11605 H,Amh
Somali Region TV,NSS-12,11605 H,
Marsil TV,NSS-12,11605 H,Amh
LJ TV Channel Worldwide,NSS-12,11605 H,Amh
CGM TV,NSS-12,11605 H,
Africa TV 1 (Sudan),NSS-12,11605 H,Amh
Ye Ethiopia Lijoch TV,NSS-12,11605 H,Amh
Christ Jesus TV,NSS-12,11605 H,Eng
Holy Spirit TV Channel,NSS-12,11605 H,
Christian TV,NSS-12,11605 H,
Radio Zara FM,NSS-12,11605 H,Tir
Dimtsi Hafash,NSS-12,11605 H,
EBC FM 97.1,NSS-12,11605 H,
O'zbekiston,NSS-12,11610 H,Uzb
Yoshlar,NSS-12,11610 H,Uzb
Toshkent,NSS-12,11610 H,Uzb
Sport (Uzbekistan),NSS-12,11610 H,Uzb
Madaniyat va ma'rifat,NSS-12,11610 H,Uzb
Dunyo bo'ylab,NSS-12,11610 H,Uzb
Bolajon,NSS-12,11610 H,Uzb
Navo,NSS-12,11610 H,Uzb
Mahalla,NSS-12,11610 H,Uzb
Kinoteatr,NSS-12,11610 H,Uzb
Foreign Languages,NSS-12,11610 H,Uzb
O'zbekiston 24,NSS-12,11610 H,Uzb
Zor TV,NSS-12,11610 H,Uzb
MY 5,NSS-12,11610 H,Uzb
Sevimli TV,NSS-12,11610 H,Uzb
FTV Telekanali,NSS-12,11610 H,Uzb
Milliy TV,NSS-12,11610 H,Uzb
O'zbekiston Tarixi,NSS-12,11610 H,Uzb
Lux.TV,NSS-12,11610 H,Uzb
Mahalla FM 107.8,NSS-12,11610 H,Uzb
O'zbekiston FM 103.1,NSS-12,11610 H,Uzb
Radio O'zbekiston 24,NSS-12,11610 H,Uzb
Yoshlar FM 104,NSS-12,11610 H,Uzb
JWL,Express-AT1,12054 R,Rus
JWL,Express-AT1,12207 R,Rus
Soyuz,Express-AT1,12111 L,Rus
Vesti FM,Express-AT1,12169 R,Rus
Vesti FM,Express-AT1,12360 R,Rus
Vesti FM,Express-AT1,12399 R,Rus
Radio Mayak,Express-AT1,12169 R,Rus
Radio Mayak,Express-AT1,12360 R,Rus
Radio Mayak,Express-AT1,12399 R,Rus
Radio Rossii,Express-AT1,12169 R,Rus
Radio Rossii,Express-AT1,12360 R,Rus
Radio Rossii,Express-AT1,12399 R,Rus
Promo TV,Express-AT1,12188 L,Rus
Novoe Radio,Express-AT1,12207 R,Rus
Nashe Radio (Russia),Express-AT1,12207 R,Rus
Love Radio (Russia),Express-AT1,12207 R,Rus
Love Radio (Russia),Express-AT1,12399 R,Rus
Radio Dacha,Express-AT1,12207 R,Rus
Kalina Krasnaya,Express-AT1,12207 R,Rus
Trikolor Infokanal,Express-AT1,12226 L,Rus
Trikolor Infokanal,Express-AT1,12226 L,Rus
Krik TV,Express-AT1,12284 R,Rus
Oblastnoe TV,Express-AT1,12284 R,Rus
Taina Telekanal,Express-AT1,12284 R,Rus
Serebryany Dozhd,Express-AT1,12284 R,Rus
NRJ Russia,Express-AT1,12284 R,Rus
NRJ Russia,Express-AT1,12399 R,Rus
Avtoradio,Express-AT1,12284 R,Rus
Avtoradio,Express-AT1,12399 R,Rus
Humor FM,Express-AT1,12284 R,Rus
Humor FM,Express-AT1,12399 R,Rus
TNT 4 (+4h),Express-AT1,12399 R,Rus
Subbota! (+4h),Express-AT1,12399 R,Rus
Telekanal 2x2,Express-AT1,12399 R,Rus
Radio Romantika,Express-AT1,12399 R,Rus
Radio Vanya,Express-AT1,12399 R,Rus
DFM,Express-AT1,12399 R,Rus
Russkoe Radio,Express-AT1,12399 R,Rus
Hit FM (Russia),Express-AT1,12399 R,Rus
Maximum 103.7 FM,Express-AT1,12399 R,Rus
Business FM,Express-AT1,12399 R,Rus
Militseyskaya Volna,Express-AT1,12399 R,Rus
Comedy Radio,Express-AT1,12399 R,Rus
Radio Komsomolskaya Pravda,Express-AT1,12399 R,Rus
Relax FM,Express-AT1,12399 R,Rus
Radio Mir (0h),Express-AT1,12399 R,Rus
Detskoe Radio Moskva,Express-AT1,12399 R,Rus
Radio Sibir,Express-AT1,12399 R,Rus
T-Sat Nipuna,G-Sat-8,10968 V,Tel
T-Sat Vidya,G-Sat-8,10968 V,Tel
T-Sat Disha,G-Sat-8,10968 V,
(ISRO feeds),G-Sat-8,11686 H,
TPA 1,Yamal-402,10962 V,Por
TPA 2,Yamal-402,10962 V,Por
Gallop TV 2,Yamal-402,10984 V,Eng
Gallop TV,Yamal-402,10984 V,Eng
Biafra TV,Yamal-402,10984 V,Eng
Biafra Human Rights & Freedom Radio,Yamal-402,10984 V,Eng
Radio Biafra,Yamal-402,10984 V,Eng
RTR Planeta,Yamal-402,11056 H,Rus
Star TV (Tanzania),Yamal-402,11150 V,Swa
ITV (Tanzania),Yamal-402,11150 V,Eng
EATV 5,Yamal-402,11150 V,Eng
TBC 1,Yamal-402,11150 V,
Channel Ten,Yamal-402,11150 V,Eng
Clouds TV,Yamal-402,11150 V,Eng
Uhai TV,Yamal-402,11150 V,Swa
Tanzania Safari Channel,Yamal-402,11150 V,Eng
TBC 2,Yamal-402,11150 V,
Star Movies +,Yamal-402,11150 V,Eng
Star Tollywood,Yamal-402,11150 V,
Star Religion,Yamal-402,11150 V,
Star Kids,Yamal-402,11150 V,
KTN Home,Yamal-402,11150 V,Eng
Citizen TV,Yamal-402,11150 V,Eng
K24,Yamal-402,11150 V,Eng
Hope Channel Tanzania,Yamal-402,11150 V,Eng
VoA TV Africa,Yamal-402,11150 V,Eng
TV Imaan,Yamal-402,11150 V,
Efatha TV,Yamal-402,11150 V,Eng
Aljazeera English,Yamal-402,11150 V,Eng
CGTN,Yamal-402,11150 V,Eng
NHK World Japan,Yamal-402,11150 V,Eng
Radio Free Africa,Yamal-402,11150 V,
Kiss FM (Tanzania),Yamal-402,11150 V,
Radio Chanson (+2h),Yamal-402,11265 V,Rus
Dorognoe FM,Yamal-402,11265 V,Rus
Radio Chanson (0h),Yamal-402,11265 V,Rus
Europa Plus,Yamal-402,11265 V,Rus
Radio 7,Yamal-402,11265 V,Rus
Studio 21,Yamal-402,11265 V,Rus
Retro FM Rossiya,Yamal-402,11265 V,Rus
Kazak FM,Yamal-402,11265 V,Rus
Pervoe Radio,Yamal-402,11265 V,Rus
Radio 7 Tyumen,Yamal-402,11265 V,Rus
Radio VERA Tyumen,Yamal-402,11265 V,Rus
Tavria,Yamal-402,11265 V,Rus
Radio Priuralje,Yamal-402,11265 V,Rus
Love Radio Tyumen,Yamal-402,11265 V,Rus
BetBoom,Yamal-402,11345 V,Rus
STS (+2h),Yamal-402,11345 V,Rus
STS (0h),Yamal-402,11345 V,Rus
7 TV,Yamal-402,11345 V,Rus
Schelkovo TV,Yamal-402,11345 V,Rus
Radio Record,Yamal-402,11345 V,Rus
Z FM,Yamal-402,11345 V,Rus
TNT Music,Yamal-402,11385 H,Rus
Solntse (+2h),Yamal-402,11385 H,Rus
U (+2h),Yamal-402,11385 H,Rus
Krim 24,Yamal-402,11385 H,Rus
1 Krim,Yamal-402,11385 H,Rus
STS Love (0h),Yamal-402,11385 H,Rus
STS Love (+2h),Yamal-402,11385 H,Rus
Che! (0h),Yamal-402,11385 H,Rus
Che! (+2h),Yamal-402,11385 H,Rus
Radio More,Yamal-402,11385 H,Rus
Radio Krim,Yamal-402,11385 H,Rus
Rossiya 24,Yamal-402,12506 V,Rus
Business FM,Yamal-402,12531 H,Rus
Militseyskaya Volna,Yamal-402,12531 H,Rus
Radio Kniga,Yamal-402,12531 H,Rus
Perviy kanal (0h),Express-AM6,10713 V,Rus
Perviy kanal (0h),Express-AM6,10718 H,Rus
Perviy kanal (0h),Express-AM6,10840 V,Rus
Perviy kanal (0h),Express-AM6,10937 V,Rus
Rossiya 1 Krim,Express-AM6,10713 V,Rus
Match!,Express-AM6,10713 V,Rus
Match!,Express-AM6,10718 H,Rus
Match!,Express-AM6,10840 V,Rus
Match!,Express-AM6,10937 V,Rus
NTV (0h),Express-AM6,10713 V,Rus
NTV (0h),Express-AM6,10718 H,Rus
NTV (0h),Express-AM6,10840 V,Rus
NTV (0h),Express-AM6,10937 V,Rus
5 Kanal,Express-AM6,10713 V,Rus
Rossiya K (0h),Express-AM6,10713 V,Rus
Rossiya K (0h),Express-AM6,10718 H,Rus
Rossiya K (0h),Express-AM6,10840 V,Rus
Rossiya K (0h),Express-AM6,10937 V,Rus
Rossiya 24 Krim,Express-AM6,10713 V,Rus
Karusel (0h),Express-AM6,10713 V,Rus
Karusel (0h),Express-AM6,10718 H,Rus
Karusel (0h),Express-AM6,10840 V,Rus
Karusel (0h),Express-AM6,10937 V,Rus
Vesti FM,Express-AM6,10713 V,Rus
Vesti FM,Express-AM6,10718 H,Rus
Vesti FM,Express-AM6,10749 V,Rus
Vesti FM,Express-AM6,10840 V,Rus
Vesti FM,Express-AM6,10937 V,Rus
Radio Mayak,Express-AM6,10713 V,Rus
Radio Mayak,Express-AM6,10718 H,Rus
Radio Mayak,Express-AM6,10749 V,Rus
Radio Mayak,Express-AM6,10840 V,Rus
Radio Mayak,Express-AM6,10937 V,Rus
Radio Rossii Krim,Express-AM6,10713 V,Rus
Radio Rossii Krim,Express-AM6,10749 V,Rus
5 Kanal (0h),Express-AM6,10718 H,Rus
5 Kanal (0h),Express-AM6,10840 V,Rus
5 Kanal (0h),Express-AM6,10937 V,Rus
TV Centr (0h),Express-AM6,10718 H,Rus
TV Centr (0h),Express-AM6,10749 V,Rus
TV Centr (0h),Express-AM6,10840 V,Rus
TV Centr (0h),Express-AM6,10937 V,Rus
Rossiya 1,Express-AM6,10718 H,Rus
Rossiya 1,Express-AM6,10840 V,Rus
Rossiya 1,Express-AM6,10853 V,Rus
Rossiya 1,Express-AM6,10909 V,Rus
Rossiya 1,Express-AM6,10937 V,Rus
Rossiya 24,Express-AM6,10718 H,Rus
Rossiya 24,Express-AM6,10853 V,Rus
Rossiya 24,Express-AM6,10909 V,Rus
Rossiya 24,Express-AM6,10937 V,Rus
OTR,Express-AM6,10718 H,Rus
OTR,Express-AM6,10749 V,Rus
OTR,Express-AM6,10840 V,Rus
OTR,Express-AM6,10853 V,Rus
OTR,Express-AM6,10909 V,Rus
OTR,Express-AM6,10937 V,Rus
Radio Rossii,Express-AM6,10718 H,Rus
Radio Rossii,Express-AM6,10853 V,Rus
Radio Rossii,Express-AM6,10909 V,Rus
Telekanal Zvezda (0h),Express-AM6,10730 V,Rus
Mir (0h),Express-AM6,10730 V,Rus
TNT (0h),Express-AM6,10730 V,Rus
Tavria,Express-AM6,10730 V,Rus
Za! TV,Express-AM6,10730 V,Rus
TNR,Express-AM6,10730 V,Rus
Telekanal Union,Express-AM6,10730 V,Rus
Krim 24,Express-AM6,10730 V,Rus
Lugansk 24,Express-AM6,10730 V,Rus
REN TV,Express-AM6,10747 H,Rus
REN TV,Express-AM6,10749 V,Rus
REN TV,Express-AM6,10875 V,Rus
Telekanal Spas,Express-AM6,10747 H,Rus
Telekanal Spas,Express-AM6,10749 V,Rus
Telekanal Spas,Express-AM6,10875 V,Rus
STS,Express-AM6,10747 H,Rus
STS,Express-AM6,10875 V,Rus
Domashniy,Express-AM6,10747 H,Rus
Domashniy,Express-AM6,10875 V,Rus
TV 3 (Russia),Express-AM6,10747 H,Rus
TV 3 (Russia),Express-AM6,10875 V,Rus
Pyatnitsa!,Express-AM6,10747 H,Rus
Pyatnitsa!,Express-AM6,10875 V,Rus
Telekanal Zvezda,Express-AM6,10747 H,Rus
Telekanal Zvezda,Express-AM6,10875 V,Rus
Mir,Express-AM6,10747 H,Rus
Mir,Express-AM6,10875 V,Rus
TNT (Russia),Express-AM6,10747 H,Rus
TNT (Russia),Express-AM6,10875 V,Rus
Muz TV (Russia),Express-AM6,10747 H,Rus
Muz TV (Russia),Express-AM6,10749 V,Rus
Muz TV (Russia),Express-AM6,10875 V,Rus
STS (0h),Express-AM6,10749 V,Rus
Domashniy (0h),Express-AM6,10749 V,Rus
TV 3 (0h),Express-AM6,10749 V,Rus
Pyatnitsa! (0h),Express-AM6,10749 V,Rus
Rossiya 24 Kuban,Express-AM6,10840 V,Rus
Radio Rossii Krasnodar,Express-AM6,10840 V,Rus
Radio Rossii Krasnodar,Express-AM6,10909 V,Rus
Radio Rossii Krasnodar,Express-AM6,10937 V,Rus
Mir 24,Express-AM6,10857 V,Rus
Moskva 24,Express-AM6,10857 V,Rus
Za! Radio,Express-AM6,10860 V,Rus
Love Radio (Russia),Express-AM6,10865 V,Rus
Radio Dacha,Express-AM6,10865 V,Rus
Sputnik International,Express-AM6,10865 V,
Sputnik International,Express-AM6,10865 V,
Sputnik International,Express-AM6,10865 V,
Sputnik International,Express-AM6,10865 V,
Sputnik International,Express-AM6,10865 V,
Sputnik International,Express-AM6,10865 V,
Sputnik International,Express-AM6,11481 H,
Sputnik International,Express-AM6,11481 H,
Sputnik International,Express-AM6,11481 H,
Sputnik International,Express-AM6,11481 H,
Sputnik International,Express-AM6,11481 H,
Sputnik International,Express-AM6,11481 H,
Sputnik International,Express-AM6,11481 H,
Sputnik International,Express-AM6,11481 H,
Sputnik International,Express-AM6,11481 H,
Rossiya 1 Belgorod,Express-AM6,10909 V,Rus
Rossiya 24 Sochi,Express-AM6,10909 V,Rus
SOVA,Express-AM6,10974 H,Rus
Samarskoe Gubernskoe Radio,Express-AM6,10974 H,Rus
Kentron TV International,Express-AM6,11003 V,Arm
Shehab News Agency,Express-AM6,11005 V,Ara
Iraqi mux,Express-AM6,11011 V,
Radio Maria Iraq,Express-AM6,11011 V,Ara
New Life Radio,Express-AM6,11011 V,
New Testament Baptist Radio,Express-AM6,11011 V,Ara
Al-Aqsa TV,Express-AM6,11069 V,Ara
NTV Mir,Express-AM6,11481 H,Rus
(ADM feeds),Express-AM6,11592 V,
Watan HD,Express-AM6,11660 H,Pus
