Sat_name,L_Rocket,L_Date
TDRS 8 (incl. 11.4°),Atlas AC-139,2000-06-30
TDRS 10 (incl. 9.4°),Atlas 2A - AC-144,2002-12-05
TDRS 11 (incl. 2.7°),Atlas 5 - V401,2013-01-31
NSS 9,Ariane 5 - V187,2009-02-12
Yamal 300K,Proton,2012-11-02
Intelsat 18,Zenit 3/Baikonur,2011-10-05
NSS 11,Proton,2000-10-01
Eutelsat 174A (incl. 2.1°),Proton,2005-12-29
Eutelsat 172B,Ariane 5 - VA237,2017-06-01
Horizons 3e,Ariane 5 - VA243,2018-09-25
Intelsat 5 (incl. 8.6°),Proton,1997-08-28
Luch 5A (incl. 6.7°),Proton,2011-12-11
Intelsat 19,Zenit 3/Sea Launch,2012-06-01
Galaxy 11 (incl. 4.6°),Ariane V125,1999-12-22
Yamal 202 (incl. 4.3°),Proton,2003-11-24
ChinaSat 19,Long March 3B,2022-11-05
Superbird B3,Ariane 5 - VA242,2018-04-05
Optus D2,Ariane 5,2007-10-05
ABS 6,Proton,1999-09-26
Intelsat 1R (incl. 6.0°),Ariane 5 - V135,2000-11-16
Optus C1 (incl. 4.8°),Ariane 5 - V161,2003-06-11
Optus D3,Ariane 5 - V190,2009-08-21
Optus 10,Ariane 5 - VA218,2014-09-11
Intelsat 10 (drifting 0.4°W/day),Ariane 4 - V141,2001-05-15
JCSAT 2B,Falcon 9,2016-05-06
Optus D1 (incl. 0.9°),Ariane 5,2006-10-13
BRIsat,Ariane 5 - VA230,2016-06-18
JCSAT 1C,Falcon 9,2019-12-17
AsiaSat 4 (incl. 2.6°),Atlas 3B - AC-205,2003-04-12
Nusantara Satu,Falcon 9,2019-02-22
Express AMU7,Proton,2021-12-13
JCSAT 16,Falcon 9,2016-08-14
Superbird C2 (incl. 0.2°),Ariane 5 - V185,2008-08-14
Apstar 9,Xichang,2015-10-16
Express AM5,Proton,2013-12-26
Express AT2,Proton,2014-03-15
Telstar 18 Vantage,Falcon 9,2018-09-10
JCSAT 17 (incl. 5.6°),Ariane 5 - VA252,2020-02-18
Apstar 6D,Long March 3B,2020-07-09
Apstar 6C,Long March 3B,2018-05-03
JCSAT 12,Ariane 5 - V190,2009-08-21
JCSAT 5A,Zenit 3,2006-04-12
Vinasat 1,Ariane 5,2008-04-18
Vinasat 2,Ariane 5 - VA206,2012-05-15
ChinaSat 6C,Long March 3B,2019-03-09
ChinaSat 1D,Long March 3B,2021-11-26
ChinaSat 2D,Long March 3B,2019-01-10
LaoSat 1,Long March 3B,2015-11-20
JCSAT 3A,Ariane 5,2006-08-11
Cosmos 2526,Proton,2018-04-18
ChinaSat 26,Long March 3B,2023-02-23
ChinaSat 6D,Long March 3B/E,2022-04-15
JCSAT 4B,Ariane 5 - VA206,2012-05-15
AsiaSat 9,Proton,2017-09-28
Hylas 1 (drifting west),Ariane 5 - V198,2010-11-26
AsiaSat 6/Thaicom 7,Falcon 9,2014-09-07
Thaicom 4,Ariane,2005-08-11
Bangabandhu 1,Falcon 9,2018-05-11
Telkom 3S,Ariane 5 - VA235,2017-02-14
Koreasat 6,Ariane 5 - V199,2010-12-29
Koreasat 7,Ariane 5 - VA236,2017-05-04
ChinaSat 6B (incl. 0.3°),Long March 3B,2007-07-05
ChinaSat 6E,Long March 3B,2023-11-09
Koreasat 5,Zenit 3,2006-08-22
Koreasat 5A,Falcon 9,2017-10-30
Merah Putih 2,Falcon 9,2024-02-20
ChinaSat 10,Long March 3B,2011-06-20
ChinaSat 16,Long March 3BE,2017-04-12
BSAT 4B,Ariane 5 - VA253,2020-08-15
BSAT 3A,Ariane 5 - V177,2007-08-14
BSAT 3C/JCSAT 110R,Ariane 5 - VA203,2011-08-06
JCSAT 15,Ariane 5 - VA234,2016-12-21
BSAT 4A,Ariane 5 - VA239,2017-09-29
BSAT 3B,Ariane 5 - V197,2010-10-28
SES 7,Proton,2009-05-16
SES 9,Falcon 9,2016-03-04
Telkom 4,Falcon 9,2018-08-07
AsiaSat 7,Proton,2011-11-25
ChinaSat 2C,Long March 3B,2015-11-03
Express AMU3,Proton,2021-12-13
ChinaSat 9B,Long March 3B,2021-09-09
AsiaSat 5,Proton,2009-08-11
ChinaSat 2A,Long March 3B,2012-05-26
ChinaSat 11,Long March 3B,2013-05-01
ChinaSat 2E,Long March 3B,2021-08-05
G-Sat 9,GSLV,2017-05-05
Express 103,Proton,2020-07-30
SES 8,Falcon 9,2013-12-03
SES 12,Falcon 9,2018-06-04
G-Sat 15,Ariane 5 - VA227,2015-11-10
G-Sat 17,Ariane 5 - VA238,2017-06-28
ChinaSat 9,Long March 3B,2008-06-09
Measat 3b,Ariane 5 - VA218,2014-09-11
Measat 3d,Ariane 5 - VA257,2022-06-22
Measat 3a,Zenit 3/Baikonur,2009-06-21
Yamal 401,Proton,2014-12-15
ST 2,Ariane 5 - VA202,2011-05-20
ChinaSat 12,Long March 3B,2012-11-27
KazSat 2,Proton,2011-07-15
Intelsat 15,Zenit 3/Baikonur,2009-11-30
TDRS 7 (incl. 13.7°),Atlantis,1995-07-13
G-Sat 10,Ariane 5 - VA209,2012-09-28
