Sat_name,L_Rocket,L_Date
G-Sat 24,Ariane 5 - VA257,2022-06-22
G-Sat 30,Ariane 5 - VA251,2020-01-16
CMS 1,PSLV,2020-12-17
G-Sat 6,GSLV,2015-08-27
Insat 3D,Ariane 5 - VA214,2013-07-25
ChinaSat 1E,Long March 7A,2022-09-13
Express 80,Proton,2020-07-30
Thaicom 6,Falcon 9,2014-01-06
Thaicom 8,Falcon 9,2016-05-27
Apstar 7,Long March 3B,2012-03-31
ABS 2,Ariane 5 - VA217,2014-02-06
ABS 2A,Falcon 9,2016-06-15
G-Sat 7,Ariane 5 - VA215,2013-08-29
G-Sat 14,GSLV,2014-01-05
Insat 3DR,GSLV,2016-09-08
G-Sat 18,Ariane 5 - VA231,2016-10-05
G-Sat 11,Ariane 5 - VA246,2018-12-04
Intelsat 22,Proton,2012-03-25
Eutelsat 70B,Zenit 3/Sea Launch,2012-12-03
Intelsat 20,Ariane 5 - VA208,2012-08-02
Intelsat 36,Ariane 5 - VA232,2016-08-24
Intelsat 17,Ariane 5 - V198,2010-11-26
Amos 4,Zenit 3/Baikonur,2013-08-31
Intelsat 906 (incl. 3.7°),Ariane 4 - V154,2002-09-06
G-Sat 7A,GSLV,2018-12-19
Intelsat 39,Ariane 5 - VA249,2019-08-06
ABS 4 (incl. 3.9°),Atlas 3 - AC-202,2004-03-13
Intelsat 33e,Ariane 5 - VA232,2016-08-24
KazSat 3,Proton,2014-04-28
Astra 2A (incl. 5.0°),Proton,1998-08-30
NSS 12,Ariane 5 - V192,2009-10-26
Express AT1,Proton,2014-03-15
G-Sat 29,GSLV,2018-11-14
G-Sat 16,Ariane 5 - VA221,2014-12-06
G-Sat 8,Ariane 5 - VA202,2011-05-20
Yamal 402,Proton,2012-12-08
Express AM6,Proton,2014-10-21
Al Yah 1,Ariane 5 - VA201,2011-04-22
TurkmenÄlem/MonacoSat,Falcon 9,2015-04-27
Belintersat 1,Long March 3B,2016-01-15
Türksat 4B,Proton/Baikonur,2015-10-16
Yamal 601,Proton,2019-05-30
G-Sat 31,Ariane 5 - VA247,2019-02-05
G-Sat 19,GSLV,2017-06-05
Eutelsat Quantum,Ariane 5 - VA254,2021-07-30
Al Yah 2,Ariane 5 - VA206,2012-04-23
Azerspace 1,Ariane 5 - VA212,2013-02-07
Azerspace 2/Intelsat 38,Ariane 5 - VA243,2018-09-25
Cosmos 2520,Proton,2017-08-16
NigComSat 1R,Long March 3B,2011-12-19
Türksat 3A,Ariane 5,2008-06-12
Türksat 4A,Proton,2014-02-14
Türksat 5B,Falcon 9,2021-12-19
Express AM7,Proton,2015-03-18
Hellas Sat 3,Ariane 5 - VA238,2017-06-28
Hellas Sat 4,Ariane 5 - VA247,2019-02-05
Paksat 1R,Long March 3B,2011-08-11
Express AMU1,Proton,2015-12-24
Eutelsat 36B,Proton,2009-11-24
Eutelsat 33F,Proton,2006-08-04
Intelsat 28,Ariane 5 - VA201,2011-04-22
Galaxy 14 (incl. 2.9°),Soyuz,2005-08-13
Hylas 2 (incl. 0.3°),Ariane 5 - VA208,2012-08-02
Türksat 5A,Falcon 9,2021-01-08
Arabsat 5A,Ariane 5 - V195,2010-06-26
Arabsat 6A,Falcon 9,2019-04-11
Astra 2E,Proton,2013-09-29
Astra 2F,Ariane 5 - VA209,2012-09-28
Astra 2G,Proton,2014-12-27
Badr 6 (incl. 0.7°),Araine 5,2008-07-07
Badr 4,Proton,2006-11-08
Badr 5,Proton,2010-06-03
Badr 7,Ariane 5 - VA227,2015-11-10
Badr 8,Falcon 9,2023-05-27
Es'hail 2,Falcon 9,2018-11-15
Es'hail 1,Ariane 5 - VA215,2013-08-29
Astra 3B,Ariane 5 - V194,2010-05-21
Astra 3C,Ariane 5 - VA216,2014-03-22
Angosat 2,Proton,2022-10-12
SES 16/GovSat 1,Falcon 9,2018-01-31
Eutelsat 21B,Ariane 5 - VA210,2012-11-10
EDRS C,Ariane 5 - VA249,2019-08-06
Arabsat 5C,Ariane 5 - VA204,2011-09-21
Astra 1KR,Atlas 5,2006-04-20
Astra 1L,Ariane 5 - V176,2007-05-04
Astra 1M,Proton,2008-11-05
Astra 1N,Ariane 5 - VA203,2011-08-06
AMC 14 (incl. 23.0°),Proton,2008-03-14
Amos 17,Falcon 9,2019-08-06
Eutelsat 16A,Long March 3B,2011-10-07
Hotbird 13F,Falcon 9,2022-10-15
Hotbird 13G,Falcon 9,2022-11-03
Hotbird 13E,Ariane 5,2006-03-11
EchoStar 21 (incl. 2.7°),Proton,2017-06-08
Eutelsat 10B,Falcon 9,2022-11-23
Eutelsat Ka-Sat 9A,Proton,2010-12-26
Eutelsat 9B,Proton,2016-01-29
Eutelsat Konnect,Ariane 5 - VA251,2020-01-16
Eutelsat 7B,Proton,2013-05-14
Eutelsat 7C,Ariane 5 - VA248,2019-06-20
SES 5,Proton,2012-07-09
Astra 4A,Proton,2007-11-17
Eutelsat 3B,Zenit/Sea Launch,2014-05-26
Rascom QAF 1R,Ariane 5 - V196,2010-08-04
Eutelsat Konnect VHTS,Ariane 5 - VA258,2022-09-07
BulgariaSat 1,Falcon 9,2017-06-23
Thor 7,Ariane 5 - VA222,2015-04-26
Thor 5,Proton,2008-02-11
Thor 6,Ariane 5 - V192,2009-10-26
Intelsat 10-02,Proton,2004-06-16
ABS 3A,Falcon 9,2015-03-02
Amos 7,Falcon 9,2014-08-05
Amos 3,Zenit 3/Baikonur,2008-04-28
Eutelsat 5 West B,Proton,2019-10-09
Nilesat 201,Ariane 5 - V196,2010-08-04
Nilesat 301,Falcon 9,2022-06-08
Eutelsat 7 West A,Zenit 3/Sea Launch,2011-09-24
Eutelsat 8 West B,Ariane 5 - VA225,2015-08-20
Hellas Sat 2 (incl. 5.3°),Atlas 5 - AV-002,2003-05-13
Express AM44 (incl. 1.3°),Proton,2009-02-11
TDRS 13 (incl. 3.7°),Atlas,2017-08-18
Eutelsat 12 West G (incl. 0.8°),Ariane 5 - V186,2008-12-20
Express AM8,Proton/Baikonur,2015-09-14
Telstar 12 Vantage,H2A,2015-11-24
Luch 5B (incl. 8.7°),Proton,2012-11-02
Intelsat 37e,Ariane 5 - VA239,2017-09-29
Al Yah 3,Ariane 5 - VA241,2018-01-25
SES 4,Proton,2012-02-14
Intelsat 905 (incl. 4.7°),Ariane 4 - V152,2002-06-05
Alcomsat 1,Long March 3B,2017-12-10
Intelsat 9 (drifting east),Zenit,2000-07-28
Intelsat 901,Ariane 4 - V141,2001-06-09
Intelsat 904 (incl. 4.9°),Ariane 4 - V148,2002-02-23
Hispasat 30W-5,Ariane 5 - V199,2010-12-29
Hispasat 30W-6,Falcon 9,2018-03-06
SpainSat,Ariane 5,2006-03-11
Intelsat 25 (incl. 0.6°),Ariane 5,2008-07-07
Hylas 4,Ariane 5 - VA242,2018-04-05
Intelsat 35e,Falcon 9,2017-07-05
Hispasat 36W-1,Soyuz - VS16,2017-01-28
NSS 10 (incl. 4.4°),Proton,2005-02-03
Telstar 11N,Zenit 3,2009-02-26
SES 6,Proton,2013-06-03
TDRS 12 (incl. 3.6°),Atlas 5 - V401,2014-01-24
WGS 3,Delta,2009-12-06
Intelsat 11 (incl. 1.4°),Ariane 5,2007-10-05
Sky Brasil 1,Ariane 5 - VA235,2017-02-14
Intelsat 14,Atlas 5,2009-11-23
TDRS 6 (incl. 14.2°),Endeavour,1993-01-13
SES 14,Ariane 5 - VA241,2018-01-25
TDRS 3 (incl. 13.2°),Discovery,1988-09-29
Intelsat 902 (incl. 4.0°),Ariane 4 - V143,2001-08-30
Intelsat 23,Proton,2012-10-14
Intelsat 34,Ariane 5 - VA225,2015-08-20
Intelsat 21,Zenit 3/Sea Launch,2012-08-19
Amazonas 2,Ariane 5 - V191,2009-10-01
Amazonas 3,Ariane 5 - VA212,2013-02-07
Amazonas 5,Proton,2017-09-11
Amazonas Nexus,Falcon 9,2023-02-07
T16,Ariane 5 - VA248,2019-06-20
SES 1,Proton,2010-04-24
T9S (incl. 0.3°),Ariane 5,2006-10-13
T10,Proton,2007-07-07
T12,Proton,2009-12-29
T15,Ariane 5 - VA223,2015-05-27
SES 3,Proton,2011-07-15
SES 18,Falcon 9,2023-03-17
SES 20,Atlas,2022-10-04
AMC 15,Proton,2004-10-14
EchoStar 105/SES 11,Falcon 9,2017-10-11
EchoStar 17,Ariane 5 - VA207,2012-07-05
Anik F1R (incl. 2.2°),Proton,2005-09-08
Anik G1,Proton,2013-04-15
Nimiq 2 (incl. 7.5°),Proton,2002-12-29
Anik F1 (incl. 3.1°),Ariane 4 - V136,2000-11-21
EchoStar 23,Falcon 9,2017-03-16
T5 (incl. 2.8°),Proton,2002-05-07
EchoStar 10,Zenit,2006-02-15
EchoStar 11,Zenit 3/Sea Launch,2008-07-16
WildBlue 1 (incl. 0.7°),Ariane 5 - V174,2006-12-08
Anik F2 (incl. 1.2°),Ariane 5 - V163,2004-07-18
TerreStar 1 (incl. 4.3°),Ariane 5 - V189,2009-07-01
Anik F4,Atlas 2AS,2004-05-19
Morelos 3 (incl. 3.1°),Atlas 5,2015-10-02
Mexsat Bicentenario,Ariane 5 - VA211,2012-12-19
Eutelsat 115 West B,Falcon 9,2015-03-02
ViaSat 1,Proton,2011-10-19
Sirius XM 5,Proton,2010-10-14
Sirius FM 6,Proton,2013-10-25
Eutelsat 117 West A,Proton,2013-03-26
Eutelsat 117 West B,Falcon 9,2016-06-15
Anik F3,Proton,2007-04-09
T8,Proton,2005-05-22
EchoStar 14,Proton,2010-03-20
Eutelsat 113 West A (drifting west),Ariane 5,2006-05-27
EchoStar 9/Galaxy 23 (incl. 1.1°),Zenit 3,2003-08-08
Galaxy 31,Falcon 9,2022-11-12
Galaxy 18,Zenit 3/Sea Launch,2008-05-21
AMC 21 (incl. 0.8°),Ariane 5 - V185,2008-08-14
Galaxy 30,Ariane 5 - VA253,2020-08-15
Galaxy 37/Horizons 4,Falcon 9,2023-08-03
SES 15,Soyuz - VS17,2017-05-18
Galaxy 34,Falcon 9,2022-10-08
SES 21,Atlas,2022-10-04
Galaxy 33,Falcon 9,2022-10-08
SES 22,Falcon 9,2022-06-29
SES 19,Falcon 9,2023-03-17
Spaceway 2 (incl. 3.4°),Ariane 5 - V167,2005-11-16
AMC 6,Proton,2000-10-21
Eutelsat 139 West A (incl. 3.7°),Proton,2004-03-15
Galaxy 13/Horizons 1,Zenit 3,2003-10-01
