Provider/Channel,Sattelite_Name,freq_alt,beam_alt,sr_alt,fec_alt,Compression,eirp_alt
MTN Special Events,Intelsat-18,4095 R,tp G19C,30000.0,3/4,MPEG-4/SD,
MSNBC International,Intelsat-18,4095 R,tp G19C,30000.0,3/4,MPEG-4/SD,
Fox News Channel,Intelsat-18,4095 R,tp G19C,30000.0,3/4,MPEG-4/SD,
CNBC US,Intelsat-18,4095 R,tp G19C,30000.0,3/4,MPEG-4/SD,
Sky News International,Intelsat-18,4095 R,tp G19C,30000.0,3/4,MPEG-4/SD,
BBC News,Intelsat-18,4095 R,tp G19C,30000.0,3/4,MPEG-4/SD,
Prime Journey,Intelsat-18,4095 R,tp G19C,30000.0,3/4,MPEG-4/SD,
Sky Sports News UK,Intelsat-18,4095 R,tp G19C,30000.0,3/4,MPEG-4/SD,
Sport 24,Intelsat-18,4095 R,tp G19C,30000.0,3/4,MPEG-4/HD,
Prime One,Intelsat-18,4095 R,tp G19C,30000.0,3/4,MPEG-4/SD,
Sport 24 Extra,Intelsat-18,4095 R,tp G19C,30000.0,3/4,MPEG-4/SD,
RTL Deutschland,Intelsat-18,4095 R,tp G19C,30000.0,3/4,MPEG-4/SD,
Sky News Australia,Intelsat-18,4095 R,tp G19C,30000.0,3/4,MPEG-4/SD,
TFC Middle East,Intelsat-18,4095 R,tp G19C,30000.0,3/4,MPEG-4/SD,
Prime Favorites,Intelsat-18,4095 R,tp G19C,30000.0,3/4,MPEG-4/SD,
BBC HD,Intelsat-18,4095 R,tp G19C,30000.0,3/4,MPEG-4/HD,
TVE Internacional Europa,Intelsat-18,4095 R,tp G19C,30000.0,3/4,MPEG-4/SD,
Canal 24 Horas,Intelsat-18,4095 R,tp G19C,30000.0,3/4,MPEG-4/SD,
Australian Comedy & Drama Channel,Intelsat-18,4095 R,tp G19C,30000.0,3/4,MPEG-4/SD,
ABC News ,Intelsat-18,4095 R,tp G19C,30000.0,3/4,MPEG-4/SD,
Food Network East,Intelsat-18,4095 R,tp G19C,30000.0,3/4,MPEG-4/SD,
HGTV East,Intelsat-18,4095 R,tp G19C,30000.0,3/4,MPEG-4/SD,
Travel Channel East,Intelsat-18,4095 R,tp G19C,30000.0,3/4,MPEG-4/SD,
France 24 Français,Intelsat-18,4095 R,tp G19C,30000.0,3/4,MPEG-4/SD,
France 24 Français,Intelsat-18,11155 H,tp SP6K,30000.0,5/6,MPEG-4/SD,
Mediaset Italia,Intelsat-18,4095 R,tp G19C,30000.0,3/4,MPEG-4/SD,
Hunan TV,Intelsat-18,4095 R,tp G19C,30000.0,3/4,MPEG-4/SD,
CCTV 6,Intelsat-18,4095 R,tp G19C,30000.0,3/4,MPEG-4/SD,
CCTV Entertainment,Intelsat-18,4095 R,tp G19C,30000.0,3/4,MPEG-4/SD,
CCTV 4 America,Intelsat-18,4095 R,tp G19C,30000.0,3/4,MPEG-4/SD,
