Provider/Channel,Sattelite_Name,freq_alt,beam_alt,sr_alt,fec_alt,Compression,eirp_alt
Supreme Master TV,ABS-2,12524 H,tp 43,30000.0,1/2,MPEG-2/SD,43-45
TBN Inspire International,ABS-2,12524 H,tp 43,30000.0,1/2,MPEG-4/SD,43-45
SBN International,ABS-2,12524 H,tp 43,30000.0,1/2,MPEG-2/SD,43-45
TBN Asia,ABS-2,12524 H,tp 43,30000.0,1/2,MPEG-4/SD,43-45
Daystar TV,ABS-2,12524 H,tp 43,30000.0,1/2,MPEG-2/SD,43-45
Hwazan Satellite TV,ABS-2,12524 H,tp 43,30000.0,1/2,MPEG-4/SD,43-45
BBC One,ABS-2,12730 H,,23330.0,1/2,MPEG-4/SD,43-45
CBBC ,ABS-2,12730 H,,23330.0,1/2,MPEG-4/SD,43-45
BBC Two ,ABS-2,12730 H,,23330.0,1/2,MPEG-4/SD,43-45
ITV 1 London,ABS-2,12730 H,,23330.0,1/2,MPEG-4/SD,43-45
BFBS Extra,ABS-2,12730 H,,23330.0,1/2,MPEG-4/SD,43-45
Sky Sports Main Event UK,ABS-2,12730 H,,23330.0,1/2,MPEG-4/SD,43-45
TNT Sports 1,ABS-2,12730 H,,23330.0,1/2,MPEG-4/SD,43-45
BFBS Sport,ABS-2,12730 H,,23330.0,1/2,MPEG-4/SD,43-45
Sky News UK,ABS-2,12730 H,,23330.0,1/2,MPEG-4/SD,43-45
Channel 4 London,ABS-2,12730 H,,23330.0,1/2,MPEG-4/SD,43-45
Channel 5 ,ABS-2,12730 H,,23330.0,1/2,MPEG-4/SD,43-45
Sky Cinema Delay,ABS-2,12730 H,,23330.0,1/2,MPEG-4/SD,43-45
NTV National,ABS-2,12730 H,,23330.0,1/2,MPEG-4/SD,43-45
BFBS Ops,ABS-2,12730 H,,23330.0,1/2,,43-45
BFBS UK Bases,ABS-2,12730 H,,23330.0,1/2,,43-45
BFBS Radio 2,ABS-2,12730 H,,23330.0,1/2,,43-45
BFBS Rewind,ABS-2,12730 H,,23330.0,1/2,,43-45
BFBS UK National,ABS-2,12730 H,,23330.0,1/2,,43-45
BFBS UK,ABS-2,12730 H,,23330.0,1/2,,43-45
BFBS Best of British,ABS-2,12730 H,,23330.0,1/2,,43-45
BFBS Falklands,ABS-2,12730 H,,23330.0,1/2,,43-45
Mult,ABS-2A,10985 H,tp 17,35007.0,3/4,MPEG-4/HD,0.0
Mult,ABS-2A,11665 V,,44922.0,5/6,MPEG-2/SD,0.0
Mult,ABS-2A,12527 H,,35000.0,3/4,MPEG-4/HD,0.0
Moya Planeta,ABS-2A,10985 H,tp 17,35007.0,3/4,MPEG-4/HD,0.0
Moya Planeta,ABS-2A,11665 V,,44922.0,5/6,MPEG-2/SD,0.0
Moya Planeta,ABS-2A,12527 H,,35000.0,3/4,MPEG-4/HD,0.0
Russkiy Roman,ABS-2A,10985 H,tp 17,35007.0,3/4,MPEG-4/HD,0.0
Russkiy Roman,ABS-2A,11665 V,,44922.0,5/6,MPEG-2/SD,0.0
Russkiy Roman,ABS-2A,12527 H,,35000.0,3/4,MPEG-4/HD,0.0
Telekanal FAN,ABS-2A,10985 H,tp 17,35007.0,3/4,MPEG-4/SD,0.0
Telekanal FAN,ABS-2A,12527 H,,35000.0,3/4,MPEG-4/SD,0.0
Muz Soyuz,ABS-2A,10985 H,tp 17,35007.0,3/4,MPEG-4/SD,0.0
Muz Soyuz,ABS-2A,12527 H,,35000.0,3/4,MPEG-4/SD,0.0
Mosfilm ,ABS-2A,10985 H,tp 17,35007.0,3/4,MPEG-4/SD,0.0
Mosfilm ,ABS-2A,12527 H,,35000.0,3/4,MPEG-4/SD,0.0
Tri Angela,ABS-2A,10985 H,tp 17,35007.0,3/4,MPEG-4/SD,0.0
Tri Angela,ABS-2A,12527 H,,35000.0,3/4,MPEG-4/SD,0.0
Mosfilm,ABS-2A,10985 H,tp 17,35007.0,3/4,MPEG-4/HD,0.0
Mosfilm,ABS-2A,12527 H,,35000.0,3/4,MPEG-4/HD,0.0
Pes i Ko,ABS-2A,10985 H,tp 17,35007.0,3/4,MPEG-4/SD,0.0
Pes i Ko,ABS-2A,12527 H,,35000.0,3/4,MPEG-4/SD,0.0
Moskva 24,ABS-2A,10985 H,tp 17,35007.0,3/4,MPEG-4/SD,0.0
Moskva 24,ABS-2A,12527 H,,35000.0,3/4,MPEG-4/SD,0.0
Kaleidoskop TV,ABS-2A,10985 H,tp 17,35007.0,3/4,MPEG-4/SD,0.0
Kaleidoskop TV,ABS-2A,12527 H,,35000.0,3/4,MPEG-4/SD,0.0
Moskva Telekanal,ABS-2A,10985 H,tp 17,35007.0,3/4,MPEG-4/SD,0.0
Moskva Telekanal,ABS-2A,12527 H,,35000.0,3/4,MPEG-4/SD,0.0
KinoMult,ABS-2A,10985 H,tp 17,35007.0,3/4,MPEG-4/SD,0.0
KinoMult,ABS-2A,12527 H,,35000.0,3/4,MPEG-4/SD,0.0
STS International,ABS-2A,10985 H,tp 17,35007.0,3/4,MPEG-4/SD,0.0
STS International,ABS-2A,12527 H,,35000.0,3/4,MPEG-4/SD,0.0
STS International,ABS-2A,12653 V,tp 14,35007.0,2/3,MPEG-4/SD,0.0
Domashniy International,ABS-2A,10985 H,tp 17,35007.0,3/4,MPEG-4/SD,0.0
Domashniy International,ABS-2A,12527 H,,35000.0,3/4,MPEG-4/SD,0.0
Domashniy International,ABS-2A,12653 V,tp 14,35007.0,2/3,MPEG-4/SD,0.0
Peretz International,ABS-2A,10985 H,tp 17,35007.0,3/4,MPEG-4/SD,0.0
Peretz International,ABS-2A,12527 H,,35000.0,3/4,MPEG-4/SD,0.0
Peretz International,ABS-2A,12653 V,tp 14,35007.0,2/3,MPEG-4/SD,0.0
REN TV International,ABS-2A,10985 H,tp 17,35007.0,3/4,MPEG-4/SD,0.0
REN TV International,ABS-2A,12527 H,,35000.0,3/4,MPEG-4/SD,0.0
REN TV International,ABS-2A,12653 V,tp 14,35007.0,2/3,MPEG-4/SD,0.0
5 Kanal International,ABS-2A,10985 H,tp 17,35007.0,3/4,MPEG-4/SD,0.0
5 Kanal International,ABS-2A,12527 H,,35000.0,3/4,MPEG-4/SD,0.0
5 Kanal International,ABS-2A,12653 V,tp 14,35007.0,2/3,MPEG-4/SD,0.0
STS Kids International,ABS-2A,10985 H,tp 17,35007.0,3/4,MPEG-4/SD,0.0
STS Kids International,ABS-2A,12527 H,,35000.0,3/4,MPEG-4/SD,0.0
STS Kids International,ABS-2A,12653 V,tp 14,35007.0,2/3,MPEG-4/SD,0.0
Radio Vanya,ABS-2A,10985 H,tp 17,35007.0,3/4,,0.0
Radio Vanya,ABS-2A,12527 H,,35000.0,3/4,,0.0
Mir 24,ABS-2A,11490 V,,7500.0,5/6,MPEG-4/HD,0.0
Mir,ABS-2A,11490 V,,7500.0,5/6,MPEG-4/HD,0.0
Mir +4,ABS-2A,11490 V,,7500.0,5/6,MPEG-4/SD,0.0
(Mir feeds),ABS-2A,11508 V,,3800.0,3/4,,
TBN Rossiya,ABS-2A,11531 V,,22000.0,3/4,MPEG-4/SD,0.0
Draiv,ABS-2A,11531 V,,22000.0,3/4,MPEG-4/SD,0.0
Evrokino,ABS-2A,11531 V,,22000.0,3/4,MPEG-4/SD,0.0
Usadba,ABS-2A,11531 V,,22000.0,3/4,MPEG-4/SD,0.0
Unikum,ABS-2A,11531 V,,22000.0,3/4,MPEG-4/SD,0.0
Russkiy Illusion,ABS-2A,11531 V,,22000.0,3/4,MPEG-4/SD,0.0
Illusion +,ABS-2A,11531 V,,22000.0,3/4,MPEG-4/SD,0.0
Okhota i Rybalka,ABS-2A,11531 V,,22000.0,3/4,MPEG-4/SD,0.0
Voprosy i Otvety,ABS-2A,11531 V,,22000.0,3/4,MPEG-4/SD,0.0
Retro,ABS-2A,11531 V,,22000.0,3/4,MPEG-4/SD,0.0
Zdorovoe TV,ABS-2A,11531 V,,22000.0,3/4,MPEG-4/SD,0.0
Domashnie Zhivotnye,ABS-2A,11531 V,,22000.0,3/4,MPEG-4/SD,0.0
Psikhologiya 21,ABS-2A,11531 V,,22000.0,3/4,MPEG-4/SD,0.0
Zoo Park,ABS-2A,11531 V,,22000.0,3/4,MPEG-4/SD,0.0
Avto 24,ABS-2A,11531 V,,22000.0,3/4,MPEG-4/SD,0.0
Russkiy Illusion Mezhdunarodnaya versiya,ABS-2A,11531 V,,22000.0,3/4,MPEG-4/SD,0.0
Ru TV,ABS-2A,11531 V,,22000.0,3/4,MPEG-4/SD,0.0
Tochka TV,ABS-2A,11531 V,,22000.0,3/4,MPEG-4/SD,0.0
RTG TV,ABS-2A,11531 V,,22000.0,3/4,MPEG-4/SD,0.0
Tochka Otryva,ABS-2A,11531 V,,22000.0,3/4,MPEG-4/SD,0.0
Telekanal 360°,ABS-2A,11531 V,,22000.0,3/4,MPEG-4/SD,0.0
Telekanal 360°,ABS-2A,12653 V,tp 14,35007.0,2/3,MPEG-4/HD,0.0
360° Novosti,ABS-2A,11531 V,,22000.0,3/4,MPEG-4/SD,0.0
360° Novosti,ABS-2A,12653 V,tp 14,35007.0,2/3,MPEG-4/SD,0.0
Zhivi!,ABS-2A,11531 V,,22000.0,3/4,MPEG-4/SD,0.0
Bober,ABS-2A,11559 V,,22000.0,3/4,MPEG-4/SD,0.0
Dom Kino Premium,ABS-2A,11559 V,,22000.0,3/4,MPEG-4/HD,0.0
Telekanal Futbol,ABS-2A,11559 V,,22000.0,3/4,MPEG-4/SD,0.0
Bolshaya Aziya,ABS-2A,11559 V,,22000.0,3/4,MPEG-4/SD,0.0
Dom Kino,ABS-2A,11559 V,,22000.0,3/4,MPEG-4/SD,0.0
Centralnoe TV,ABS-2A,11559 V,,22000.0,3/4,MPEG-4/SD,0.0
Nasha Tema,ABS-2A,11559 V,,22000.0,3/4,MPEG-4/SD,0.0
Vmeste RF,ABS-2A,11559 V,,22000.0,3/4,MPEG-4/SD,0.0
Vmeste RF,ABS-2A,11800 V,,45000.0,2/3,HEVC/SD,0.0
Muzika Pervogo,ABS-2A,11559 V,,22000.0,3/4,MPEG-4/SD,0.0
Telekanal O!,ABS-2A,11559 V,,22000.0,3/4,MPEG-4/SD,0.0
Pobeda,ABS-2A,11559 V,,22000.0,3/4,MPEG-4/SD,0.0
Poehali!,ABS-2A,11559 V,,22000.0,3/4,MPEG-4/SD,0.0
Telecafé ,ABS-2A,11559 V,,22000.0,3/4,MPEG-4/SD,0.0
Vremya,ABS-2A,11559 V,,22000.0,3/4,MPEG-4/SD,0.0
Lapki Live,ABS-2A,11559 V,,22000.0,3/4,MPEG-4/SD,0.0
LDPR TV,ABS-2A,11559 V,,22000.0,3/4,MPEG-4/SD,0.0
RBK TV,ABS-2A,11605 V,tp 11,43200.0,7/8,MPEG-4/HD,0.0
Bober International,ABS-2A,11605 V,tp 11,43200.0,7/8,MPEG-4/SD,0.0
Dom Kino Premium International,ABS-2A,11605 V,tp 11,43200.0,7/8,MPEG-4/SD,0.0
Dom Kino International,ABS-2A,11605 V,tp 11,43200.0,7/8,MPEG-4/SD,0.0
Karusel International,ABS-2A,11605 V,tp 11,43200.0,7/8,MPEG-4/SD,0.0
Oruzhie,ABS-2A,11605 V,tp 11,43200.0,7/8,MPEG-4/SD,0.0
Feniks plus Kino,ABS-2A,11605 V,tp 11,43200.0,7/8,MPEG-2/SD,0.0
TV Centr International,ABS-2A,11605 V,tp 11,43200.0,7/8,MPEG-4/SD,0.0
Muzika Pervogo International,ABS-2A,11605 V,tp 11,43200.0,7/8,MPEG-4/SD,0.0
BelRos,ABS-2A,11605 V,tp 11,43200.0,7/8,MPEG-2/SD,0.0
U,ABS-2A,11605 V,tp 11,43200.0,7/8,MPEG-4/SD,0.0
Telekanal O! International,ABS-2A,11605 V,tp 11,43200.0,7/8,MPEG-4/SD,0.0
E TV ,ABS-2A,11605 V,tp 11,43200.0,7/8,MPEG-4/SD,0.0
Perviy kanal CIS,ABS-2A,11605 V,tp 11,43200.0,7/8,MPEG-4/SD,0.0
Pobeda International,ABS-2A,11605 V,tp 11,43200.0,7/8,MPEG-4/SD,0.0
Poehali! International,ABS-2A,11605 V,tp 11,43200.0,7/8,MPEG-4/SD,0.0
Telecafé International,ABS-2A,11605 V,tp 11,43200.0,7/8,MPEG-4/SD,0.0
Shopping Live,ABS-2A,11605 V,tp 11,43200.0,7/8,MPEG-4/SD,0.0
Solntse,ABS-2A,11605 V,tp 11,43200.0,7/8,MPEG-4/SD,0.0
Start,ABS-2A,11605 V,tp 11,43200.0,7/8,MPEG-4/SD,0.0
Vremya International,ABS-2A,11605 V,tp 11,43200.0,7/8,MPEG-4/SD,0.0
Magnat,ABS-2A,11605 V,tp 11,43200.0,7/8,MPEG-4/SD,0.0
Anekdot TV,ABS-2A,11605 V,tp 11,43200.0,7/8,MPEG-4/SD,0.0
Kinoman,ABS-2A,11605 V,tp 11,43200.0,7/8,MPEG-4/SD,0.0
Lapki Live International,ABS-2A,11605 V,tp 11,43200.0,7/8,MPEG-4/SD,0.0
Radio VERA,ABS-2A,11605 V,tp 11,43200.0,7/8,,0.0
Radio Komsomolskaya Pravda,ABS-2A,11605 V,tp 11,43200.0,7/8,,0.0
Radio Zvezda ,ABS-2A,11605 V,tp 11,43200.0,7/8,,0.0
DFM,ABS-2A,11605 V,tp 11,43200.0,7/8,,0.0
Hit FM ,ABS-2A,11605 V,tp 11,43200.0,7/8,,0.0
Maximum 103.7 FM,ABS-2A,11605 V,tp 11,43200.0,7/8,,0.0
Russkoe Radio,ABS-2A,11605 V,tp 11,43200.0,7/8,,0.0
Russkoe Radio ,ABS-2A,11605 V,tp 11,43200.0,7/8,,0.0
Nauka,ABS-2A,11665 V,,44922.0,5/6,MPEG-2/SD,0.0
Russkiy Bestseller,ABS-2A,11665 V,,44922.0,5/6,MPEG-2/SD,0.0
Sarafan,ABS-2A,11665 V,,44922.0,5/6,MPEG-2/SD,0.0
Mult i muzyka,ABS-2A,11665 V,,44922.0,5/6,MPEG-2/SD,0.0
Kino TV ,ABS-2A,11665 V,,44922.0,5/6,MPEG-2/SD,0.0
Zhivaya Planeta,ABS-2A,11665 V,,44922.0,5/6,MPEG-2/SD,0.0
Istoriya Telekanal,ABS-2A,11665 V,,44922.0,5/6,MPEG-2/SD,0.0
Ani,ABS-2A,11665 V,,44922.0,5/6,MPEG-2/SD,0.0
Belarus 24,ABS-2A,11665 V,,44922.0,5/6,MPEG-2/SD,0.0
Russkaya Komediya,ABS-2A,11665 V,,44922.0,5/6,MPEG-2/SD,0.0
Russkiy Detektiv,ABS-2A,11665 V,,44922.0,5/6,MPEG-2/SD,0.0
Mosfilm International,ABS-2A,11665 V,,44922.0,5/6,MPEG-4/SD,0.0
Cinéma,ABS-2A,11665 V,,44922.0,5/6,MPEG-2/SD,0.0
Mama,ABS-2A,11665 V,,44922.0,5/6,MPEG-2/SD,0.0
Techno 24,ABS-2A,11665 V,,44922.0,5/6,MPEG-2/SD,0.0
NST,ABS-2A,11665 V,,44922.0,5/6,MPEG-2/SD,0.0
Telekanal Doktor,ABS-2A,11665 V,,44922.0,5/6,MPEG-2/SD,0.0
Radio Chanson,ABS-2A,11740 V,,45000.0,2/3,,0.0
Vesti FM,ABS-2A,11740 V,,45000.0,2/3,,0.0
Radio Mayak,ABS-2A,11740 V,,45000.0,2/3,,0.0
Radio Rossii,ABS-2A,11740 V,,45000.0,2/3,,0.0
Radio Rossii ,ABS-2A,11740 V,,45000.0,2/3,,0.0
Shayan TV,ABS-2A,11800 V,,45000.0,2/3,MPEG-4/SD,0.0
TNV Planeta,ABS-2A,11800 V,,45000.0,2/3,HEVC/SD,0.0
Soyuz,ABS-2A,11800 V,,45000.0,2/3,HEVC/SD,0.0
Juvelirochka,ABS-2A,11920 V,,45000.0,2/3,MPEG-4/SD,0.0
Kirkuk TV,ABS-2A,12318 H,,2500.0,7/8,8192-4096MPEG-4/HD,
Kerkük FM,ABS-2A,12318 H,,2500.0,7/8,,
Match! Planeta,ABS-2A,12533 V,,44950.0,4/5,MPEG-4/SD,0.0
Pyatnitsa! International,ABS-2A,12533 V,,44950.0,4/5,MPEG-4/SD,0.0
TV XXI,ABS-2A,12533 V,,44950.0,4/5,MPEG-4/SD,0.0
TNT International,ABS-2A,12533 V,,44950.0,4/5,MPEG-4/SD,0.0
TV 3 International,ABS-2A,12533 V,,44950.0,4/5,MPEG-4/SD,0.0
Nano TV,ABS-2A,12533 V,,44950.0,4/5,MPEG-4/SD,0.0
Krasnaya Liniya,ABS-2A,12533 V,,44950.0,4/5,MPEG-4/SD,0.0
TNT 4 International ,ABS-2A,12533 V,,44950.0,4/5,MPEG-4/SD,0.0
Konniy Mir,ABS-2A,12533 V,,44950.0,4/5,MPEG-4/SD,0.0
Luxury,ABS-2A,12533 V,,44950.0,4/5,MPEG-4/SD,0.0
Torre Ricca,ABS-2A,12533 V,,44950.0,4/5,MPEG-4/SD,0.0
San Porto,ABS-2A,12533 V,,44950.0,4/5,MPEG-4/SD,0.0
Baby Time,ABS-2A,12653 V,tp 14,35007.0,2/3,MPEG-4/SD,0.0
Plan B,ABS-2A,12653 V,tp 14,35007.0,2/3,MPEG-4/SD,0.0
8 Kanal ,ABS-2A,12653 V,tp 14,35007.0,2/3,MPEG-4/SD,0.0
Romance Películas,ABS-2A,12653 V,tp 14,35007.0,2/3,MPEG-4/SD,0.0
Suspense,ABS-2A,12653 V,tp 14,35007.0,2/3,MPEG-4/SD,0.0
Cartoon Classics,ABS-2A,12653 V,tp 14,35007.0,2/3,MPEG-4/SD,0.0
Mir Basketbola,ABS-2A,12653 V,tp 14,35007.0,2/3,MPEG-4/SD,0.0
Travel + Adventure,ABS-2A,12653 V,tp 14,35007.0,2/3,MPEG-4/SD,0.0
Vitrina TV,ABS-2A,12653 V,tp 14,35007.0,2/3,MPEG-4/SD,0.0
Otkritiy Mir,ABS-2A,12653 V,tp 14,35007.0,2/3,MPEG-4/SD,0.0
Bridge TV Hits,ABS-2A,12653 V,tp 14,35007.0,2/3,MPEG-4/SD,0.0
Bridge TV Classic,ABS-2A,12653 V,tp 14,35007.0,2/3,MPEG-4/SD,0.0
Bridge TV Shlyager,ABS-2A,12653 V,tp 14,35007.0,2/3,MPEG-4/SD,0.0
Bridge TV Rock,ABS-2A,12653 V,tp 14,35007.0,2/3,MPEG-4/SD,0.0
Bridge TV Fresh,ABS-2A,12653 V,tp 14,35007.0,2/3,MPEG-4/SD,0.0
Bridge TV,ABS-2A,12653 V,tp 14,35007.0,2/3,MPEG-4/SD,0.0
Bridge TV Russkiy Hit,ABS-2A,12653 V,tp 14,35007.0,2/3,MPEG-4/SD,0.0
DD Sports,G-Sat-18,3777 H,,4400.0,5/6,MPEG-4/SD,
DD Sports,G-Sat-18,3782 H,,2000.0,3/4,MPEG-4/SD,
DD Kisan,G-Sat-18,3777 H,,4400.0,5/6,MPEG-4/SD,
AIR FM Rainbow Mumbai,G-Sat-18,3875 H,,1000.0,3/4,,
AIR Marathi,G-Sat-18,3875 H,,1000.0,3/4,,
AIR FM Gold Delhi,G-Sat-18,3875 H,,1000.0,3/4,,
AIR FM Rainbow Lucknow,G-Sat-18,3875 H,,1000.0,3/4,,
AIR Amritsar,G-Sat-18,3875 H,,1000.0,3/4,,
Utkarsh Channel 4,G-Sat-18,11578 H,,1000.0,3/4,MPEG-2/SD,
Utkarsh Channel 1,G-Sat-18,11578 H,,1000.0,3/4,MPEG-2/SD,
Utkarsh Channel 2,G-Sat-18,11578 H,,1000.0,3/4,MPEG-2/SD,
Utkarsh Channel 3,G-Sat-18,11578 H,,1000.0,3/4,MPEG-2/SD,
KITE VICTERS Plus,G-Sat-18,11667 V,,1000.0,3/4,MPEG-2/SD,
VTU,G-Sat-18,11681 V,,1000.0,3/4,?-?MPEG-2/SD,
Lokshiksha Sanchar,G-Sat-18,11686 V,,1000.0,3/4,?-?MPEG-2/SD,
KTN Home,Intelsat-22,3703 L,tp 1C,4000.0,3/4,MPEG-4/SD,
KTN News ,Intelsat-22,3703 L,tp 1C,4000.0,3/4,MPEG-4/SD,
BTV ,Intelsat-22,3703 L,tp 1C,4000.0,3/4,MPEG-4/SD,
KTN Farmers TV,Intelsat-22,3703 L,tp 1C,4000.0,3/4,MPEG-4/SD,
Radio Maisha,Intelsat-22,3703 L,tp 1C,4000.0,3/4,,
Spice FM,Intelsat-22,3703 L,tp 1C,4000.0,3/4,,
Vybez Radio,Intelsat-22,3703 L,tp 1C,4000.0,3/4,,
Berur FM,Intelsat-22,3703 L,tp 1C,4000.0,3/4,,
Kiss FM ,Intelsat-22,3781 L,tp 4C,1915.0,4/5,,
Classic FM ,Intelsat-22,3781 L,tp 4C,1915.0,4/5,,
Radio Jambo,Intelsat-22,3781 L,tp 4C,1915.0,4/5,,
East FM ,Intelsat-22,3781 L,tp 4C,1915.0,4/5,,
Gukena FM,Intelsat-22,3781 L,tp 4C,1915.0,4/5,,
HomeBoyz Radio,Intelsat-22,3781 L,tp 4C,1915.0,4/5,,
Efatha TV,Intelsat-22,3917 R,tp 7C,1667.0,2/3,1-1MPEG-4/SD,
ITV ,Intelsat-22,3928 R,tp 7C,8572.0,2/3,MPEG-2/SD,
EATV 5,Intelsat-22,3928 R,tp 7C,8572.0,2/3,MPEG-2/SD,
Capital TV ,Intelsat-22,3928 R,tp 7C,8572.0,2/3,MPEG-2/SD,
Radio One,Intelsat-22,3928 R,tp 7C,8572.0,2/3,,
East Africa Radio,Intelsat-22,3928 R,tp 7C,8572.0,2/3,,
Capital Radio ,Intelsat-22,3928 R,tp 7C,8572.0,2/3,,
Times TV ,Intelsat-22,4025 R,tp 9C,1665.0,5/6,8192-4096MPEG-4/SD,
Times Radio,Intelsat-22,4025 R,tp 9C,1665.0,5/6,,
TBC 1,Intelsat-22,4120 L,tp 14C,9583.0,3/4,MPEG-4/HD,
TBC 2,Intelsat-22,4120 L,tp 14C,9583.0,3/4,MPEG-4/HD,
Tanzania Safari Channel,Intelsat-22,4120 L,tp 14C,9583.0,3/4,MPEG-4/HD,
TBC Taifa,Intelsat-22,4120 L,tp 14C,9583.0,3/4,,
TBC FM,Intelsat-22,4120 L,tp 14C,9583.0,3/4,,
TBC International,Intelsat-22,4120 L,tp 14C,9583.0,3/4,,
Uhuru FM,Intelsat-22,4120 L,tp 14C,9583.0,3/4,,
Armenia 1 TV,Eutelsat-70B,11050 H,tp BCC3,19210.0,1/2,MPEG-4/SD,44-46
Shoghakat TV,Eutelsat-70B,11050 H,tp BCC3,19210.0,1/2,MPEG-4/SD,44-46
Armenia TV Satellite,Eutelsat-70B,11050 H,tp BCC3,19210.0,1/2,MPEG-4/SD,44-46
Shant TV,Eutelsat-70B,11050 H,tp BCC3,19210.0,1/2,MPEG-4/SD,44-46
H2,Eutelsat-70B,11050 H,tp BCC3,19210.0,1/2,MPEG-4/SD,44-46
Kentron TV,Eutelsat-70B,11050 H,tp BCC3,19210.0,1/2,MPEG-4/SD,44-46
Fast Sports ,Eutelsat-70B,11050 H,tp BCC3,19210.0,1/2,MPEG-4/SD,44-46
RTR Planeta,Eutelsat-70B,11050 H,tp BCC3,19210.0,1/2,MPEG-4/SD,44-46
Public Radio of Armenia,Eutelsat-70B,11050 H,tp BCC3,19210.0,1/2,,44-46
Yerevan FM,Eutelsat-70B,11050 H,tp BCC3,19210.0,1/2,,44-46
Radio Arevik,Eutelsat-70B,11050 H,tp BCC3,19210.0,1/2,,44-46
KTN News ,Eutelsat-70B,11057 V,tp BAA4,29984.0,3/4,MPEG-4/SD,0
KTN Home,Eutelsat-70B,11057 V,tp BAA4,29984.0,3/4,MPEG-4/SD,0
Biblia Husema Broadcasting,Eutelsat-70B,11057 V,tp BAA4,29984.0,3/4,,0
Capital FM ,Eutelsat-70B,11057 V,tp BAA4,29984.0,3/4,,0
Ejok FM,Eutelsat-70B,11057 V,tp BAA4,29984.0,3/4,,0
Radio Miraya,Eutelsat-70B,11057 V,tp BAA4,29984.0,3/4,,0
Kameme FM,Eutelsat-70B,11057 V,tp BAA4,29984.0,3/4,,0
Nam Lolwe FM,Eutelsat-70B,11057 V,tp BAA4,29984.0,3/4,,0
Njata FM,Eutelsat-70B,11057 V,tp BAA4,29984.0,3/4,,0
Radio Damal,Eutelsat-70B,11057 V,tp BAA4,29984.0,3/4,,0
Star FM ,Eutelsat-70B,11057 V,tp BAA4,29984.0,3/4,,0
Anguo FM,Eutelsat-70B,11057 V,tp BAA4,29984.0,3/4,,0
ATG Radio,Eutelsat-70B,11057 V,tp BAA4,29984.0,3/4,,0
Osiepe FM,Eutelsat-70B,11057 V,tp BAA4,29984.0,3/4,,0
Hope FM,Eutelsat-70B,11057 V,tp BAA4,29984.0,3/4,,0
Dala FM,Eutelsat-70B,11057 V,tp BAA4,29984.0,3/4,,0
Mayian FM,Eutelsat-70B,11057 V,tp BAA4,29984.0,3/4,,0
Milele FM,Eutelsat-70B,11057 V,tp BAA4,29984.0,3/4,,0
Msenangu FM,Eutelsat-70B,11057 V,tp BAA4,29984.0,3/4,,0
Family Radio ,Eutelsat-70B,11057 V,tp BAA4,29984.0,3/4,,0
Iganjo FM,Eutelsat-70B,11057 V,tp BAA4,29984.0,3/4,,0
Goobjoog FM,Eutelsat-70B,11057 V,tp BAA4,29984.0,3/4,,0
Radio Maisha,Eutelsat-70B,11057 V,tp BAA4,29984.0,3/4,,0
Meru FM,Eutelsat-70B,11057 V,tp BAA4,29984.0,3/4,,0
Bukedde FM,Eutelsat-70B,11057 V,tp BAA4,29984.0,3/4,,0
Emoo FM,Eutelsat-70B,11057 V,tp BAA4,29984.0,3/4,,0
Abood FM,Eutelsat-70B,11057 V,tp BAA4,29984.0,3/4,,0
Kigooco FM,Eutelsat-70B,11057 V,tp BAA4,29984.0,3/4,,0
Taboiyat FM,Eutelsat-70B,11057 V,tp BAA4,29984.0,3/4,,0
VoA TV China,Eutelsat-70B,11069 H,tp BCC3,7325.0,3/5,MPEG-4/HD,44-46
VoA TV China,Eutelsat-70B,11609 H,tp DES3,5417.0,1/2,?-?MPEG-4/HD,0
VoA Deewa TV,Eutelsat-70B,11069 H,tp BCC3,7325.0,3/5,MPEG-4/HD,44-46
Radio Free Asia,Eutelsat-70B,11069 H,tp BCC3,7325.0,3/5,,44-46
Radio Free Asia,Eutelsat-70B,11609 H,tp DES3,5417.0,1/2,,0
VoA Asia,Eutelsat-70B,11069 H,tp BCC3,7325.0,3/5,,44-46
VoA Asia,Eutelsat-70B,11609 H,tp DES3,5417.0,1/2,,0
Kyrgyz mux,Eutelsat-70B,11097 H,tp BCC3,23627.0,4/5,,44-46
Sport ,Eutelsat-70B,11097 H,tp BCC3,23627.0,4/5,MPEG-4/SD,44-46
Ala Too 24,Eutelsat-70B,11097 H,tp BCC3,23627.0,4/5,MPEG-4/SD,44-46
Mir +4,Eutelsat-70B,11097 H,tp BCC3,23627.0,4/5,MPEG-4/SD,44-46
El TR Ilim Bilim,Eutelsat-70B,11097 H,tp BCC3,23627.0,4/5,MPEG-4/SD,44-46
Madaniyat,Eutelsat-70B,11097 H,tp BCC3,23627.0,4/5,MPEG-4/SD,44-46
Muzika ,Eutelsat-70B,11097 H,tp BCC3,23627.0,4/5,MPEG-4/SD,44-46
Balastan,Eutelsat-70B,11097 H,tp BCC3,23627.0,4/5,MPEG-4/SD,44-46
El TR,Eutelsat-70B,11097 H,tp BCC3,23627.0,4/5,MPEG-4/HD,44-46
UTRK,Eutelsat-70B,11097 H,tp BCC3,23627.0,4/5,MPEG-4/HD,44-46
Radyo Manas Radiosy,Eutelsat-70B,11097 H,tp BCC3,23627.0,4/5,,44-46
Tumar FM,Eutelsat-70B,11097 H,tp BCC3,23627.0,4/5,,44-46
