SID,Provider/Channel,Compression,VPID,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,is_Provider,Provider,Languages,Provider_Country
,(feeds),,,DVB-S2,,,11900 V,tp 10,,,,False,,,
,(feeds),,,DVB-S2,,,11940 V,tp 12,,,,False,,,
,(feeds),,,DVB-S2,,,11980 V,tp 14,,,,False,,,
