SID,Provider/Channel,Compression,VPID,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,is_Provider,Provider,Languages,Channel_Country,Provider_Country
4.0,NHK +,MPEG-4/HD,104.0,DVB-S,20000.0,3/4,12145 V,tp 22,0.0,,,NHK +,https://www.lyngsat.com/tvchannels/jp/NHK--.html,False,NBC,Jpn,jp,
6.0,Reach TV,MPEG-4/HD,106.0,DVB-S,20000.0,3/4,12145 V,tp 22,0.0,,,Reach TV,https://www.lyngsat.com/tvchannels/us/Reach-TV.html,False,NBC,Eng,us,
7.0,Taiwan +,MPEG-4/HD,107.0,DVB-S,20000.0,3/4,12145 V,tp 22,0.0,,,Taiwan +,https://www.lyngsat.com/tvchannels/tw/Taiwan--.html,False,NBC,Eng,tw,
7.0,Taiwan +,MPEG-4/HD,107.0,DVB-S,20000.0,3/4,12145 V,tp 22,0.0,,,Taiwan +,https://www.lyngsat.com/tvchannels/tw/Taiwan--.html,False,NBC,Eng,tw,
44.0,Microspace promo,MPEG-4/HD,5185.0,DVB-S,20000.0,3/4,12145 V,tp 22,0.0,,,,,False,NBC,Eng,,
61.0,North Carolina Reading Service,,,DVB-S,20000.0,3/4,12145 V,tp 22,0.0,,,North Carolina Reading Service,https://www.lyngsat.com/radiochannels/us/North-Carolina-Reading-Service.html,False,NBC,Eng,us,
61.0,North Carolina Reading Service,,,DVB-S,20000.0,3/4,12145 V,tp 22,0.0,,,North Carolina Reading Service,https://www.lyngsat.com/radiochannels/us/North-Carolina-Reading-Service.html,False,NBC,Eng,us,
81.0,The Classical Station,,,DVB-S,20000.0,3/4,12145 V,tp 22,0.0,,,The Classical Station,https://www.lyngsat.com/radiochannels/us/The-Classical-Station.html,False,NBC,Eng,us,
81.0,The Classical Station,,,DVB-S,20000.0,3/4,12145 V,tp 22,0.0,,,The Classical Station,https://www.lyngsat.com/radiochannels/us/The-Classical-Station.html,False,NBC,Eng,us,
1015.0,Mix 101.5,,,DVB-S,20000.0,3/4,12145 V,tp 22,0.0,,,Mix 101.5,https://www.lyngsat.com/radiochannels/us/Mix-1015.html,False,NBC,Eng,us,
1015.0,Mix 101.5,,,DVB-S,20000.0,3/4,12145 V,tp 22,0.0,,,Mix 101.5,https://www.lyngsat.com/radiochannels/us/Mix-1015.html,False,NBC,Eng,us,
0.0,50s & 60s Hits,,,DVB-S,20000.0,3/4,12145 V,tp 22,0.0,,,50s & 60s Hits,https://www.lyngsat.com/radiochannels/us/50s-and-60s-Hits.html,False,NBC,,us,
0.0,70s Hits,,,DVB-S,20000.0,3/4,12145 V,tp 22,0.0,,,70s Hits,https://www.lyngsat.com/radiochannels/us/70s-Hits.html,False,NBC,,us,
0.0,Songbook,,,DVB-S,20000.0,3/4,12145 V,tp 22,0.0,,,Songbook,https://www.lyngsat.com/radiochannels/us/Songbook.html,False,NBC,,us,
0.0,80s Hits,,,DVB-S,20000.0,3/4,12145 V,tp 22,0.0,,,80s Hits,https://www.lyngsat.com/radiochannels/us/80s-Hits.html,False,NBC,,us,
0.0,60s Pop Hits,,,DVB-S,20000.0,3/4,12145 V,tp 22,0.0,,,60s Pop Hits,https://www.lyngsat.com/radiochannels/us/60s-Pop-Hits.html,False,NBC,,us,
0.0,Adult Alternative,,,DVB-S,20000.0,3/4,12145 V,tp 22,0.0,,,Adult Alternative,https://www.lyngsat.com/radiochannels/us/Adult-Alternative.html,False,NBC,,us,
0.0,Cashmere,,,DVB-S,20000.0,3/4,12145 V,tp 22,0.0,,,Cashmere,https://www.lyngsat.com/radiochannels/us/Cashmere.html,False,NBC,,us,
0.0,Unforgettable,,,DVB-S,20000.0,3/4,12145 V,tp 22,0.0,,,Unforgettable,https://www.lyngsat.com/radiochannels/us/Unforgettable.html,False,NBC,,us,
0.0,City Lights,,,DVB-S,20000.0,3/4,12145 V,tp 22,0.0,,,City Lights,https://www.lyngsat.com/radiochannels/us/City-Lights.html,False,NBC,,us,
0.0,The Beach,,,DVB-S,20000.0,3/4,12145 V,tp 22,0.0,,,The Beach,https://www.lyngsat.com/radiochannels/us/The-Beach.html,False,NBC,,us,
0.0,Swing Kings,,,DVB-S,20000.0,3/4,12145 V,tp 22,0.0,,,Swing Kings,https://www.lyngsat.com/radiochannels/us/Swing-Kings.html,False,NBC,,us,
0.0,Lucille,,,DVB-S,20000.0,3/4,12145 V,tp 22,0.0,,,Lucille,https://www.lyngsat.com/radiochannels/us/Lucille.html,False,NBC,,us,
0.0,7890,,,DVB-S,20000.0,3/4,12145 V,tp 22,0.0,,,7890,https://www.lyngsat.com/radiochannels/us/7890.html,False,NBC,,us,
0.0,Ensemble,,,DVB-S,20000.0,3/4,12145 V,tp 22,0.0,,,Ensemble,https://www.lyngsat.com/radiochannels/us/Ensemble.html,False,NBC,,us,
0.0,Summer Fun,,,DVB-S,20000.0,3/4,12145 V,tp 22,0.0,,,Summer Fun,https://www.lyngsat.com/radiochannels/us/Summer-Fun.html,False,NBC,,us,
0.0,Summer Fun,,,DVB-S,20000.0,3/4,12145 V,tp 22,0.0,,,Summer Fun,https://www.lyngsat.com/radiochannels/us/Summer-Fun.html,False,NBC,,us,
0.0,Summer Fun,,,DVB-S,20000.0,3/4,12145 V,tp 22,0.0,,,Summer Fun,https://www.lyngsat.com/radiochannels/us/Summer-Fun.html,False,NBC,,us,
0.0,Summer Fun,,,DVB-S,20000.0,3/4,12145 V,tp 22,0.0,,,Summer Fun,https://www.lyngsat.com/radiochannels/us/Summer-Fun.html,False,NBC,,us,
0.0,Fiesta Tropical,,,DVB-S,20000.0,3/4,12145 V,tp 22,0.0,,,Fiesta Tropical,https://www.lyngsat.com/radiochannels/us/Fiesta-Tropical.html,False,NBC,,us,
0.0,Rock Show,,,DVB-S,20000.0,3/4,12145 V,tp 22,0.0,,,Rock Show,https://www.lyngsat.com/radiochannels/us/Rock-Show.html,False,NBC,,us,
0.0,Roadhouse,,,DVB-S,20000.0,3/4,12145 V,tp 22,0.0,,,Roadhouse,https://www.lyngsat.com/radiochannels/us/Roadhouse.html,False,NBC,,us,
0.0,Country Gold,,,DVB-S,20000.0,3/4,12145 V,tp 22,0.0,,,Country Gold,https://www.lyngsat.com/radiochannels/us/Country-Gold.html,False,NBC,,us,
0.0,Nashville USA,,,DVB-S,20000.0,3/4,12145 V,tp 22,0.0,,,Nashville USA,https://www.lyngsat.com/radiochannels/us/Nashville-USA.html,False,NBC,,us,
0.0,Country Music 1,,,DVB-S,20000.0,3/4,12145 V,tp 22,0.0,,,Country Music 1,https://www.lyngsat.com/radiochannels/us/Country-Music-1.html,False,NBC,,us,
0.0,Belissimo,,,DVB-S,20000.0,3/4,12145 V,tp 22,0.0,,,Belissimo,https://www.lyngsat.com/radiochannels/us/Belissimo.html,False,NBC,,us,
0.0,The Light,,,DVB-S,20000.0,3/4,12145 V,tp 22,0.0,,,The Light,https://www.lyngsat.com/radiochannels/us/The-Light.html,False,NBC,,us,
0.0,Plaza,,,DVB-S,20000.0,3/4,12145 V,tp 22,0.0,,,Plaza,https://www.lyngsat.com/radiochannels/us/Plaza.html,False,NBC,,us,
0.0,Impressions,,,DVB-S,20000.0,3/4,12145 V,tp 22,0.0,,,Impressions,https://www.lyngsat.com/radiochannels/us/Impressions.html,False,NBC,,us,
0.0,Renegade Country,,,DVB-S,20000.0,3/4,12145 V,tp 22,0.0,,,Renegade Country,https://www.lyngsat.com/radiochannels/us/Renegade-Country.html,False,NBC,,us,
0.0,Easy Instrumentals,,,DVB-S,20000.0,3/4,12145 V,tp 22,0.0,,,Easy Instrumentals,https://www.lyngsat.com/radiochannels/us/Easy-Instrumentals.html,False,NBC,,us,
0.0,Environmental,,,DVB-S,20000.0,3/4,12145 V,tp 22,0.0,,,Environmental,https://www.lyngsat.com/radiochannels/us/Environmental.html,False,NBC,,us,
0.0,Frequency,,,DVB-S,20000.0,3/4,12145 V,tp 22,0.0,,,Frequency,https://www.lyngsat.com/radiochannels/us/Frequency.html,False,NBC,,us,
0.0,Expressions,,,DVB-S,20000.0,3/4,12145 V,tp 22,0.0,,,Expressions,https://www.lyngsat.com/radiochannels/us/Expressions.html,False,NBC,,us,
0.0,Ambrosia,,,DVB-S,20000.0,3/4,12145 V,tp 22,0.0,,,Ambrosia,https://www.lyngsat.com/radiochannels/us/Ambrosia.html,False,NBC,,us,
0.0,FM-1,,,DVB-S,20000.0,3/4,12145 V,tp 22,0.0,,,FM-1,https://www.lyngsat.com/radiochannels/us/FM-1.html,False,NBC,,us,
0.0,Hitline,,,DVB-S,20000.0,3/4,12145 V,tp 22,0.0,,,Hitline,https://www.lyngsat.com/radiochannels/us/Hitline.html,False,NBC,,us,
0.0,Hot FM,,,DVB-S,20000.0,3/4,12145 V,tp 22,0.0,,,Hot FM,https://www.lyngsat.com/radiochannels/us/Hot-FM.html,False,NBC,,us,
0.0,Strobe,,,DVB-S,20000.0,3/4,12145 V,tp 22,0.0,,,Strobe,https://www.lyngsat.com/radiochannels/us/Strobe.html,False,NBC,,us,
0.0,Little Italy,,,DVB-S,20000.0,3/4,12145 V,tp 22,0.0,,,Little Italy,https://www.lyngsat.com/radiochannels/us/Little-Italy.html,False,NBC,,us,
0.0,Jazz Traditions,,,DVB-S,20000.0,3/4,12145 V,tp 22,0.0,,,Jazz Traditions,https://www.lyngsat.com/radiochannels/us/Jazz-Traditions.html,False,NBC,,us,
0.0,Classic Hits,,,DVB-S,20000.0,3/4,12145 V,tp 22,0.0,,,Classic Hits,https://www.lyngsat.com/radiochannels/us/Classic-Hits.html,False,NBC,,us,
0.0,Kidtunes,,,DVB-S,20000.0,3/4,12145 V,tp 22,0.0,,,Kidtunes,https://www.lyngsat.com/radiochannels/us/Kidtunes.html,False,NBC,,us,
0.0,La Musica,,,DVB-S,20000.0,3/4,12145 V,tp 22,0.0,,,La Musica,https://www.lyngsat.com/radiochannels/us/La-Musica.html,False,NBC,,us,
0.0,Intermezzo,,,DVB-S,20000.0,3/4,12145 V,tp 22,0.0,,,Intermezzo,https://www.lyngsat.com/radiochannels/us/Intermezzo.html,False,NBC,,us,
0.0,Love Songs,,,DVB-S,20000.0,3/4,12145 V,tp 22,0.0,,,Love Songs,https://www.lyngsat.com/radiochannels/us/Love-Songs.html,False,NBC,,us,
0.0,Feedback,,,DVB-S,20000.0,3/4,12145 V,tp 22,0.0,,,Feedback,https://www.lyngsat.com/radiochannels/us/Feedback.html,False,NBC,,us,
0.0,Metro,,,DVB-S,20000.0,3/4,12145 V,tp 22,0.0,,,Metro,https://www.lyngsat.com/radiochannels/us/Metro.html,False,NBC,,us,
0.0,Mojito,,,DVB-S,20000.0,3/4,12145 V,tp 22,0.0,,,Mojito,https://www.lyngsat.com/radiochannels/us/Mojito.html,False,NBC,,us,
0.0,Moodscapes,,,DVB-S,20000.0,3/4,12145 V,tp 22,0.0,,,Moodscapes,https://www.lyngsat.com/radiochannels/us/Moodscapes.html,False,NBC,,us,
0.0,Aura,,,DVB-S,20000.0,3/4,12145 V,tp 22,0.0,,,Aura,https://www.lyngsat.com/radiochannels/us/Aura.html,False,NBC,,us,
0.0,Shine,,,DVB-S,20000.0,3/4,12145 V,tp 22,0.0,,,Shine,https://www.lyngsat.com/radiochannels/us/Shine.html,False,NBC,,us,
0.0,The Party Playlist,,,DVB-S,20000.0,3/4,12145 V,tp 22,0.0,,,The Party Playlist,https://www.lyngsat.com/radiochannels/us/The-Party-Playlist.html,False,NBC,,us,
