SID,Provider/Channel,Compression,VPID,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,Pkg_Name,Pkg_URL,is_Provider,Provider,Languages,Channel_Country,Provider_Country
2250.0,Wat Pa Phu Pha Sung,,,DVB-S,30000.0,5/6,11050 H,tp 3H,,,,Wat Pa Phu Pha Sung,https://www.lyngsat.com/radiochannels/th/Wat-Pa-Phu-Pha-Sung.html,,,False,,Tha,th,
,(feeds),,,DVB-S2,1650.0,5/6,11112 H,,,,,,,,,False,,,,
,(feeds),,,DVB-S2,1600.0,5/6,11114 H,,,,,,,,,False,,,,
,(feeds),,,DVB-S2,1665.0,3/4,11116 H,,,,,,,,,False,,,,
,(feeds),,,DVB-S2,2500.0,5/6,11118 H,,,,,,,,,False,,,,
,(feeds),,,DVB-S2,1650.0,5/6,11121 H,,,,,,,,,False,,,,
,(feeds),,,DVB-S2,1650.0,5/6,11124 H,,,,,,,,,False,,,,
,(feeds),,,DVB-S2,1640.0,5/6,11128 H,,,,,,,,,False,,,,
,(feeds),,,DVB-S2,1650.0,5/6,11132 H,,,,,,,,,False,,,,
,(feeds),,,DVB-S2,2500.0,5/6,11147 H,,,,,,,,,False,,,,
,(feeds),,,DVB-S,2500.0,5/6,11157 H,,,,,,,,,False,,,,
,(feeds),,,DVB-S2,2500.0,5/6,11160 H,,,,,,,,,False,,,,
,(feeds),,,DVB-S2,1640.0,3/4,11164 H,,,,,,,,,False,,,,
,(feeds),,,DVB-S2,2500.0,5/6,11166 H,,,,,,,,,False,,,,
,(feeds),,,DVB-S2,2500.0,5/6,11173 H,,,,,,,,,False,,,,
,(feeds),,,DVB-S2,2500.0,3/4,11176 H,,,,,,,,,False,,,,
,(feeds),,,DVB-S,2500.0,3/4,11183 H,,,,,,,,,False,,,,
,(feeds),,,DVB-S2,2500.0,5/6,11186 H,,,,,,,,,False,,,,
1.0,Alkafeel TV,?-?MPEG-4/HD,512.0,DVB-S2,2500.0,3/4,11153 H,,,,,,,,,False,,Ara,,
1150.0,Radio FM 96,,,DVB-S2,30000.0,3/4,11480 H,tp 7H,,,,Radio FM 96,https://www.lyngsat.com/radiochannels/kh/Radio-FM-96.html,,,False,,Khm,kh,
1151.0,D Radio 1,,,DVB-S2,30000.0,3/4,11480 H,tp 7H,,,,D Radio 1,https://www.lyngsat.com/radiochannels/kh/D-Radio-1.html,,,False,,Khm,kh,
1154.0,ABC Cambodia,,,DVB-S2,30000.0,3/4,11480 H,tp 7H,,,,ABC Cambodia,https://www.lyngsat.com/radiochannels/kh/ABC-Cambodia.html,,,False,,Khm,kh,
1155.0,RNK FM,,,DVB-S2,30000.0,3/4,11480 H,tp 7H,,,,RNK FM,https://www.lyngsat.com/radiochannels/kh/RNK-FM.html,,,False,,Khm,kh,
1155.0,RNK FM,,,DVB-S2,30000.0,3/4,11480 H,tp 7H,,,,RNK FM,https://www.lyngsat.com/radiochannels/kh/RNK-FM.html,,,False,,Khm,kh,
1157.0,D Radio 2,,,DVB-S2,30000.0,3/4,11480 H,tp 7H,,,,D Radio 2,https://www.lyngsat.com/radiochannels/kh/D-Radio-2.html,,,False,,Khm,kh,
1158.0,Royal Cambodia Armed Forces Radio FM 98,,,DVB-S2,30000.0,3/4,11480 H,tp 7H,,,,Royal Cambodia Armed Forces Radio FM 98,https://www.lyngsat.com/radiochannels/kh/Royal-Cambodia-Armed-Forces-Radio-FM-98.html,,,False,,Khm,kh,
1159.0,D Radio 3,,,DVB-S2,30000.0,3/4,11480 H,tp 7H,,,,D Radio 3,https://www.lyngsat.com/radiochannels/kh/D-Radio-3.html,,,False,,Khm,kh,
1160.0,Tonle Radio Station,,,DVB-S2,30000.0,3/4,11480 H,tp 7H,,,,Tonle Radio Station,https://www.lyngsat.com/radiochannels/kh/Tonle-Radio-Station.html,,,False,,Khm,kh,
,,,,,,,,,,,,DVB-S28PSK25003/4,,,,False,,,,
,,,,,,,,,,,,DVB-S28PSK25003/4,,,,False,,,,
