SID,Provider/Channel,Compression,VPID,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,is_Provider,Provider,Languages,Channel_Country,Provider_Country
5.0,Al Wousta TV,MPEG-4/HD,350.0,DVB-S,27500.0,5/6,11590 V,,,,,Al Wousta TV,https://www.lyngsat.com/tvchannels/ae/Al-Wousta-TV.html,False,Sharjah Broadcasting Authority,Ara,ae,
5.0,Al Wousta TV,MPEG-4/HD,350.0,DVB-S,27500.0,5/6,11590 V,,,,,Al Wousta TV,https://www.lyngsat.com/tvchannels/ae/Al-Wousta-TV.html,False,Sharjah Broadcasting Authority,Ara,ae,
6.0,Sharjah Sports,MPEG-4/HD,200.0,DVB-S,27500.0,5/6,11590 V,,,,,Sharjah Sports,https://www.lyngsat.com/tvchannels/ae/Sharjah-Sports.html,False,Sharjah Broadcasting Authority,Ara Eng,ae,
6.0,Sharjah Sports,MPEG-4/HD,200.0,DVB-S,27500.0,5/6,11590 V,,,,,Sharjah Sports,https://www.lyngsat.com/tvchannels/ae/Sharjah-Sports.html,False,Sharjah Broadcasting Authority,Ara Eng,ae,
6.0,Sharjah Sports,MPEG-4/HD,200.0,DVB-S,27500.0,5/6,11590 V,,,,,Sharjah Sports,https://www.lyngsat.com/tvchannels/ae/Sharjah-Sports.html,False,Sharjah Broadcasting Authority,Ara Eng,ae,
6.0,Sharjah Sports,MPEG-4/HD,200.0,DVB-S,27500.0,5/6,11590 V,,,,,Sharjah Sports,https://www.lyngsat.com/tvchannels/ae/Sharjah-Sports.html,False,Sharjah Broadcasting Authority,Ara Eng,ae,
7.0,Sharjah Sports,MPEG-2/SD,320.0,DVB-S,27500.0,5/6,11590 V,,,,,Sharjah Sports,https://www.lyngsat.com/tvchannels/ae/Sharjah-Sports.html,False,Sharjah Broadcasting Authority,Ara Eng,ae,
7.0,Sharjah Sports,MPEG-2/SD,320.0,DVB-S,27500.0,5/6,11590 V,,,,,Sharjah Sports,https://www.lyngsat.com/tvchannels/ae/Sharjah-Sports.html,False,Sharjah Broadcasting Authority,Ara Eng,ae,
7.0,Sharjah Sports,MPEG-2/SD,320.0,DVB-S,27500.0,5/6,11590 V,,,,,Sharjah Sports,https://www.lyngsat.com/tvchannels/ae/Sharjah-Sports.html,False,Sharjah Broadcasting Authority,Ara Eng,ae,
7.0,Sharjah Sports,MPEG-2/SD,320.0,DVB-S,27500.0,5/6,11590 V,,,,,Sharjah Sports,https://www.lyngsat.com/tvchannels/ae/Sharjah-Sports.html,False,Sharjah Broadcasting Authority,Ara Eng,ae,
9.0,Sharjah Radio,,,DVB-S,27500.0,5/6,11590 V,,,,,Sharjah Radio,https://www.lyngsat.com/radiochannels/ae/Sharjah-Radio.html,False,Sharjah Broadcasting Authority,Ara,ae,
9.0,Sharjah Radio,,,DVB-S,27500.0,5/6,11590 V,,,,,Sharjah Radio,https://www.lyngsat.com/radiochannels/ae/Sharjah-Radio.html,False,Sharjah Broadcasting Authority,Ara,ae,
10.0,Sharjah Quran,,,DVB-S,27500.0,5/6,11590 V,,,,,Sharjah Quran,https://www.lyngsat.com/radiochannels/ae/Sharjah-Quran.html,False,Sharjah Broadcasting Authority,Ara,ae,
10.0,Sharjah Quran,,,DVB-S,27500.0,5/6,11590 V,,,,,Sharjah Quran,https://www.lyngsat.com/radiochannels/ae/Sharjah-Quran.html,False,Sharjah Broadcasting Authority,Ara,ae,
11.0,Pulse 95,,,DVB-S,27500.0,5/6,11590 V,,,,,Pulse 95,https://www.lyngsat.com/radiochannels/ae/Pulse-95.html,False,Sharjah Broadcasting Authority,Eng,ae,
11.0,Pulse 95,,,DVB-S,27500.0,5/6,11590 V,,,,,Pulse 95,https://www.lyngsat.com/radiochannels/ae/Pulse-95.html,False,Sharjah Broadcasting Authority,Eng,ae,
12.0,Watar FM,,,DVB-S,27500.0,5/6,11590 V,,,,,Watar FM,https://www.lyngsat.com/radiochannels/ae/Watar-FM.html,False,Sharjah Broadcasting Authority,Ara,ae,
12.0,Watar FM,,,DVB-S,27500.0,5/6,11590 V,,,,,Watar FM,https://www.lyngsat.com/radiochannels/ae/Watar-FM.html,False,Sharjah Broadcasting Authority,Ara,ae,
1.0,Al Jadeed,?-?MPEG-4/HD,512.0,DVB-S2,2850.0,3/4,11680 V,,,,,,,False,Sharjah Broadcasting Authority,Ara,,
,,,,,,,,,,,,DVB-S28PSK28503/4,,False,Sharjah Broadcasting Authority,,,
