SID,Provider/Channel,Compression,VPID,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,Pkg_Name,Pkg_URL,is_Provider,Provider,Languages,Channel_Country,Provider_Country
805.0,Juvelirochka,MPEG-4/SD,205.0,DVB-S2,22250,2/3,11530 H,tp D3,0,,,Juvelirochka,https://www.lyngsat.com/tvchannels/ru/Juvelirochka.html,,,False,Arktik Telekom,Rus,ru,
805.0,Juvelirochka,MPEG-4/SD,205.0,DVB-S2,22250,2/3,11530 H,tp D3,0,,,Juvelirochka,https://www.lyngsat.com/tvchannels/ru/Juvelirochka.html,,,False,Arktik Telekom,Rus,ru,
738.0,Juvelirochka,MPEG-2/SD,838.0,DVB-S,38400,5/6,11665 V,tp D8,0,,,Juvelirochka,https://www.lyngsat.com/tvchannels/ru/Juvelirochka.html,,,False,Arktik Telekom,Rus,ru,
738.0,Juvelirochka,MPEG-2/SD,838.0,DVB-S,38400,5/6,11665 V,tp D8,0,,,Juvelirochka,https://www.lyngsat.com/tvchannels/ru/Juvelirochka.html,,,False,Arktik Telekom,Rus,ru,
738.0,Juvelirochka,MPEG-2/SD,838.0,DVB-S,38400,5/6,11665 V,tp D8,0,,,Juvelirochka,https://www.lyngsat.com/tvchannels/ru/Juvelirochka.html,,,False,Arktik Telekom,Rus,ru,
738.0,Juvelirochka,MPEG-2/SD,838.0,DVB-S,38400,5/6,11665 V,tp D8,0,,,Juvelirochka,https://www.lyngsat.com/tvchannels/ru/Juvelirochka.html,,,False,Arktik Telekom,Rus,ru,
809.0,STS Love (+7h),MPEG-4/SD,209.0,DVB-S2,22250,2/3,11530 H,tp D3,0,,,STS Love (+7h),https://www.lyngsat.com/tvchannels/ru/STS-Love.html,,,False,Arktik Telekom,Rus,ru,
817.0,Leomax 24,MPEG-4/SD,217.0,DVB-S2,22250,2/3,11530 H,tp D3,0,,,Leomax 24,https://www.lyngsat.com/tvchannels/ru/Leomax-24.html,,,False,Arktik Telekom,Rus,ru,
817.0,Leomax 24,MPEG-4/SD,217.0,DVB-S2,22250,2/3,11530 H,tp D3,0,,,Leomax 24,https://www.lyngsat.com/tvchannels/ru/Leomax-24.html,,,False,Arktik Telekom,Rus,ru,
817.0,Leomax 24,MPEG-4/SD,217.0,DVB-S2,22250,2/3,11530 H,tp D3,0,,,Leomax 24,https://www.lyngsat.com/tvchannels/ru/Leomax-24.html,,,False,Arktik Telekom,Rus,ru,
817.0,Leomax 24,MPEG-4/SD,217.0,DVB-S2,22250,2/3,11530 H,tp D3,0,,,Leomax 24,https://www.lyngsat.com/tvchannels/ru/Leomax-24.html,,,False,Arktik Telekom,Rus,ru,
728.0,Leomax 24,MPEG-2/SD,828.0,DVB-S,38400,5/6,11665 V,tp D8,0,,,Leomax 24,https://www.lyngsat.com/tvchannels/ru/Leomax-24.html,,,False,Arktik Telekom,Rus,ru,
728.0,Leomax 24,MPEG-2/SD,828.0,DVB-S,38400,5/6,11665 V,tp D8,0,,,Leomax 24,https://www.lyngsat.com/tvchannels/ru/Leomax-24.html,,,False,Arktik Telekom,Rus,ru,
728.0,Leomax 24,MPEG-2/SD,828.0,DVB-S,38400,5/6,11665 V,tp D8,0,,,Leomax 24,https://www.lyngsat.com/tvchannels/ru/Leomax-24.html,,,False,Arktik Telekom,Rus,ru,
728.0,Leomax 24,MPEG-2/SD,828.0,DVB-S,38400,5/6,11665 V,tp D8,0,,,Leomax 24,https://www.lyngsat.com/tvchannels/ru/Leomax-24.html,,,False,Arktik Telekom,Rus,ru,
769.0,[test card],MPEG-2/SD,869.0,DVB-S,38400,5/6,11665 V,tp D8,0,,,,,,,False,Arktik Telekom,,,
793.0,Europa Plus (+5h),,,DVB-S,38400,5/6,11665 V,tp D8,0,,,Europa Plus (+5h),https://www.lyngsat.com/radiochannels/ru/Europa-Plus.html,,,False,Arktik Telekom,Rus,ru,
793.0,Europa Plus (+5h),,,DVB-S,38400,5/6,11665 V,tp D8,0,,,Europa Plus (+5h),https://www.lyngsat.com/radiochannels/ru/Europa-Plus.html,,,False,Arktik Telekom,Rus,ru,
794.0,Retro FM Rossiya (+5h),,,DVB-S,38400,5/6,11665 V,tp D8,0,,,Retro FM Rossiya (+5h),https://www.lyngsat.com/radiochannels/ru/Retro-FM-Rossiya.html,,,False,Arktik Telekom,Rus,ru,
794.0,Retro FM Rossiya (+5h),,,DVB-S,38400,5/6,11665 V,tp D8,0,,,Retro FM Rossiya (+5h),https://www.lyngsat.com/radiochannels/ru/Retro-FM-Rossiya.html,,,False,Arktik Telekom,Rus,ru,
