SID,Provider/Channel,Compression,VPID,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,is_Provider,Provider,Languages,Provider_Country
,,,,,,,3734 H,tp 2C1,,,,False,,,
,,,,,,,3735 V,tp 1C1,,,,False,,,
,,,,,,,3769 H,tp 4C1,,,,False,,,
,,,,,,,3773 H,tp 4C1,,,,False,,,
,,,,,,,3798 H,tp 4C1,,,,False,,,
,,,,,,,3818 H,tp 6C1,,,,False,,,
,,,,,,,3826 V,tp 7C1,,,,False,,,
,,,,,,,3830 H,tp 6C1,,,,False,,,
,,,,,,,3832 V,tp 7C1,,,,False,,,
,,,,,,,3851 V,tp 7C1,,,,False,,,
,,,,,,,3867 H,tp 8C1,,,,False,,,
,,,,,,,4078 V,tp 19C3,,,,False,,,
,,,,,,,4096 V,tp 19C3,,,,False,,,
,,,,,,,4120 V,tp 21C3,,,,False,,,
,,,,,,,11984 H,tp 15K,,,,False,,,
,,,,,,,12028 H,tp 17K,,,,False,,,
,,,,,,,12091 V,tp 20K,,,,False,,,
,,,,,,,12126 V,tp 22K,,,,False,,,
,,,,,,,12136 V,tp 22K,,,,False,,,
,,,,,,,12151 V,tp 22K,,,,False,,,
,,,,,,,12157 V,tp 22K,,,,False,,,
,,,,,,,12165 H,tp 23K,,,,False,,,
,,,,,,,12165 V,tp 24K,,,,False,,,
,,,,,,,12172 V,tp 24K,,,,False,,,
,,,,,,,12193 V,tp 24K,,,,False,,,
