SID,Provider/Channel,Compression,VPID,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,Pkg_Name,Pkg_URL,is_Provider,Provider,Languages,Channel_Country,Provider_Country
1400.0,ABC Radio Sydney,,,DVB-S2,1644,3/4,12443 V,tp 4,,,,ABC Radio Sydney,https://www.lyngsat.com/radiochannels/au/ABC-Radio-Sydney.html,,,False,ABC Sydney,Eng,au,
1400.0,ABC Radio Sydney,,,DVB-S2,1644,3/4,12443 V,tp 4,,,,ABC Radio Sydney,https://www.lyngsat.com/radiochannels/au/ABC-Radio-Sydney.html,,,False,ABC Sydney,Eng,au,
1400.0,ABC Radio Sydney,,,DVB-S2,1644,3/4,12443 V,tp 4,,,,ABC Radio Sydney,https://www.lyngsat.com/radiochannels/au/ABC-Radio-Sydney.html,,,False,ABC Sydney,Eng,au,
1600.0,ABC Radio Sydney,,,DVB-S2,1644,3/4,12443 V,tp 4,,,,ABC Radio Sydney,https://www.lyngsat.com/radiochannels/au/ABC-Radio-Sydney.html,,,False,ABC Sydney,Eng,au,
1600.0,ABC Radio Sydney,,,DVB-S2,1644,3/4,12443 V,tp 4,,,,ABC Radio Sydney,https://www.lyngsat.com/radiochannels/au/ABC-Radio-Sydney.html,,,False,ABC Sydney,Eng,au,
1600.0,ABC Radio Sydney,,,DVB-S2,1644,3/4,12443 V,tp 4,,,,ABC Radio Sydney,https://www.lyngsat.com/radiochannels/au/ABC-Radio-Sydney.html,,,False,ABC Sydney,Eng,au,
1600.0,ABC Radio Sydney,,,DVB-S2,1644,3/4,12443 V,tp 4,,,,ABC Radio Sydney,https://www.lyngsat.com/radiochannels/au/ABC-Radio-Sydney.html,,,False,ABC Sydney,Eng,au,
1600.0,ABC Radio Sydney,,,DVB-S2,1644,3/4,12443 V,tp 4,,,,ABC Radio Sydney,https://www.lyngsat.com/radiochannels/au/ABC-Radio-Sydney.html,,,False,ABC Sydney,Eng,au,
1600.0,ABC Radio Sydney,,,DVB-S2,1644,3/4,12443 V,tp 4,,,,ABC Radio Sydney,https://www.lyngsat.com/radiochannels/au/ABC-Radio-Sydney.html,,,False,ABC Sydney,Eng,au,
1600.0,ABC Radio Sydney,,,DVB-S2,1644,3/4,12443 V,tp 4,,,,ABC Radio Sydney,https://www.lyngsat.com/radiochannels/au/ABC-Radio-Sydney.html,,,False,ABC Sydney,Eng,au,
1600.0,ABC Radio Sydney,,,DVB-S2,1644,3/4,12443 V,tp 4,,,,ABC Radio Sydney,https://www.lyngsat.com/radiochannels/au/ABC-Radio-Sydney.html,,,False,ABC Sydney,Eng,au,
1600.0,ABC Radio Sydney,,,DVB-S2,1644,3/4,12443 V,tp 4,,,,ABC Radio Sydney,https://www.lyngsat.com/radiochannels/au/ABC-Radio-Sydney.html,,,False,ABC Sydney,Eng,au,
1600.0,ABC Radio Sydney,,,DVB-S2,1644,3/4,12443 V,tp 4,,,,ABC Radio Sydney,https://www.lyngsat.com/radiochannels/au/ABC-Radio-Sydney.html,,,False,ABC Sydney,Eng,au,
685.0,ABC Radio Sydney,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Radio Sydney,https://www.lyngsat.com/radiochannels/au/ABC-Radio-Sydney.html,,,False,ABC Sydney,Eng,au,
685.0,ABC Radio Sydney,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Radio Sydney,https://www.lyngsat.com/radiochannels/au/ABC-Radio-Sydney.html,,,False,ABC Sydney,Eng,au,
685.0,ABC Radio Sydney,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Radio Sydney,https://www.lyngsat.com/radiochannels/au/ABC-Radio-Sydney.html,,,False,ABC Sydney,Eng,au,
685.0,ABC Radio Sydney,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Radio Sydney,https://www.lyngsat.com/radiochannels/au/ABC-Radio-Sydney.html,,,False,ABC Sydney,Eng,au,
685.0,ABC Radio Sydney,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Radio Sydney,https://www.lyngsat.com/radiochannels/au/ABC-Radio-Sydney.html,,,False,ABC Sydney,Eng,au,
685.0,ABC Radio Sydney,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Radio Sydney,https://www.lyngsat.com/radiochannels/au/ABC-Radio-Sydney.html,,,False,ABC Sydney,Eng,au,
685.0,ABC Radio Sydney,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Radio Sydney,https://www.lyngsat.com/radiochannels/au/ABC-Radio-Sydney.html,,,False,ABC Sydney,Eng,au,
685.0,ABC Radio Sydney,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Radio Sydney,https://www.lyngsat.com/radiochannels/au/ABC-Radio-Sydney.html,,,False,ABC Sydney,Eng,au,
685.0,ABC Radio Sydney,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Radio Sydney,https://www.lyngsat.com/radiochannels/au/ABC-Radio-Sydney.html,,,False,ABC Sydney,Eng,au,
685.0,ABC Radio Sydney,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Radio Sydney,https://www.lyngsat.com/radiochannels/au/ABC-Radio-Sydney.html,,,False,ABC Sydney,Eng,au,
