SID,Provider/Channel,Compression,VPID,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,is_Provider,Provider,FEC,SR,SYSTEM,Languages,Channel_Country
,TV Nazaré,1206-1,,3898 L,tp 64,0.0,,https://www.lyngsat.com/providers/br/TV-Nazare.html,TV Nazaré,https://www.lyngsat.com/tvchannels/br/TV-Nazare.html,True,TV Nazaré,3/4,3920.0,DVB-S2,,br
,TV Nazaré,1206-1,,3898 L,tp 64,0.0,,https://www.lyngsat.com/providers/br/TV-Nazare.html,TV Nazaré,https://www.lyngsat.com/tvchannels/br/TV-Nazare.html,True,TV Nazaré,3/4,3920.0,DVB-S2,,br
,TV Nazaré,1206-1,,3898 L,tp 64,0.0,,https://www.lyngsat.com/providers/br/TV-Nazare.html,TV Nazaré,https://www.lyngsat.com/tvchannels/br/TV-Nazare.html,True,TV Nazaré,3/4,3920.0,DVB-S2,,br
,TV Nazaré,1206-1,,3898 L,tp 64,0.0,,https://www.lyngsat.com/providers/br/TV-Nazare.html,TV Nazaré,https://www.lyngsat.com/tvchannels/br/TV-Nazare.html,True,TV Nazaré,3/4,3920.0,DVB-S2,,br
1,TV Nazaré,MPEG-4/HD,1001.0,3898 L,tp 64,0.0,,https://www.lyngsat.com/providers/br/TV-Nazare.html,TV Nazaré,https://www.lyngsat.com/tvchannels/br/TV-Nazare.html,True,TV Nazaré,3/4,3920.0,DVB-S2,Por,br
1,TV Nazaré,MPEG-4/HD,1001.0,3898 L,tp 64,0.0,,https://www.lyngsat.com/providers/br/TV-Nazare.html,TV Nazaré,https://www.lyngsat.com/tvchannels/br/TV-Nazare.html,True,TV Nazaré,3/4,3920.0,DVB-S2,Por,br
1,TV Nazaré,MPEG-4/HD,1001.0,3898 L,tp 64,0.0,,https://www.lyngsat.com/providers/br/TV-Nazare.html,TV Nazaré,https://www.lyngsat.com/tvchannels/br/TV-Nazare.html,True,TV Nazaré,3/4,3920.0,DVB-S2,Por,br
1,TV Nazaré,MPEG-4/HD,1001.0,3898 L,tp 64,0.0,,https://www.lyngsat.com/providers/br/TV-Nazare.html,TV Nazaré,https://www.lyngsat.com/tvchannels/br/TV-Nazare.html,True,TV Nazaré,3/4,3920.0,DVB-S2,Por,br
1000,TV Nazaré,MPEG-4/1seg,101.0,3898 L,tp 64,0.0,,https://www.lyngsat.com/providers/br/TV-Nazare.html,TV Nazaré,https://www.lyngsat.com/tvchannels/br/TV-Nazare.html,True,TV Nazaré,3/4,3920.0,DVB-S2,Por,br
1000,TV Nazaré,MPEG-4/1seg,101.0,3898 L,tp 64,0.0,,https://www.lyngsat.com/providers/br/TV-Nazare.html,TV Nazaré,https://www.lyngsat.com/tvchannels/br/TV-Nazare.html,True,TV Nazaré,3/4,3920.0,DVB-S2,Por,br
1000,TV Nazaré,MPEG-4/1seg,101.0,3898 L,tp 64,0.0,,https://www.lyngsat.com/providers/br/TV-Nazare.html,TV Nazaré,https://www.lyngsat.com/tvchannels/br/TV-Nazare.html,True,TV Nazaré,3/4,3920.0,DVB-S2,Por,br
1000,TV Nazaré,MPEG-4/1seg,101.0,3898 L,tp 64,0.0,,https://www.lyngsat.com/providers/br/TV-Nazare.html,TV Nazaré,https://www.lyngsat.com/tvchannels/br/TV-Nazare.html,True,TV Nazaré,3/4,3920.0,DVB-S2,Por,br
1,Exitosa TV,1-1MPEG-4/SD,308.0,3910 L,tp 66,0.0,,,,,False,TV Nazaré,3/4,2455.0,DVB-S2,Spa,
1,Radio Karibeña,,,3910 L,tp 66,0.0,,,Radio Karibeña,https://www.lyngsat.com/radiochannels/pe/Radio-Karibena.html,False,TV Nazaré,3/4,2455.0,DVB-S2,Spa,pe
1,Radio Karibeña,,,3910 L,tp 66,0.0,,,Radio Karibeña,https://www.lyngsat.com/radiochannels/pe/Radio-Karibena.html,False,TV Nazaré,3/4,2455.0,DVB-S2,Spa,pe
1,Exitosa,,,3910 L,tp 66,0.0,,,Exitosa,https://www.lyngsat.com/radiochannels/pe/Exitosa.html,False,TV Nazaré,3/4,2455.0,DVB-S2,Spa,pe
1,Exitosa,,,3910 L,tp 66,0.0,,,Exitosa,https://www.lyngsat.com/radiochannels/pe/Exitosa.html,False,TV Nazaré,3/4,2455.0,DVB-S2,Spa,pe
1,Radio La Kalle,,,3910 L,tp 66,0.0,,,Radio La Kalle,https://www.lyngsat.com/radiochannels/pe/Radio-La-Kalle.html,False,TV Nazaré,3/4,2455.0,DVB-S2,Spa,pe
1,Radio La Kalle,,,3910 L,tp 66,0.0,,,Radio La Kalle,https://www.lyngsat.com/radiochannels/pe/Radio-La-Kalle.html,False,TV Nazaré,3/4,2455.0,DVB-S2,Spa,pe
1,Z Rock & Pop,,,3910 L,tp 66,0.0,,,Z Rock & Pop,https://www.lyngsat.com/radiochannels/pe/Z-Rock-and-Pop.html,False,TV Nazaré,3/4,2455.0,DVB-S2,Spa,pe
1,Z Rock & Pop,,,3910 L,tp 66,0.0,,,Z Rock & Pop,https://www.lyngsat.com/radiochannels/pe/Z-Rock-and-Pop.html,False,TV Nazaré,3/4,2455.0,DVB-S2,Spa,pe
,AMC Networks International Latin America,853-201,,3923 R,tp 65,0.0,PowerVu,https://www.lyngsat.com/providers/us/AMC-Networks-International-Latin-America.html,,,True,AMC Networks International Latin America,5/6,30000.0,DVB-S2,,
,AMC Networks International Latin America,853-201,,3923 R,tp 65,0.0,PowerVu,https://www.lyngsat.com/providers/us/AMC-Networks-International-Latin-America.html,,,True,AMC Networks International Latin America,5/6,30000.0,DVB-S2,,
,AMC Networks International Latin America,1-4,,4095 R,tp 73,0.0,PowerVu,https://www.lyngsat.com/providers/us/AMC-Networks-International-Latin-America.html,,,True,AMC Networks International Latin America,5/6,30000.0,DVB-S2,,
,AMC Networks International Latin America,1-4,,4095 R,tp 73,0.0,PowerVu,https://www.lyngsat.com/providers/us/AMC-Networks-International-Latin-America.html,,,True,AMC Networks International Latin America,5/6,30000.0,DVB-S2,,
101,Film & Arts Brasil,MPEG-4/HD,100.0,3923 R,tp 65,0.0,PowerVu,,Film & Arts Brasil,https://www.lyngsat.com/tvchannels/ar/Film-and-Arts-Brasil.html,False,AMC Networks International Latin America,5/6,30000.0,DVB-S2,Por Eng Por,ar
102,Más Chic Estados Unidos,MPEG-4/HD,200.0,3923 R,tp 65,0.0,PowerVu,,Más Chic Estados Unidos,https://www.lyngsat.com/tvchannels/us/Mas-Chic-Estados-Unidos.html,False,AMC Networks International Latin America,5/6,30000.0,DVB-S2,Spa Eng Spa,us
103,Film & Arts México,MPEG-4/HD,300.0,3923 R,tp 65,0.0,PowerVu,,Film & Arts México,https://www.lyngsat.com/tvchannels/ar/Film-and-Arts-Mexico.html,False,AMC Networks International Latin America,5/6,30000.0,DVB-S2,Spa Eng Spa,ar
104,AMC Colombia,MPEG-4/HD,400.0,3923 R,tp 65,0.0,PowerVu,,AMC Colombia,https://www.lyngsat.com/tvchannels/us/AMC-Colombia.html,False,AMC Networks International Latin America,5/6,30000.0,DVB-S2,Spa Eng Spa Eng,us
105,[AMC Networks International test card],MPEG-4/HD,501.0,3923 R,tp 65,0.0,PowerVu,,,,False,AMC Networks International Latin America,5/6,30000.0,DVB-S2,Por,
108,[AMC Networks International test card],MPEG-4/SD,1660.0,3923 R,tp 65,0.0,PowerVu,,,,False,AMC Networks International Latin America,5/6,30000.0,DVB-S2,,
106,AMC Brasil,MPEG-4/HD,601.0,3923 R,tp 65,0.0,PowerVu,,AMC Brasil,https://www.lyngsat.com/tvchannels/us/AMC-Brasil.html,False,AMC Networks International Latin America,5/6,30000.0,DVB-S2,Por Eng Por,us
107,AMC México,MPEG-4/HD,701.0,3923 R,tp 65,0.0,PowerVu,,AMC México,https://www.lyngsat.com/tvchannels/us/AMC-Mexico.html,False,AMC Networks International Latin America,5/6,30000.0,DVB-S2,Spa Eng Spa,us
,América (Peru),1-1,,3923 L,tp 66,0.0,Director,https://www.lyngsat.com/providers/pe/America.html,América (Peru),https://www.lyngsat.com/tvchannels/pe/America.html,True,América (Peru),3/4,7000.0,DVB-S2,,pe
,América (Peru),1-1,,3923 L,tp 66,0.0,Director,https://www.lyngsat.com/providers/pe/America.html,América (Peru),https://www.lyngsat.com/tvchannels/pe/America.html,True,América (Peru),3/4,7000.0,DVB-S2,,pe
,América (Peru),1-1,,3923 L,tp 66,0.0,Director,https://www.lyngsat.com/providers/pe/America.html,América (Peru),https://www.lyngsat.com/tvchannels/pe/America.html,True,América (Peru),3/4,7000.0,DVB-S2,,pe
1,América (Peru),MPEG-4/HD,101.0,3923 L,tp 66,0.0,Director,https://www.lyngsat.com/providers/pe/America.html,América (Peru),https://www.lyngsat.com/tvchannels/pe/America.html,True,América (Peru),3/4,7000.0,DVB-S2,Spa,pe
1,América (Peru),MPEG-4/HD,101.0,3923 L,tp 66,0.0,Director,https://www.lyngsat.com/providers/pe/America.html,América (Peru),https://www.lyngsat.com/tvchannels/pe/America.html,True,América (Peru),3/4,7000.0,DVB-S2,Spa,pe
1,América (Peru),MPEG-4/HD,101.0,3923 L,tp 66,0.0,Director,https://www.lyngsat.com/providers/pe/America.html,América (Peru),https://www.lyngsat.com/tvchannels/pe/America.html,True,América (Peru),3/4,7000.0,DVB-S2,Spa,pe
2,América (Peru),MPEG-4/HD,201.0,3923 L,tp 66,0.0,Director,https://www.lyngsat.com/providers/pe/America.html,América (Peru),https://www.lyngsat.com/tvchannels/pe/America.html,True,América (Peru),3/4,7000.0,DVB-S2,Spa,pe
2,América (Peru),MPEG-4/HD,201.0,3923 L,tp 66,0.0,Director,https://www.lyngsat.com/providers/pe/America.html,América (Peru),https://www.lyngsat.com/tvchannels/pe/America.html,True,América (Peru),3/4,7000.0,DVB-S2,Spa,pe
2,América (Peru),MPEG-4/HD,201.0,3923 L,tp 66,0.0,Director,https://www.lyngsat.com/providers/pe/America.html,América (Peru),https://www.lyngsat.com/tvchannels/pe/America.html,True,América (Peru),3/4,7000.0,DVB-S2,Spa,pe
3,América (Peru),MPEG-4/HD,301.0,3923 L,tp 66,0.0,Director,https://www.lyngsat.com/providers/pe/America.html,América (Peru),https://www.lyngsat.com/tvchannels/pe/America.html,True,América (Peru),3/4,7000.0,DVB-S2,Spa,pe
3,América (Peru),MPEG-4/HD,301.0,3923 L,tp 66,0.0,Director,https://www.lyngsat.com/providers/pe/America.html,América (Peru),https://www.lyngsat.com/tvchannels/pe/America.html,True,América (Peru),3/4,7000.0,DVB-S2,Spa,pe
3,América (Peru),MPEG-4/HD,301.0,3923 L,tp 66,0.0,Director,https://www.lyngsat.com/providers/pe/America.html,América (Peru),https://www.lyngsat.com/tvchannels/pe/America.html,True,América (Peru),3/4,7000.0,DVB-S2,Spa,pe
,Uruguayan mux,100-1000,,3935 L,tp 66,0.0,,,,,False,América (Peru),2/3,9600.0,DVB-S2,,
500,Canal 4 (Uruguay),MPEG-4/SD,502.0,3935 L,tp 66,0.0,,,Canal 4 (Uruguay),https://www.lyngsat.com/tvchannels/uy/Canal-4.html,False,América (Peru),2/3,9600.0,DVB-S2,Spa,uy
500,Canal 4 (Uruguay),MPEG-4/SD,502.0,3935 L,tp 66,0.0,,,Canal 4 (Uruguay),https://www.lyngsat.com/tvchannels/uy/Canal-4.html,False,América (Peru),2/3,9600.0,DVB-S2,Spa,uy
1300,Canal 4 (Uruguay),MPEG-4/HD,529.0,3935 L,tp 66,0.0,,,Canal 4 (Uruguay),https://www.lyngsat.com/tvchannels/uy/Canal-4.html,False,América (Peru),2/3,9600.0,DVB-S2,Spa,uy
1300,Canal 4 (Uruguay),MPEG-4/HD,529.0,3935 L,tp 66,0.0,,,Canal 4 (Uruguay),https://www.lyngsat.com/tvchannels/uy/Canal-4.html,False,América (Peru),2/3,9600.0,DVB-S2,Spa,uy
504,Teledoce,MPEG-4/HD,505.0,3935 L,tp 66,0.0,,,Teledoce,https://www.lyngsat.com/tvchannels/uy/Teledoce.html,False,América (Peru),2/3,9600.0,DVB-S2,Spa,uy
504,Teledoce,MPEG-4/HD,505.0,3935 L,tp 66,0.0,,,Teledoce,https://www.lyngsat.com/tvchannels/uy/Teledoce.html,False,América (Peru),2/3,9600.0,DVB-S2,Spa,uy
900,Teledoce,MPEG-4/SD,901.0,3935 L,tp 66,0.0,,,Teledoce,https://www.lyngsat.com/tvchannels/uy/Teledoce.html,False,América (Peru),2/3,9600.0,DVB-S2,Spa,uy
900,Teledoce,MPEG-4/SD,901.0,3935 L,tp 66,0.0,,,Teledoce,https://www.lyngsat.com/tvchannels/uy/Teledoce.html,False,América (Peru),2/3,9600.0,DVB-S2,Spa,uy
,City TV (Colombia),0-3,,3962 R,tp 67,0.0,,https://www.lyngsat.com/providers/co/City-TV.html,City TV (Colombia),https://www.lyngsat.com/tvchannels/co/City-TV.html,True,City TV (Colombia),2/3,4332.0,DVB-S2,,co
